Machines,Total (hrs/yr)
1,48.58
2,97.16
3,145.74
4,194.32
5,242.9
6,291.48
7,340.06
8,388.64
9,437.22
10,485.8
11,534.38
12,582.96
13,631.54
14,680.12
15,728.7
16,777.28
17,825.86
18,874.44
19,923.02
20,971.6
21,1020.18
22,1068.76
23,1117.34
24,1165.92
25,1214.5
26,1263.08
27,1311.66
28,1360.24
29,1408.82
30,1457.4
31,1505.98
32,1554.56
33,1603.14
34,1651.72
35,1700.3
36,1748.88
37,1797.46
38,1846.04
39,1894.62
40,1943.2
41,1991.78
42,2040.36
43,2088.94
44,2137.52
45,2186.1
46,2234.68
47,2283.26
48,2331.84
49,2380.42
50,2429
51,2477.58
52,2526.16
53,2574.74
54,2623.32
55,2671.9
56,2720.48
57,2769.06
58,2817.64
59,2866.22
60,2914.8
61,2963.38
62,3011.96
63,3060.54
64,3109.12
65,3157.7
66,3206.28
67,3254.86
68,3303.44
69,3352.02
70,3400.6
71,3449.18
72,3497.76
73,3546.34
74,3594.92
75,3643.5
76,3692.08
77,3740.66
78,3789.24
79,3837.82
80,3886.4
81,3934.98
82,3983.56
83,4032.14
84,4080.72
85,4129.3
86,4177.88
87,4226.46
88,4275.04
89,4323.62
90,4372.2
91,4420.78
92,4469.36
93,4517.94
94,4566.52
95,4615.1
96,4663.68
97,4712.26
98,4760.84
99,4809.42
100,4858
101,4906.58
102,4955.16
103,5003.74
104,5052.32
105,5100.9
106,5149.48
107,5198.06
108,5246.64
109,5295.22
110,5343.8
111,5392.38
112,5440.96
113,5489.54
114,5538.12
115,5586.7
116,5635.28
117,5683.86
118,5732.44
119,5781.02
120,5829.6
121,5878.18
122,5926.76
123,5975.34
124,6023.92
125,6072.5
126,6121.08
127,6169.66
128,6218.24
129,6266.82
130,6315.4
131,6363.98
132,6412.56
133,6461.14
134,6509.72
135,6558.3
136,6606.88
137,6655.46
138,6704.04
139,6752.62
140,6801.2
141,6849.78
142,6898.36
143,6946.94
144,6995.52
145,7044.1
146,7092.68
147,7141.26
148,7189.84
149,7238.42
150,7287
151,7335.58
152,7384.16
153,7432.74
154,7481.32
155,7529.9
156,7578.48
157,7627.06
158,7675.64
159,7724.22
160,7772.8
161,7821.38
162,7869.96
163,7918.54
164,7967.12
165,8015.7
166,8064.28
167,8112.86
168,8161.44
169,8210.02
170,8258.6
171,8307.18
172,8355.76
173,8404.34
174,8452.92
175,8501.5
176,8550.08
177,8598.66
178,8647.24
179,8695.82
180,8744.4
181,8792.98
182,8841.56
183,8890.14
184,8938.72
185,8987.3
186,9035.88
187,9084.46
188,9133.04
189,9181.62
190,9230.2
191,9278.78
192,9327.36
193,9375.94
194,9424.52
195,9473.1
196,9521.68
197,9570.26
198,9618.84
199,9667.42
200,9716
201,9764.58
202,9813.16
203,9861.74
204,9910.32
205,9958.9
206,10007.48
207,10056.06
208,10104.64
209,10153.22
210,10201.8
211,10250.38
212,10298.96
213,10347.54
214,10396.12
215,10444.7
216,10493.28
217,10541.86
218,10590.44
219,10639.02
220,10687.6
221,10736.18
222,10784.76
223,10833.34
224,10881.92
225,10930.5
226,10979.08
227,11027.66
228,11076.24
229,11124.82
230,11173.4
231,11221.98
232,11270.56
233,11319.14
234,11367.72
235,11416.3
236,11464.88
237,11513.46
238,11562.04
239,11610.62
240,11659.2
241,11707.78
242,11756.36
243,11804.94
244,11853.52
245,11902.1
246,11950.68
247,11999.26
248,12047.84
249,12096.42
250,12145
251,12193.58
252,12242.16
253,12290.74
254,12339.32
255,12387.9
256,12436.48
257,12485.06
258,12533.64
259,12582.22
260,12630.8
261,12679.38
262,12727.96
263,12776.54
264,12825.12
265,12873.7
266,12922.28
267,12970.86
268,13019.44
269,13068.02
270,13116.6
271,13165.18
272,13213.76
273,13262.34
274,13310.92
275,13359.5
276,13408.08
277,13456.66
278,13505.24
279,13553.82
280,13602.4
281,13650.98
282,13699.56
283,13748.14
284,13796.72
285,13845.3
286,13893.88
287,13942.46
288,13991.04
289,14039.62
290,14088.2
291,14136.78
292,14185.36
293,14233.94
294,14282.52
295,14331.1
296,14379.68
297,14428.26
298,14476.84
299,14525.42
300,14574
301,14622.58
302,14671.16
303,14719.74
304,14768.32
305,14816.9
306,14865.48
307,14914.06
308,14962.64
309,15011.22
310,15059.8
311,15108.38
312,15156.96
313,15205.54
314,15254.12
315,15302.7
316,15351.28
317,15399.86
318,15448.44
319,15497.02
320,15545.6
321,15594.18
322,15642.76
323,15691.34
324,15739.92
325,15788.5
326,15837.08
327,15885.66
328,15934.24
329,15982.82
330,16031.4
331,16079.98
332,16128.56
333,16177.14
334,16225.72
335,16274.3
336,16322.88
337,16371.46
338,16420.04
339,16468.62
340,16517.2
341,16565.78
342,16614.36
343,16662.94
344,16711.52
345,16760.1
346,16808.68
347,16857.26
348,16905.84
349,16954.42
350,17003
351,17051.58
352,17100.16
353,17148.74
354,17197.32
355,17245.9
356,17294.48
357,17343.06
358,17391.64
359,17440.22
360,17488.8
361,17537.38
362,17585.96
363,17634.54
364,17683.12
365,17731.7
366,17780.28
367,17828.86
368,17877.44
369,17926.02
370,17974.6
371,18023.18
372,18071.76
373,18120.34
374,18168.92
375,18217.5
376,18266.08
377,18314.66
378,18363.24
379,18411.82
380,18460.4
381,18508.98
382,18557.56
383,18606.14
384,18654.72
385,18703.3
386,18751.88
387,18800.46
388,18849.04
389,18897.62
390,18946.2
391,18994.78
392,19043.36
393,19091.94
394,19140.52
395,19189.1
396,19237.68
397,19286.26
398,19334.84
399,19383.42
400,19432
401,19480.58
402,19529.16
403,19577.74
404,19626.32
405,19674.9
406,19723.48
407,19772.06
408,19820.64
409,19869.22
410,19917.8
411,19966.38
412,20014.96
413,20063.54
414,20112.12
415,20160.7
416,20209.28
417,20257.86
418,20306.44
419,20355.02
420,20403.6
421,20452.18
422,20500.76
423,20549.34
424,20597.92
425,20646.5
426,20695.08
427,20743.66
428,20792.24
429,20840.82
