Machines,Total (hrs/yr)
1,19.1
2,38.2
3,57.3
4,76.4
5,95.5
6,114.6
7,133.7
8,152.8
9,171.9
10,191
11,210.1
12,229.2
13,248.3
14,267.4
15,286.5
16,305.6
17,324.7
18,343.8
19,362.9
20,382
21,401.1
22,420.2
23,439.3
24,458.4
25,477.5
26,496.6
27,515.7
28,534.8
29,553.9
30,573
31,592.1
32,611.2
33,630.3
34,649.4
35,668.5
36,687.6
37,706.7
38,725.8
39,744.9
40,764
41,783.1
42,802.2
43,821.3
44,840.4
45,859.5
46,878.6
47,897.7
48,916.8
49,935.9
50,955
51,974.1
52,993.2
53,1012.3
54,1031.4
55,1050.5
56,1069.6
57,1088.7
58,1107.8
59,1126.9
60,1146
61,1165.1
62,1184.2
63,1203.3
64,1222.4
65,1241.5
66,1260.6
67,1279.7
68,1298.8
69,1317.9
70,1337
71,1356.1
72,1375.2
73,1394.3
74,1413.4
75,1432.5
76,1451.6
77,1470.7
78,1489.8
79,1508.9
80,1528
81,1547.1
82,1566.2
83,1585.3
84,1604.4
85,1623.5
86,1642.6
87,1661.7
88,1680.8
89,1699.9
90,1719
91,1738.1
92,1757.2
93,1776.3
94,1795.4
95,1814.5
96,1833.6
97,1852.7
98,1871.8
99,1890.9
100,1910
101,1929.1
102,1948.2
103,1967.3
104,1986.4
105,2005.5
106,2024.6
107,2043.7
108,2062.8
109,2081.9
110,2101
111,2120.1
112,2139.2
113,2158.3
114,2177.4
115,2196.5
116,2215.6
117,2234.7
118,2253.8
119,2272.9
120,2292
121,2311.1
122,2330.2
123,2349.3
124,2368.4
125,2387.5
126,2406.6
127,2425.7
128,2444.8
129,2463.9
130,2483
131,2502.1
132,2521.2
133,2540.3
134,2559.4
135,2578.5
136,2597.6
137,2616.7
138,2635.8
139,2654.9
140,2674
141,2693.1
142,2712.2
143,2731.3
144,2750.4
145,2769.5
146,2788.6
147,2807.7
148,2826.8
149,2845.9
150,2865
151,2884.1
152,2903.2
153,2922.3
154,2941.4
155,2960.5
156,2979.6
157,2998.7
158,3017.8
159,3036.9
160,3056
161,3075.1
162,3094.2
163,3113.3
164,3132.4
165,3151.5
166,3170.6
167,3189.7
168,3208.8
169,3227.9
170,3247
171,3266.1
172,3285.2
173,3304.3
174,3323.4
175,3342.5
176,3361.6
177,3380.7
178,3399.8
179,3418.9
180,3438
181,3457.1
182,3476.2
183,3495.3
184,3514.4
185,3533.5
186,3552.6
187,3571.7
188,3590.8
189,3609.9
190,3629
191,3648.1
192,3667.2
193,3686.3
194,3705.4
195,3724.5
196,3743.6
197,3762.7
198,3781.8
199,3800.9
200,3820
201,3839.1
202,3858.2
203,3877.3
204,3896.4
205,3915.5
206,3934.6
207,3953.7
208,3972.8
209,3991.9
210,4011
211,4030.1
212,4049.2
213,4068.3
214,4087.4
215,4106.5
216,4125.6
217,4144.7
218,4163.8
219,4182.9
220,4202
221,4221.1
222,4240.2
223,4259.3
224,4278.4
225,4297.5
226,4316.6
227,4335.7
228,4354.8
229,4373.9
230,4393
231,4412.1
232,4431.2
233,4450.3
234,4469.4
235,4488.5
236,4507.6
237,4526.7
238,4545.8
239,4564.9
240,4584
241,4603.1
242,4622.2
243,4641.3
244,4660.4
245,4679.5
246,4698.6
247,4717.7
248,4736.8
249,4755.9
250,4775
251,4794.1
252,4813.2
253,4832.3
254,4851.4
255,4870.5
256,4889.6
257,4908.7
258,4927.8
259,4946.9
260,4966
261,4985.1
262,5004.2
263,5023.3
264,5042.4
265,5061.5
266,5080.6
267,5099.7
268,5118.8
269,5137.9
270,5157
271,5176.1
272,5195.2
273,5214.3
274,5233.4
