Machines,Total (hrs/yr)
1,17.35
2,34.7
3,52.05
4,69.4
5,86.75
6,104.1
7,121.45
8,138.8
9,156.15
10,173.5
11,190.85
12,208.2
13,225.55
14,242.9
15,260.25
16,277.6
17,294.95
18,312.3
19,329.65
20,347
21,364.35
22,381.7
23,399.05
24,416.4
25,433.75
26,451.1
27,468.45
28,485.8
29,503.15
30,520.5
31,537.85
32,555.2
33,572.55
34,589.9
35,607.25
36,624.6
37,641.95
38,659.3
39,676.65
40,694
41,711.35
42,728.7
43,746.05
44,763.4
45,780.75
46,798.1
47,815.45
48,832.8
49,850.15
50,867.5
51,884.85
52,902.2
53,919.55
54,936.9
55,954.25
56,971.6
57,988.95
58,1006.3
59,1023.65
60,1041
61,1058.35
62,1075.7
63,1093.05
64,1110.4
65,1127.75
66,1145.1
67,1162.45
68,1179.8
69,1197.15
70,1214.5
71,1231.85
72,1249.2
73,1266.55
74,1283.9
75,1301.25
76,1318.6
77,1335.95
78,1353.3
79,1370.65
80,1388
81,1405.35
82,1422.7
83,1440.05
84,1457.4
85,1474.75
86,1492.1
87,1509.45
88,1526.8
89,1544.15
90,1561.5
91,1578.85
92,1596.2
93,1613.55
94,1630.9
95,1648.25
96,1665.6
97,1682.95
98,1700.3
99,1717.65
100,1735
101,1752.35
102,1769.7
103,1787.05
104,1804.4
105,1821.75
106,1839.1
107,1856.45
108,1873.8
109,1891.15
110,1908.5
111,1925.85
112,1943.2
113,1960.55
114,1977.9
115,1995.25
116,2012.6
117,2029.95
118,2047.3
119,2064.65
120,2082
121,2099.35
122,2116.7
123,2134.05
124,2151.4
125,2168.75
126,2186.1
127,2203.45
128,2220.8
129,2238.15
130,2255.5
131,2272.85
132,2290.2
133,2307.55
134,2324.9
135,2342.25
136,2359.6
137,2376.95
138,2394.3
139,2411.65
140,2429
141,2446.35
142,2463.7
143,2481.05
144,2498.4
145,2515.75
146,2533.1
147,2550.45
148,2567.8
149,2585.15
150,2602.5
151,2619.85
152,2637.2
153,2654.55
154,2671.9
155,2689.25
156,2706.6
157,2723.95
158,2741.3
159,2758.65
160,2776
161,2793.35
162,2810.7
163,2828.05
164,2845.4
165,2862.75
166,2880.1
167,2897.45
168,2914.8
169,2932.15
170,2949.5
171,2966.85
172,2984.2
173,3001.55
174,3018.9
175,3036.25
176,3053.6
177,3070.95
178,3088.3
179,3105.65
180,3123
181,3140.35
182,3157.7
183,3175.05
184,3192.4
185,3209.75
186,3227.1
187,3244.45
188,3261.8
189,3279.15
190,3296.5
191,3313.85
192,3331.2
193,3348.55
194,3365.9
195,3383.25
196,3400.6
197,3417.95
198,3435.3
199,3452.65
200,3470
201,3487.35
202,3504.7
203,3522.05
204,3539.4
205,3556.75
206,3574.1
207,3591.45
208,3608.8
209,3626.15
210,3643.5
211,3660.85
212,3678.2
213,3695.55
214,3712.9
215,3730.25
216,3747.6
217,3764.95
218,3782.3
219,3799.65
220,3817
221,3834.35
222,3851.7
223,3869.05
224,3886.4
225,3903.75
226,3921.1
227,3938.45
228,3955.8
229,3973.15
230,3990.5
231,4007.85
232,4025.2
233,4042.55
234,4059.9
235,4077.25
236,4094.6
237,4111.95
238,4129.3
239,4146.65
240,4164
241,4181.35
242,4198.7
243,4216.05
244,4233.4
245,4250.75
246,4268.1
247,4285.45
248,4302.8
249,4320.15
250,4337.5
251,4354.85
252,4372.2
253,4389.55
254,4406.9
255,4424.25
256,4441.6
257,4458.95
258,4476.3
259,4493.65
260,4511
261,4528.35
262,4545.7
263,4563.05
264,4580.4
265,4597.75
266,4615.1
267,4632.45
268,4649.8
269,4667.15
270,4684.5
271,4701.85
272,4719.2
273,4736.55
274,4753.9
275,4771.25
276,4788.6
277,4805.95
278,4823.3
279,4840.65
280,4858
281,4875.35
282,4892.7
