Machines,Total (hrs/yr)
1,22.56
2,45.12
3,67.68
4,90.24
5,112.8
6,135.36
7,157.92
8,180.48
9,203.04
10,225.6
11,248.16
12,270.72
13,293.28
14,315.84
15,338.4
16,360.96
17,383.52
18,406.08
19,428.64
20,451.2
21,473.76
22,496.32
23,518.88
24,541.44
25,564
26,586.56
27,609.12
28,631.68
29,654.24
30,676.8
31,699.36
32,721.92
33,744.48
34,767.04
35,789.6
36,812.16
37,834.72
38,857.28
39,879.84
40,902.4
41,924.96
42,947.52
43,970.08
44,992.64
45,1015.2
46,1037.76
47,1060.32
48,1082.88
49,1105.44
50,1128
51,1150.56
52,1173.12
53,1195.68
54,1218.24
55,1240.8
56,1263.36
57,1285.92
58,1308.48
59,1331.04
60,1353.6
61,1376.16
62,1398.72
63,1421.28
64,1443.84
65,1466.4
66,1488.96
67,1511.52
68,1534.08
69,1556.64
70,1579.2
71,1601.76
72,1624.32
73,1646.88
74,1669.44
75,1692
76,1714.56
77,1737.12
78,1759.68
79,1782.24
80,1804.8
81,1827.36
82,1849.92
83,1872.48
84,1895.04
85,1917.6
86,1940.16
87,1962.72
88,1985.28
89,2007.84
90,2030.4
91,2052.96
92,2075.52
93,2098.08
94,2120.64
95,2143.2
96,2165.76
97,2188.32
98,2210.88
99,2233.44
100,2256
101,2278.56
102,2301.12
103,2323.68
104,2346.24
105,2368.8
106,2391.36
107,2413.92
108,2436.48
109,2459.04
110,2481.6
111,2504.16
112,2526.72
113,2549.28
114,2571.84
115,2594.4
116,2616.96
117,2639.52
118,2662.08
119,2684.64
120,2707.2
121,2729.76
122,2752.32
123,2774.88
124,2797.44
125,2820
126,2842.56
127,2865.12
128,2887.68
129,2910.24
130,2932.8
131,2955.36
132,2977.92
133,3000.48
134,3023.04
135,3045.6
136,3068.16
137,3090.72
138,3113.28
139,3135.84
140,3158.4
141,3180.96
142,3203.52
143,3226.08
144,3248.64
145,3271.2
146,3293.76
147,3316.32
148,3338.88
149,3361.44
150,3384
151,3406.56
152,3429.12
153,3451.68
154,3474.24
155,3496.8
156,3519.36
157,3541.92
158,3564.48
159,3587.04
160,3609.6
161,3632.16
162,3654.72
163,3677.28
164,3699.84
165,3722.4
166,3744.96
167,3767.52
168,3790.08
169,3812.64
170,3835.2
171,3857.76
172,3880.32
173,3902.88
174,3925.44
175,3948
176,3970.56
177,3993.12
178,4015.68
179,4038.24
180,4060.8
181,4083.36
182,4105.92
183,4128.48
184,4151.04
185,4173.6
186,4196.16
187,4218.72
188,4241.28
189,4263.84
190,4286.4
191,4308.96
192,4331.52
193,4354.08
194,4376.64
195,4399.2
196,4421.76
197,4444.32
198,4466.88
199,4489.44
200,4512
201,4534.56
202,4557.12
203,4579.68
204,4602.24
205,4624.8
206,4647.36
207,4669.92
208,4692.48
209,4715.04
210,4737.6
211,4760.16
212,4782.72
213,4805.28
214,4827.84
215,4850.4
216,4872.96
217,4895.52
218,4918.08
219,4940.64
220,4963.2
221,4985.76
222,5008.32
223,5030.88
224,5053.44
225,5076
226,5098.56
227,5121.12
228,5143.68
229,5166.24
230,5188.8
231,5211.36
232,5233.92
233,5256.48
234,5279.04
235,5301.6
236,5324.16
237,5346.72
238,5369.28
239,5391.84
240,5414.4
241,5436.96
242,5459.52
243,5482.08
244,5504.64
245,5527.2
246,5549.76
247,5572.32
248,5594.88
249,5617.44
250,5640
251,5662.56
252,5685.12
253,5707.68
254,5730.24
255,5752.8
256,5775.36
257,5797.92
258,5820.48
259,5843.04
260,5865.6
261,5888.16
262,5910.72
263,5933.28
264,5955.84
265,5978.4
266,6000.96
267,6023.52
268,6046.08
269,6068.64
270,6091.2
271,6113.76
272,6136.32
273,6158.88
274,6181.44
275,6204
276,6226.56
277,6249.12
278,6271.68
279,6294.24
280,6316.8
281,6339.36
282,6361.92
283,6384.48
284,6407.04
285,6429.6
286,6452.16
287,6474.72
288,6497.28
289,6519.84
290,6542.4
291,6564.96
292,6587.52
293,6610.08
294,6632.64
295,6655.2
296,6677.76
297,6700.32
298,6722.88
299,6745.44
300,6768
301,6790.56
302,6813.12
303,6835.68
304,6858.24
305,6880.8
306,6903.36
307,6925.92
308,6948.48
309,6971.04
310,6993.6
311,7016.16
312,7038.72
313,7061.28
314,7083.84
315,7106.4
316,7128.96
317,7151.52
318,7174.08
319,7196.64
320,7219.2
321,7241.76
322,7264.32
323,7286.88
324,7309.44
325,7332
326,7354.56
327,7377.12
328,7399.68
329,7422.24
330,7444.8
331,7467.36
332,7489.92
333,7512.48
334,7535.04
335,7557.6
336,7580.16
337,7602.72
338,7625.28
