Machines,Total (hrs/yr)
1,10.83
2,21.66
3,32.49
4,43.32
5,54.15
6,64.98
7,75.81
8,86.64
9,97.47
10,108.3
11,119.13
12,129.96
13,140.79
14,151.62
15,162.45
16,173.28
17,184.11
18,194.94
19,205.77
20,216.6
21,227.43
22,238.26
23,249.09
24,259.92
25,270.75
26,281.58
27,292.41
28,303.24
29,314.07
30,324.9
31,335.73
32,346.56
33,357.39
34,368.22
35,379.05
36,389.88
37,400.71
38,411.54
39,422.37
40,433.2
41,444.03
42,454.86
43,465.69
44,476.52
45,487.35
46,498.18
47,509.01
48,519.84
49,530.67
50,541.5
51,552.33
52,563.16
53,573.99
54,584.82
55,595.65
56,606.48
57,617.31
58,628.14
59,638.97
60,649.8
61,660.63
62,671.46
63,682.29
64,693.12
65,703.95
66,714.78
67,725.61
68,736.44
69,747.27
70,758.1
71,768.93
72,779.76
73,790.59
74,801.42
75,812.25
76,823.08
77,833.91
78,844.74
79,855.57
80,866.4
81,877.23
82,888.06
83,898.89
84,909.72
85,920.55
86,931.38
87,942.21
88,953.04
89,963.87
90,974.7
91,985.53
92,996.36
93,1007.19
94,1018.02
95,1028.85
96,1039.68
97,1050.51
98,1061.34
99,1072.17
100,1083
101,1093.83
102,1104.66
103,1115.49
104,1126.32
105,1137.15
106,1147.98
107,1158.81
108,1169.64
109,1180.47
110,1191.3
111,1202.13
112,1212.96
113,1223.79
114,1234.62
115,1245.45
116,1256.28
117,1267.11
118,1277.94
119,1288.77
120,1299.6
121,1310.43
122,1321.26
123,1332.09
124,1342.92
125,1353.75
126,1364.58
127,1375.41
128,1386.24
129,1397.07
130,1407.9
131,1418.73
132,1429.56
133,1440.39
134,1451.22
135,1462.05
136,1472.88
137,1483.71
138,1494.54
139,1505.37
140,1516.2
141,1527.03
142,1537.86
143,1548.69
144,1559.52
145,1570.35
146,1581.18
147,1592.01
148,1602.84
149,1613.67
150,1624.5
151,1635.33
152,1646.16
153,1656.99
154,1667.82
155,1678.65
156,1689.48
157,1700.31
158,1711.14
159,1721.97
160,1732.8
161,1743.63
162,1754.46
163,1765.29
164,1776.12
165,1786.95
166,1797.78
167,1808.61
168,1819.44
169,1830.27
170,1841.1
171,1851.93
172,1862.76
173,1873.59
174,1884.42
175,1895.25
176,1906.08
177,1916.91
178,1927.74
179,1938.57
180,1949.4
181,1960.23
182,1971.06
183,1981.89
184,1992.72
185,2003.55
186,2014.38
187,2025.21
188,2036.04
189,2046.87
190,2057.7
191,2068.53
192,2079.36
193,2090.19
194,2101.02
195,2111.85
196,2122.68
197,2133.51
198,2144.34
199,2155.17
200,2166
201,2176.83
202,2187.66
203,2198.49
204,2209.32
205,2220.15
206,2230.98
207,2241.81
208,2252.64
209,2263.47
210,2274.3
211,2285.13
212,2295.96
213,2306.79
214,2317.62
215,2328.45
216,2339.28
217,2350.11
218,2360.94
219,2371.77
220,2382.6
221,2393.43
222,2404.26
223,2415.09
224,2425.92
225,2436.75
226,2447.58
227,2458.41
228,2469.24
229,2480.07
230,2490.9
231,2501.73
232,2512.56
233,2523.39
234,2534.22
235,2545.05
236,2555.88
237,2566.71
