Machines,Total (hrs/yr)
1,32.54
2,65.08
3,97.62
4,130.16
5,162.7
6,195.24
7,227.78
8,260.32
9,292.86
10,325.4
11,357.94
12,390.48
13,423.02
14,455.56
15,488.1
16,520.64
17,553.18
18,585.72
19,618.26
20,650.8
21,683.34
22,715.88
23,748.42
24,780.96
25,813.5
26,846.04
27,878.58
28,911.12
29,943.66
30,976.2
31,1008.74
32,1041.28
33,1073.82
34,1106.36
35,1138.9
36,1171.44
37,1203.98
38,1236.52
39,1269.06
40,1301.6
41,1334.14
42,1366.68
43,1399.22
44,1431.76
45,1464.3
46,1496.84
47,1529.38
48,1561.92
49,1594.46
50,1627
51,1659.54
52,1692.08
53,1724.62
54,1757.16
55,1789.7
56,1822.24
57,1854.78
58,1887.32
59,1919.86
60,1952.4
61,1984.94
62,2017.48
63,2050.02
64,2082.56
65,2115.1
66,2147.64
67,2180.18
68,2212.72
69,2245.26
70,2277.8
71,2310.34
72,2342.88
73,2375.42
74,2407.96
75,2440.5
76,2473.04
77,2505.58
78,2538.12
79,2570.66
80,2603.2
81,2635.74
82,2668.28
83,2700.82
84,2733.36
85,2765.9
86,2798.44
87,2830.98
88,2863.52
89,2896.06
90,2928.6
91,2961.14
92,2993.68
93,3026.22
94,3058.76
95,3091.3
96,3123.84
97,3156.38
98,3188.92
99,3221.46
100,3254
101,3286.54
102,3319.08
103,3351.62
104,3384.16
105,3416.7
106,3449.24
107,3481.78
108,3514.32
109,3546.86
110,3579.4
111,3611.94
112,3644.48
113,3677.02
114,3709.56
115,3742.1
116,3774.64
117,3807.18
118,3839.72
119,3872.26
120,3904.8
121,3937.34
122,3969.88
123,4002.42
124,4034.96
125,4067.5
126,4100.04
127,4132.58
128,4165.12
129,4197.66
130,4230.2
131,4262.74
132,4295.28
133,4327.82
134,4360.36
135,4392.9
136,4425.44
137,4457.98
138,4490.52
139,4523.06
140,4555.6
141,4588.14
142,4620.68
143,4653.22
144,4685.76
145,4718.3
146,4750.84
147,4783.38
148,4815.92
149,4848.46
