Machines,Total (hrs/yr)
1,3.62
2,7.24
3,10.86
4,14.48
5,18.1
6,21.72
7,25.34
8,28.96
9,32.58
10,36.2
11,39.82
12,43.44
13,47.06
14,50.68
15,54.3
16,57.92
17,61.54
18,65.16
19,68.78
20,72.4
21,76.02
22,79.64
23,83.26
24,86.88
25,90.5
26,94.12
27,97.74
28,101.36
29,104.98
30,108.6
31,112.22
32,115.84
33,119.46
34,123.08
35,126.7
36,130.32
37,133.94
38,137.56
39,141.18
40,144.8
41,148.42
42,152.04
43,155.66
44,159.28
45,162.9
46,166.52
47,170.14
48,173.76
49,177.38
50,181
51,184.62
52,188.24
53,191.86
54,195.48
55,199.1
56,202.72
57,206.34
58,209.96
59,213.58
60,217.2
61,220.82
62,224.44
63,228.06
64,231.68
65,235.3
66,238.92
67,242.54
68,246.16
69,249.78
70,253.4
71,257.02
72,260.64
73,264.26
74,267.88
75,271.5
76,275.12
77,278.74
78,282.36
79,285.98
80,289.6
81,293.22
82,296.84
83,300.46
84,304.08
85,307.7
86,311.32
87,314.94
88,318.56
89,322.18
90,325.8
91,329.42
92,333.04
93,336.66
94,340.28
95,343.9
96,347.52
97,351.14
98,354.76
99,358.38
100,362
101,365.62
102,369.24
103,372.86
104,376.48
105,380.1
106,383.72
107,387.34
108,390.96
109,394.58
110,398.2
111,401.82
112,405.44
113,409.06
114,412.68
115,416.3
116,419.92
117,423.54
118,427.16
119,430.78
120,434.4
121,438.02
122,441.64
123,445.26
124,448.88
125,452.5
126,456.12
127,459.74
128,463.36
129,466.98
130,470.6
131,474.22
132,477.84
133,481.46
134,485.08
135,488.7
136,492.32
137,495.94
138,499.56
139,503.18
140,506.8
141,510.42
142,514.04
143,517.66
144,521.28
145,524.9
146,528.52
147,532.14
148,535.76
149,539.38
150,543
151,546.62
152,550.24
153,553.86
154,557.48
155,561.1
156,564.72
157,568.34
158,571.96
159,575.58
160,579.2
161,582.82
162,586.44
163,590.06
164,593.68
165,597.3
166,600.92
167,604.54
168,608.16
169,611.78
170,615.4
171,619.02
172,622.64
173,626.26
174,629.88
175,633.5
176,637.12
177,640.74
178,644.36
179,647.98
180,651.6
181,655.22
182,658.84
183,662.46
184,666.08
185,669.7
186,673.32
187,676.94
188,680.56
189,684.18
190,687.8
191,691.42
192,695.04
193,698.66
194,702.28
195,705.9
196,709.52
197,713.14
198,716.76
199,720.38
200,724
201,727.62
202,731.24
203,734.86
204,738.48
205,742.1
206,745.72
207,749.34
208,752.96
209,756.58
210,760.2
211,763.82
212,767.44
213,771.06
214,774.68
215,778.3
216,781.92
217,785.54
218,789.16
219,792.78
220,796.4
221,800.02
222,803.64
223,807.26
224,810.88
225,814.5
226,818.12
227,821.74
228,825.36
229,828.98
230,832.6
231,836.22
232,839.84
233,843.46
234,847.08
235,850.7
236,854.32
237,857.94
238,861.56
239,865.18
240,868.8
241,872.42
242,876.04
243,879.66
244,883.28
245,886.9
246,890.52
247,894.14
248,897.76
249,901.38
250,905
251,908.62
252,912.24
253,915.86
254,919.48
255,923.1
256,926.72
257,930.34
258,933.96
259,937.58
260,941.2
261,944.82
262,948.44
263,952.06
264,955.68
265,959.3
266,962.92
267,966.54
268,970.16
269,973.78
270,977.4
271,981.02
272,984.64
273,988.26
274,991.88
275,995.5
276,999.12
277,1002.74
278,1006.36
279,1009.98
280,1013.6
281,1017.22
282,1020.84
283,1024.46
284,1028.08
285,1031.7
286,1035.32
287,1038.94
288,1042.56
289,1046.18
290,1049.8
291,1053.42
292,1057.04
293,1060.66
294,1064.28
295,1067.9
296,1071.52
297,1075.14
298,1078.76
299,1082.38
300,1086
301,1089.62
302,1093.24
303,1096.86
304,1100.48
305,1104.1
306,1107.72
307,1111.34
308,1114.96
309,1118.58
310,1122.2
311,1125.82
312,1129.44
313,1133.06
314,1136.68
315,1140.3
316,1143.92
317,1147.54
318,1151.16
319,1154.78
320,1158.4
321,1162.02
322,1165.64
323,1169.26
324,1172.88
325,1176.5
326,1180.12
327,1183.74
328,1187.36
329,1190.98
330,1194.6
331,1198.22
332,1201.84
333,1205.46
334,1209.08
335,1212.7
336,1216.32
337,1219.94
338,1223.56
339,1227.18
340,1230.8
341,1234.42
342,1238.04
343,1241.66
344,1245.28
345,1248.9
346,1252.52
347,1256.14
348,1259.76
349,1263.38
350,1267
351,1270.62
352,1274.24
353,1277.86
354,1281.48
355,1285.1
356,1288.72
357,1292.34
358,1295.96
359,1299.58
360,1303.2
361,1306.82
362,1310.44
363,1314.06
364,1317.68
365,1321.3
366,1324.92
367,1328.54
368,1332.16
369,1335.78
370,1339.4
371,1343.02
372,1346.64
373,1350.26
374,1353.88
375,1357.5
376,1361.12
377,1364.74
378,1368.36
379,1371.98
380,1375.6
381,1379.22
382,1382.84
383,1386.46
384,1390.08
385,1393.7
386,1397.32
387,1400.94
388,1404.56
389,1408.18
390,1411.8
391,1415.42
392,1419.04
393,1422.66
394,1426.28
395,1429.9
396,1433.52
397,1437.14
398,1440.76
399,1444.38
400,1448
401,1451.62
402,1455.24
403,1458.86
404,1462.48
405,1466.1
406,1469.72
407,1473.34
408,1476.96
409,1480.58
410,1484.2
411,1487.82
412,1491.44
413,1495.06
414,1498.68
415,1502.3
416,1505.92
417,1509.54
418,1513.16
419,1516.78
420,1520.4
421,1524.02
422,1527.64
423,1531.26
424,1534.88
425,1538.5
426,1542.12
427,1545.74
428,1549.36
429,1552.98
430,1556.6
431,1560.22
432,1563.84
433,1567.46
434,1571.08
435,1574.7
436,1578.32
437,1581.94
438,1585.56
439,1589.18
440,1592.8
441,1596.42
442,1600.04
443,1603.66
444,1607.28
445,1610.9
446,1614.52
447,1618.14
448,1621.76
449,1625.38
450,1629
451,1632.62
452,1636.24
453,1639.86
454,1643.48
455,1647.1
456,1650.72
457,1654.34
458,1657.96
459,1661.58
460,1665.2
461,1668.82
462,1672.44
463,1676.06
464,1679.68
465,1683.3
466,1686.92
467,1690.54
468,1694.16
469,1697.78
470,1701.4
471,1705.02
472,1708.64
473,1712.26
474,1715.88
475,1719.5
476,1723.12
477,1726.74
478,1730.36
479,1733.98
480,1737.6
481,1741.22
482,1744.84
483,1748.46
484,1752.08
485,1755.7
486,1759.32
487,1762.94
488,1766.56
489,1770.18
490,1773.8
491,1777.42
492,1781.04
493,1784.66
494,1788.28
495,1791.9
496,1795.52
497,1799.14
498,1802.76
499,1806.38
500,1810
501,1813.62
502,1817.24
503,1820.86
504,1824.48
505,1828.1
506,1831.72
507,1835.34
508,1838.96
509,1842.58
510,1846.2
511,1849.82
512,1853.44
513,1857.06
514,1860.68
515,1864.3
516,1867.92
517,1871.54
518,1875.16
519,1878.78
520,1882.4
521,1886.02
522,1889.64
523,1893.26
524,1896.88
525,1900.5
526,1904.12
527,1907.74
528,1911.36
529,1914.98
530,1918.6
531,1922.22
532,1925.84
533,1929.46
534,1933.08
535,1936.7
536,1940.32
537,1943.94
538,1947.56
539,1951.18
540,1954.8
541,1958.42
542,1962.04
543,1965.66
544,1969.28
545,1972.9
546,1976.52
547,1980.14
548,1983.76
549,1987.38
550,1991
551,1994.62
552,1998.24
553,2001.86
554,2005.48
555,2009.1
556,2012.72
557,2016.34
558,2019.96
559,2023.58
560,2027.2
561,2030.82
562,2034.44
563,2038.06
564,2041.68
565,2045.3
566,2048.92
567,2052.54
568,2056.16
569,2059.78
570,2063.4
571,2067.02
572,2070.64
573,2074.26
574,2077.88
575,2081.5
576,2085.12
577,2088.74
578,2092.36
579,2095.98
580,2099.6
581,2103.22
582,2106.84
583,2110.46
584,2114.08
585,2117.7
586,2121.32
587,2124.94
588,2128.56
589,2132.18
590,2135.8
591,2139.42
592,2143.04
593,2146.66
594,2150.28
595,2153.9
596,2157.52
597,2161.14
598,2164.76
599,2168.38
600,2172
601,2175.62
602,2179.24
603,2182.86
604,2186.48
605,2190.1
606,2193.72
607,2197.34
608,2200.96
609,2204.58
610,2208.2
611,2211.82
612,2215.44
613,2219.06
614,2222.68
615,2226.3
616,2229.92
617,2233.54
618,2237.16
619,2240.78
620,2244.4
