Stackers,Operation (days/wk),Tours/Day,Operational Maintenance (hrs/yr),Total (hrs/yr)
110,5,1,225.33,1138.99
126,5,1,225.33,1146.04
142,5,1,225.33,1168.43
158,5,1,225.33,1190.90
174,5,1,225.33,1213.28
190,5,1,225.33,1241.96
206,5,1,225.33,1264.35
222,5,1,225.33,1286.80
238,5,1,225.33,1309.18
254,5,1,225.33,1337.87
270,5,1,225.33,1360.24
286,5,1,225.33,1382.72
302,5,1,225.33,1405.11
110,6,1,270.40,1316.67
126,6,1,270.40,1326.20
142,6,1,270.40,1349.82
158,6,1,270.40,1373.54
174,6,1,270.40,1397.15
190,6,1,270.40,1428.32
206,6,1,270.40,1451.94
222,6,1,270.40,1475.64
238,6,1,270.40,1499.25
254,6,1,270.40,1530.42
270,6,1,270.40,1554.02
286,6,1,270.40,1577.75
302,6,1,270.40,1601.38
110,7,1,315.47,1494.33
126,7,1,315.47,1506.35
142,7,1,315.47,1531.22
158,7,1,315.47,1556.17
174,7,1,315.47,1581.03
190,7,1,315.47,1614.67
206,7,1,315.47,1639.53
222,7,1,315.47,1664.46
238,7,1,315.47,1689.32
254,7,1,315.47,1722.96
270,7,1,315.47,1747.81
286,7,1,315.47,1772.78
302,7,1,315.47,1797.63
110,5,2,450.66,1364.33
126,5,2,450.66,1371.38
142,5,2,450.66,1393.77
158,5,2,450.66,1416.24
174,5,2,450.66,1438.62
190,5,2,450.66,1467.30
206,5,2,450.66,1489.69
222,5,2,450.66,1512.14
238,5,2,450.66,1534.52
254,5,2,450.66,1563.21
270,5,2,450.66,1585.57
286,5,2,450.66,1608.06
302,5,2,450.66,1630.45
110,6,2,540.80,1587.07
126,6,2,540.80,1596.60
142,6,2,540.80,1620.22
158,6,2,540.80,1643.94
174,6,2,540.80,1667.55
190,6,2,540.80,1698.72
206,6,2,540.80,1722.34
222,6,2,540.80,1746.04
238,6,2,540.80,1769.65
254,6,2,540.80,1800.82
270,6,2,540.80,1824.42
286,6,2,540.80,1848.15
302,6,2,540.80,1871.78
110,7,2,630.94,1809.79
126,7,2,630.94,1821.82
142,7,2,630.94,1846.69
158,7,2,630.94,1871.63
174,7,2,630.94,1896.49
190,7,2,630.94,1930.13
206,7,2,630.94,1954.99
222,7,2,630.94,1979.93
238,7,2,630.94,2004.79
254,7,2,630.94,2038.43
270,7,2,630.94,2063.28
286,7,2,630.94,2088.25
302,7,2,630.94,2113.10
110,5,3,675.99,1589.66
126,5,3,675.99,1596.71
142,5,3,675.99,1619.10
158,5,3,675.99,1641.57
174,5,3,675.99,1663.95
190,5,3,675.99,1692.63
206,5,3,675.99,1715.02
222,5,3,675.99,1737.47
238,5,3,675.99,1759.85
254,5,3,675.99,1788.54
270,5,3,675.99,1810.90
286,5,3,675.99,1833.39
302,5,3,675.99,1855.78
110,6,3,811.20,1857.47
126,6,3,811.20,1867.00
142,6,3,811.20,1890.62
158,6,3,811.20,1914.34
174,6,3,811.20,1937.95
190,6,3,811.20,1969.12
206,6,3,811.20,1992.74
222,6,3,811.20,2016.44
238,6,3,811.20,2040.05
254,6,3,811.20,2071.22
270,6,3,811.20,2094.82
286,6,3,811.20,2118.55
302,6,3,811.20,2142.18
110,7,3,946.41,2125.26
126,7,3,946.41,2137.28
142,7,3,946.41,2162.15
158,7,3,946.41,2187.10
174,7,3,946.41,2211.96
190,7,3,946.41,2245.60
206,7,3,946.41,2270.46
222,7,3,946.41,2295.40
238,7,3,946.41,2320.26
254,7,3,946.41,2353.89
270,7,3,946.41,2378.74
286,7,3,946.41,2403.71
302,7,3,946.41,2428.56
