Machines,Total (hrs/yr)
1,2.5
2,5
3,7.5
4,10
5,12.5
6,15
7,17.5
8,20
9,22.5
10,25
11,27.5
12,30
13,32.5
14,35
15,37.5
16,40
17,42.5
18,45
19,47.5
20,50
21,52.5
22,55
23,57.5
24,60
25,62.5
26,65
27,67.5
28,70
29,72.5
30,75
31,77.5
32,80
33,82.5
34,85
35,87.5
36,90
37,92.5
38,95
39,97.5
40,100
41,102.5
42,105
43,107.5
44,110
45,112.5
46,115
47,117.5
48,120
49,122.5
50,125
51,127.5
52,130
53,132.5
54,135
55,137.5
56,140
57,142.5
58,145
59,147.5
60,150
61,152.5
62,155
63,157.5
64,160
65,162.5
66,165
67,167.5
68,170
69,172.5
70,175
71,177.5
72,180
73,182.5
74,185
75,187.5
76,190
77,192.5
78,195
79,197.5
80,200
81,202.5
82,205
83,207.5
84,210
85,212.5
86,215
87,217.5
88,220
89,222.5
90,225
91,227.5
92,230
93,232.5
94,235
95,237.5
96,240
97,242.5
98,245
99,247.5
100,250
101,252.5
102,255
103,257.5
104,260
105,262.5
106,265
107,267.5
108,270
109,272.5
110,275
111,277.5
112,280
113,282.5
114,285
115,287.5
116,290
117,292.5
118,295
119,297.5
120,300
121,302.5
122,305
123,307.5
124,310
125,312.5
126,315
127,317.5
128,320
129,322.5
130,325
131,327.5
132,330
133,332.5
134,335
135,337.5
136,340
137,342.5
138,345
139,347.5
140,350
141,352.5
142,355
143,357.5
144,360
145,362.5
146,365
147,367.5
148,370
149,372.5
150,375
151,377.5
152,380
153,382.5
154,385
155,387.5
156,390
157,392.5
158,395
159,397.5
160,400
161,402.5
162,405
163,407.5
164,410
165,412.5
166,415
167,417.5
168,420
169,422.5
170,425
171,427.5
172,430
173,432.5
174,435
175,437.5
176,440
177,442.5
178,445
179,447.5
180,450
181,452.5
182,455
183,457.5
184,460
185,462.5
186,465
187,467.5
188,470
189,472.5
190,475
191,477.5
192,480
193,482.5
194,485
195,487.5
196,490
197,492.5
198,495
199,497.5
200,500
201,502.5
202,505
203,507.5
204,510
205,512.5
206,515
207,517.5
208,520
209,522.5
210,525
211,527.5
212,530
213,532.5
214,535
215,537.5
216,540
217,542.5
218,545
219,547.5
220,550
221,552.5
222,555
223,557.5
224,560
225,562.5
226,565
227,567.5
228,570
229,572.5
230,575
231,577.5
232,580
233,582.5
234,585
235,587.5
236,590
237,592.5
238,595
239,597.5
240,600
241,602.5
242,605
243,607.5
244,610
245,612.5
246,615
247,617.5
248,620
249,622.5
250,625
251,627.5
252,630
253,632.5
254,635
255,637.5
256,640
257,642.5
258,645
259,647.5
260,650
261,652.5
262,655
263,657.5
264,660
265,662.5
266,665
267,667.5
268,670
269,672.5
270,675
271,677.5
272,680
273,682.5
274,685
275,687.5
276,690
277,692.5
278,695
279,697.5
280,700
281,702.5
282,705
283,707.5
284,710
285,712.5
286,715
287,717.5
288,720
289,722.5
290,725
291,727.5
292,730
293,732.5
294,735
295,737.5
296,740
297,742.5
298,745
299,747.5
300,750
301,752.5
302,755
303,757.5
304,760
305,762.5
306,765
307,767.5
308,770
309,772.5
310,775
311,777.5
312,780
313,782.5
314,785
315,787.5
316,790
317,792.5
318,795
319,797.5
320,800
321,802.5
322,805
323,807.5
324,810
325,812.5
326,815
327,817.5
328,820
329,822.5
330,825
331,827.5
332,830
333,832.5
334,835
335,837.5
336,840
337,842.5
338,845
339,847.5
340,850
341,852.5
342,855
343,857.5
344,860
345,862.5
346,865
347,867.5
348,870
349,872.5
350,875
351,877.5
352,880
353,882.5
354,885
355,887.5
356,890
357,892.5
358,895
359,897.5
360,900
361,902.5
362,905
363,907.5
364,910
365,912.5
366,915
367,917.5
368,920
369,922.5
370,925
371,927.5
372,930
373,932.5
374,935
375,937.5
376,940
377,942.5
378,945
379,947.5
380,950
381,952.5
382,955
383,957.5
384,960
385,962.5
386,965
387,967.5
388,970
389,972.5
390,975
391,977.5
392,980
393,982.5
394,985
395,987.5
396,990
397,992.5
398,995
399,997.5
400,1000
401,1002.5
402,1005
403,1007.5
404,1010
405,1012.5
406,1015
407,1017.5
408,1020
409,1022.5
410,1025
411,1027.5
412,1030
413,1032.5
414,1035
415,1037.5
416,1040
417,1042.5
418,1045
419,1047.5
420,1050
421,1052.5
422,1055
423,1057.5
424,1060
425,1062.5
426,1065
427,1067.5
428,1070
429,1072.5
430,1075
431,1077.5
432,1080
433,1082.5
434,1085
435,1087.5
436,1090
437,1092.5
438,1095
439,1097.5
440,1100
441,1102.5
442,1105
443,1107.5
444,1110
445,1112.5
446,1115
447,1117.5
448,1120
449,1122.5
450,1125
451,1127.5
452,1130
453,1132.5
454,1135
455,1137.5
456,1140
457,1142.5
458,1145
459,1147.5
460,1150
461,1152.5
462,1155
463,1157.5
464,1160
465,1162.5
466,1165
467,1167.5
468,1170
469,1172.5
470,1175
471,1177.5
472,1180
473,1182.5
474,1185
475,1187.5
476,1190
477,1192.5
478,1195
479,1197.5
480,1200
481,1202.5
482,1205
483,1207.5
484,1210
485,1212.5
486,1215
487,1217.5
488,1220
489,1222.5
490,1225
491,1227.5
492,1230
493,1232.5
494,1235
495,1237.5
496,1240
497,1242.5
498,1245
499,1247.5
500,1250
501,1252.5
502,1255
503,1257.5
504,1260
505,1262.5
506,1265
507,1267.5
508,1270
509,1272.5
510,1275
511,1277.5
512,1280
513,1282.5
514,1285
515,1287.5
516,1290
517,1292.5
518,1295
519,1297.5
520,1300
521,1302.5
522,1305
523,1307.5
524,1310
525,1312.5
526,1315
527,1317.5
528,1320
529,1322.5
530,1325
531,1327.5
532,1330
533,1332.5
534,1335
535,1337.5
536,1340
537,1342.5
538,1345
539,1347.5
540,1350
541,1352.5
542,1355
543,1357.5
544,1360
545,1362.5
546,1365
547,1367.5
548,1370
549,1372.5
550,1375
551,1377.5
552,1380
553,1382.5
554,1385
555,1387.5
556,1390
557,1392.5
558,1395
559,1397.5
560,1400
561,1402.5
562,1405
563,1407.5
564,1410
565,1412.5
566,1415
567,1417.5
568,1420
569,1422.5
570,1425
571,1427.5
572,1430
573,1432.5
574,1435
575,1437.5
576,1440
577,1442.5
578,1445
579,1447.5
580,1450
581,1452.5
582,1455
583,1457.5
584,1460
585,1462.5
586,1465
587,1467.5
588,1470
589,1472.5
590,1475
591,1477.5
592,1480
593,1482.5
594,1485
595,1487.5
596,1490
597,1492.5
598,1495
599,1497.5
600,1500
601,1502.5
602,1505
603,1507.5
604,1510
605,1512.5
606,1515
607,1517.5
608,1520
609,1522.5
610,1525
611,1527.5
612,1530
613,1532.5
614,1535
615,1537.5
616,1540
617,1542.5
618,1545
619,1547.5
620,1550
621,1552.5
622,1555
623,1557.5
624,1560
625,1562.5
626,1565
627,1567.5
628,1570
629,1572.5
630,1575
631,1577.5
632,1580
633,1582.5
634,1585
635,1587.5
636,1590
637,1592.5
638,1595
639,1597.5
640,1600
641,1602.5
