Stackers,Tours/Day,Operational Maintenance (hrs/yr),Total (hrs/yr)
4,1,194.13,2134.50
5,1,194.13,2141.59
6,1,194.13,2148.69
7,1,194.13,2155.80
8,1,194.13,2162.90
9,1,194.13,2169.99
10,1,194.13,2177.11
11,1,194.13,2184.21
12,1,194.13,2191.30
13,1,194.13,2198.42
14,1,194.13,2205.51
15,1,194.13,2212.61
16,1,194.13,2219.73
17,1,194.13,2226.82
18,1,194.13,2233.92
19,1,194.13,2241.03
20,1,194.13,2248.13
21,1,194.13,2255.22
22,1,194.13,2262.34
23,1,194.13,2269.43
24,1,194.13,2276.53
25,1,194.13,2283.65
4,2,388.27,2328.64
5,2,388.27,2335.73
6,2,388.27,2342.83
7,2,388.27,2349.94
8,2,388.27,2357.04
9,2,388.27,2364.13
10,2,388.27,2371.25
11,2,388.27,2378.35
12,2,388.27,2385.44
13,2,388.27,2392.56
14,2,388.27,2399.65
15,2,388.27,2406.75
16,2,388.27,2413.87
17,2,388.27,2420.96
18,2,388.27,2428.06
19,2,388.27,2435.17
20,2,388.27,2442.27
21,2,388.27,2449.36
22,2,388.27,2456.48
23,2,388.27,2463.57
24,2,388.27,2470.67
25,2,388.27,2477.79
4,3,582.40,2522.77
5,3,582.40,2529.86
6,3,582.40,2536.96
7,3,582.40,2544.07
8,3,582.40,2551.17
9,3,582.40,2558.26
10,3,582.40,2565.38
11,3,582.40,2572.48
12,3,582.40,2579.57
13,3,582.40,2586.69
14,3,582.40,2593.78
15,3,582.40,2600.88
16,3,582.40,2608.00
17,3,582.40,2615.09
18,3,582.40,2622.19
19,3,582.40,2629.30
20,3,582.40,2636.40
21,3,582.40,2643.49
22,3,582.40,2650.61
23,3,582.40,2657.70
24,3,582.40,2664.80
25,3,582.40,2671.92
