Machines,Total (hrs/yr)
1,39.89
2,79.78
3,119.67
4,159.56
5,199.45
6,239.34
7,279.23
8,319.12
9,359.01
10,398.9
11,438.79
12,478.68
13,518.57
14,558.46
15,598.35
16,638.24
17,678.13
18,718.02
19,757.91
20,797.8
21,837.69
22,877.58
23,917.47
24,957.36
25,997.25
26,1037.14
27,1077.03
28,1116.92
29,1156.81
30,1196.7
31,1236.59
32,1276.48
33,1316.37
34,1356.26
35,1396.15
36,1436.04
37,1475.93
38,1515.82
39,1555.71
40,1595.6
41,1635.49
42,1675.38
43,1715.27
44,1755.16
45,1795.05
46,1834.94
47,1874.83
48,1914.72
49,1954.61
50,1994.5
51,2034.39
52,2074.28
53,2114.17
54,2154.06
55,2193.95
56,2233.84
57,2273.73
58,2313.62
59,2353.51
60,2393.4
61,2433.29
62,2473.18
63,2513.07
64,2552.96
65,2592.85
66,2632.74
67,2672.63
68,2712.52
69,2752.41
70,2792.3
71,2832.19
72,2872.08
73,2911.97
74,2951.86
75,2991.75
76,3031.64
77,3071.53
78,3111.42
79,3151.31
80,3191.2
81,3231.09
82,3270.98
83,3310.87
84,3350.76
85,3390.65
86,3430.54
87,3470.43
88,3510.32
89,3550.21
90,3590.1
91,3629.99
92,3669.88
93,3709.77
94,3749.66
95,3789.55
96,3829.44
97,3869.33
98,3909.22
99,3949.11
100,3989
101,4028.89
102,4068.78
103,4108.67
104,4148.56
105,4188.45
106,4228.34
107,4268.23
108,4308.12
109,4348.01
110,4387.9
111,4427.79
112,4467.68
113,4507.57
114,4547.46
115,4587.35
116,4627.24
117,4667.13
118,4707.02
119,4746.91
120,4786.8
121,4826.69
122,4866.58
123,4906.47
124,4946.36
125,4986.25
126,5026.14
127,5066.03
128,5105.92
129,5145.81
130,5185.7
131,5225.59
132,5265.48
133,5305.37
134,5345.26
135,5385.15
136,5425.04
137,5464.93
138,5504.82
139,5544.71
140,5584.6
141,5624.49
142,5664.38
143,5704.27
144,5744.16
145,5784.05
146,5823.94
147,5863.83
148,5903.72
149,5943.61
150,5983.5
151,6023.39
152,6063.28
153,6103.17
154,6143.06
155,6182.95
156,6222.84
157,6262.73
158,6302.62
159,6342.51
160,6382.4
161,6422.29
162,6462.18
163,6502.07
164,6541.96
165,6581.85
166,6621.74
167,6661.63
168,6701.52
169,6741.41
170,6781.3
171,6821.19
172,6861.08
173,6900.97
174,6940.86
175,6980.75
176,7020.64
177,7060.53
178,7100.42
179,7140.31
180,7180.2
181,7220.09
182,7259.98
183,7299.87
184,7339.76
185,7379.65
186,7419.54
187,7459.43
188,7499.32
189,7539.21
190,7579.1
191,7618.99
192,7658.88
193,7698.77
194,7738.66
195,7778.55
196,7818.44
197,7858.33
198,7898.22
199,7938.11
200,7978
201,8017.89
202,8057.78
203,8097.67
204,8137.56
205,8177.45
206,8217.34
207,8257.23
208,8297.12
209,8337.01
210,8376.9
211,8416.79
212,8456.68
213,8496.57
214,8536.46
215,8576.35
216,8616.24
217,8656.13
218,8696.02
219,8735.91
220,8775.8
221,8815.69
222,8855.58
223,8895.47
224,8935.36
225,8975.25
226,9015.14
227,9055.03
228,9094.92
229,9134.81
230,9174.7
231,9214.59
232,9254.48
233,9294.37
234,9334.26
235,9374.15
236,9414.04
237,9453.93
238,9493.82
239,9533.71
240,9573.6
241,9613.49
242,9653.38
243,9693.27
244,9733.16
245,9773.05
246,9812.94
247,9852.83
248,9892.72
249,9932.61
250,9972.5
251,10012.39
252,10052.28
253,10092.17
254,10132.06
255,10171.95
256,10211.84
257,10251.73
258,10291.62
259,10331.51
260,10371.4
261,10411.29
262,10451.18
263,10491.07
264,10530.96
265,10570.85
266,10610.74
267,10650.63
268,10690.52
269,10730.41
270,10770.3
271,10810.19
272,10850.08
273,10889.97
274,10929.86
275,10969.75
276,11009.64
277,11049.53
278,11089.42
279,11129.31
280,11169.2
281,11209.09
282,11248.98
283,11288.87
284,11328.76
285,11368.65
286,11408.54
287,11448.43
288,11488.32
289,11528.21
290,11568.1
291,11607.99
292,11647.88
293,11687.77
294,11727.66
295,11767.55
296,11807.44
297,11847.33
298,11887.22
299,11927.11
300,11967
301,12006.89
302,12046.78
303,12086.67
304,12126.56
305,12166.45
306,12206.34
307,12246.23
308,12286.12
309,12326.01
310,12365.9
311,12405.79
312,12445.68
313,12485.57
314,12525.46
315,12565.35
316,12605.24
317,12645.13
318,12685.02
319,12724.91
320,12764.8
321,12804.69
322,12844.58
323,12884.47
324,12924.36
325,12964.25
326,13004.14
327,13044.03
328,13083.92
329,13123.81
330,13163.7
331,13203.59
332,13243.48
333,13283.37
334,13323.26
335,13363.15
336,13403.04
337,13442.93
338,13482.82
339,13522.71
340,13562.6
341,13602.49
342,13642.38
343,13682.27
344,13722.16
345,13762.05
346,13801.94
347,13841.83
348,13881.72
349,13921.61
350,13961.5
351,14001.39
352,14041.28
353,14081.17
354,14121.06
355,14160.95
356,14200.84
357,14240.73
358,14280.62
359,14320.51
360,14360.4
361,14400.29
362,14440.18
363,14480.07
364,14519.96
365,14559.85
366,14599.74
367,14639.63
368,14679.52
369,14719.41
370,14759.3
371,14799.19
372,14839.08
373,14878.97
374,14918.86
375,14958.75
376,14998.64
377,15038.53
378,15078.42
379,15118.31
380,15158.2
381,15198.09
382,15237.98
383,15277.87
384,15317.76
385,15357.65
386,15397.54
387,15437.43
388,15477.32
389,15517.21
390,15557.1
391,15596.99
392,15636.88
393,15676.77
394,15716.66
395,15756.55
396,15796.44
397,15836.33
398,15876.22
399,15916.11
400,15956
401,15995.89
402,16035.78
403,16075.67
404,16115.56
405,16155.45
406,16195.34
407,16235.23
408,16275.12
409,16315.01
410,16354.9
411,16394.79
412,16434.68
413,16474.57
414,16514.46
415,16554.35
416,16594.24
417,16634.13
418,16674.02
419,16713.91
420,16753.8
421,16793.69
422,16833.58
423,16873.47
424,16913.36
425,16953.25
426,16993.14
427,17033.03
428,17072.92
429,17112.81
430,17152.7
431,17192.59
432,17232.48
433,17272.37
434,17312.26
435,17352.15
436,17392.04
437,17431.93
438,17471.82
439,17511.71
440,17551.6
441,17591.49
442,17631.38
443,17671.27
444,17711.16
445,17751.05
446,17790.94
447,17830.83
448,17870.72
449,17910.61
450,17950.5
451,17990.39
452,18030.28
453,18070.17
454,18110.06
455,18149.95
456,18189.84
457,18229.73
458,18269.62
459,18309.51
460,18349.4
461,18389.29
462,18429.18
463,18469.07
464,18508.96
465,18548.85
466,18588.74
467,18628.63
468,18668.52
469,18708.41
470,18748.3
471,18788.19
472,18828.08
473,18867.97
474,18907.86
475,18947.75
476,18987.64
477,19027.53
478,19067.42
479,19107.31
480,19147.2
481,19187.09
482,19226.98
483,19266.87
484,19306.76
485,19346.65
486,19386.54
487,19426.43
488,19466.32
489,19506.21
490,19546.1
491,19585.99
492,19625.88
493,19665.77
494,19705.66
495,19745.55
496,19785.44
497,19825.33
498,19865.22
499,19905.11
500,19945
501,19984.89
502,20024.78
503,20064.67
504,20104.56
505,20144.45
506,20184.34
507,20224.23
508,20264.12
509,20304.01
510,20343.9
511,20383.79
512,20423.68
513,20463.57
514,20503.46
515,20543.35
516,20583.24
517,20623.13
518,20663.02
519,20702.91
520,20742.8
521,20782.69
522,20822.58
523,20862.47
524,20902.36
525,20942.25
526,20982.14
527,21022.03
528,21061.92
529,21101.81
530,21141.7
531,21181.59
532,21221.48
533,21261.37
534,21301.26
535,21341.15
536,21381.04
537,21420.93
538,21460.82
539,21500.71
540,21540.6
541,21580.49
542,21620.38
543,21660.27
544,21700.16
545,21740.05
546,21779.94
547,21819.83
548,21859.72
549,21899.61
550,21939.5
551,21979.39
552,22019.28
553,22059.17
554,22099.06
555,22138.95
556,22178.84
557,22218.73
558,22258.62
559,22298.51
560,22338.4
561,22378.29
562,22418.18
563,22458.07
564,22497.96
565,22537.85
566,22577.74
567,22617.63
568,22657.52
569,22697.41
570,22737.3
571,22777.19
572,22817.08
573,22856.97
574,22896.86
575,22936.75
576,22976.64
577,23016.53
578,23056.42
579,23096.31
580,23136.2
581,23176.09
582,23215.98
583,23255.87
584,23295.76
585,23335.65
586,23375.54
587,23415.43
588,23455.32
589,23495.21
590,23535.1
591,23574.99
592,23614.88
593,23654.77
594,23694.66
595,23734.55
596,23774.44
597,23814.33
598,23854.22
599,23894.11
600,23934
601,23973.89
602,24013.78
603,24053.67
604,24093.56
605,24133.45
606,24173.34
607,24213.23
608,24253.12
609,24293.01
610,24332.9
611,24372.79
612,24412.68
613,24452.57
614,24492.46
615,24532.35
616,24572.24
617,24612.13
618,24652.02
619,24691.91
620,24731.8
621,24771.69
622,24811.58
623,24851.47
624,24891.36
625,24931.25
626,24971.14
627,25011.03
628,25050.92
629,25090.81
630,25130.7
631,25170.59
632,25210.48
633,25250.37
634,25290.26
635,25330.15
636,25370.04
637,25409.93
638,25449.82
639,25489.71
640,25529.6
641,25569.49
642,25609.38
643,25649.27
644,25689.16
645,25729.05
646,25768.94
647,25808.83
648,25848.72
649,25888.61
650,25928.5
651,25968.39
652,26008.28
653,26048.17
654,26088.06
655,26127.95
656,26167.84
657,26207.73
658,26247.62
659,26287.51
660,26327.4
661,26367.29
662,26407.18
663,26447.07
664,26486.96
665,26526.85
666,26566.74
667,26606.63
668,26646.52
669,26686.41
670,26726.3
671,26766.19
672,26806.08
673,26845.97
674,26885.86
675,26925.75
676,26965.64
677,27005.53
678,27045.42
679,27085.31
680,27125.2
681,27165.09
682,27204.98
683,27244.87
684,27284.76
685,27324.65
686,27364.54
687,27404.43
688,27444.32
689,27484.21
690,27524.1
691,27563.99
692,27603.88
693,27643.77
694,27683.66
695,27723.55
696,27763.44
697,27803.33
698,27843.22
699,27883.11
700,27923
701,27962.89
702,28002.78
703,28042.67
704,28082.56
705,28122.45
706,28162.34
707,28202.23
708,28242.12
709,28282.01
710,28321.9
711,28361.79
712,28401.68
713,28441.57
714,28481.46
715,28521.35
716,28561.24
717,28601.13
718,28641.02
719,28680.91
720,28720.8
721,28760.69
722,28800.58
723,28840.47
724,28880.36
725,28920.25
726,28960.14
727,29000.03
728,29039.92
729,29079.81
730,29119.7
731,29159.59
732,29199.48
733,29239.37
734,29279.26
735,29319.15
736,29359.04
737,29398.93
738,29438.82
739,29478.71
740,29518.6
741,29558.49
742,29598.38
743,29638.27
744,29678.16
745,29718.05
746,29757.94
747,29797.83
748,29837.72
749,29877.61
750,29917.5
751,29957.39
752,29997.28
753,30037.17
754,30077.06
755,30116.95
756,30156.84
757,30196.73
758,30236.62
759,30276.51
760,30316.4
761,30356.29
762,30396.18
763,30436.07
764,30475.96
765,30515.85
766,30555.74
767,30595.63
768,30635.52
769,30675.41
770,30715.3
771,30755.19
772,30795.08
773,30834.97
774,30874.86
775,30914.75
776,30954.64
777,30994.53
778,31034.42
779,31074.31
780,31114.2
781,31154.09
782,31193.98
783,31233.87
784,31273.76
785,31313.65
