Machines,Total (hrs/yr)
1,9.3
2,18.6
3,27.9
4,37.2
5,46.5
6,55.8
7,65.1
8,74.4
9,83.7
10,93
11,102.3
12,111.6
13,120.9
14,130.2
15,139.5
16,148.8
17,158.1
18,167.4
19,176.7
20,186
21,195.3
22,204.6
23,213.9
24,223.2
25,232.5
26,241.8
27,251.1
28,260.4
29,269.7
30,279
31,288.3
32,297.6
33,306.9
34,316.2
35,325.5
36,334.8
37,344.1
38,353.4
39,362.7
40,372
41,381.3
42,390.6
43,399.9
44,409.2
45,418.5
46,427.8
47,437.1
48,446.4
49,455.7
50,465
51,474.3
52,483.6
53,492.9
54,502.2
55,511.5
56,520.8
57,530.1
58,539.4
59,548.7
60,558
61,567.3
62,576.6
63,585.9
64,595.2
65,604.5
66,613.8
67,623.1
68,632.4
69,641.7
70,651
71,660.3
72,669.6
73,678.9
74,688.2
75,697.5
76,706.8
77,716.1
78,725.4
79,734.7
80,744
81,753.3
82,762.6
83,771.9
84,781.2
85,790.5
86,799.8
87,809.1
88,818.4
89,827.7
90,837
91,846.3
92,855.6
93,864.9
94,874.2
95,883.5
96,892.8
97,902.1
98,911.4
99,920.7
100,930
101,939.3
102,948.6
103,957.9
104,967.2
105,976.5
106,985.8
107,995.1
108,1004.4
109,1013.7
110,1023
111,1032.3
112,1041.6
113,1050.9
114,1060.2
115,1069.5
116,1078.8
117,1088.1
118,1097.4
119,1106.7
120,1116
121,1125.3
122,1134.6
123,1143.9
124,1153.2
125,1162.5
126,1171.8
127,1181.1
128,1190.4
129,1199.7
130,1209
131,1218.3
132,1227.6
133,1236.9
134,1246.2
135,1255.5
136,1264.8
137,1274.1
138,1283.4
139,1292.7
140,1302
141,1311.3
142,1320.6
143,1329.9
144,1339.2
145,1348.5
146,1357.8
147,1367.1
148,1376.4
149,1385.7
150,1395
151,1404.3
152,1413.6
153,1422.9
154,1432.2
155,1441.5
156,1450.8
157,1460.1
158,1469.4
159,1478.7
160,1488
161,1497.3
162,1506.6
163,1515.9
164,1525.2
165,1534.5
166,1543.8
167,1553.1
168,1562.4
169,1571.7
170,1581
171,1590.3
172,1599.6
173,1608.9
174,1618.2
175,1627.5
176,1636.8
177,1646.1
178,1655.4
179,1664.7
180,1674
181,1683.3
182,1692.6
183,1701.9
184,1711.2
185,1720.5
186,1729.8
187,1739.1
188,1748.4
189,1757.7
190,1767
191,1776.3
192,1785.6
193,1794.9
194,1804.2
195,1813.5
196,1822.8
197,1832.1
198,1841.4
199,1850.7
200,1860
201,1869.3
202,1878.6
203,1887.9
204,1897.2
205,1906.5
206,1915.8
207,1925.1
208,1934.4
209,1943.7
210,1953
211,1962.3
212,1971.6
213,1980.9
214,1990.2
215,1999.5
216,2008.8
217,2018.1
218,2027.4
219,2036.7
220,2046
221,2055.3
222,2064.6
223,2073.9
224,2083.2
225,2092.5
226,2101.8
227,2111.1
228,2120.4
229,2129.7
230,2139
231,2148.3
232,2157.6
233,2166.9
234,2176.2
235,2185.5
236,2194.8
237,2204.1
238,2213.4
239,2222.7
240,2232
241,2241.3
242,2250.6
243,2259.9
244,2269.2
245,2278.5
246,2287.8
247,2297.1
248,2306.4
249,2315.7
250,2325
251,2334.3
252,2343.6
253,2352.9
254,2362.2
255,2371.5
256,2380.8
257,2390.1
258,2399.4
259,2408.7
260,2418
261,2427.3
262,2436.6
263,2445.9
264,2455.2
265,2464.5
266,2473.8
267,2483.1
268,2492.4
269,2501.7
270,2511
271,2520.3
272,2529.6
273,2538.9
274,2548.2
