Machines,Total (hrs/yr)
1,209.86
2,419.72
3,629.58
4,839.44
5,1049.3
6,1259.16
7,1469.02
8,1678.88
9,1888.74
10,2098.6
11,2308.46
12,2518.32
13,2728.18
14,2938.04
15,3147.9
16,3357.76
17,3567.62
18,3777.48
19,3987.34
20,4197.2
21,4407.06
22,4616.92
23,4826.78
24,5036.64
25,5246.5
26,5456.36
27,5666.22
28,5876.08
29,6085.94
30,6295.8
31,6505.66
32,6715.52
33,6925.38
34,7135.24
35,7345.1
36,7554.96
37,7764.82
38,7974.68
39,8184.54
40,8394.4
41,8604.26
42,8814.12
43,9023.98
44,9233.84
45,9443.7
46,9653.56
47,9863.42
48,10073.28
49,10283.14
50,10493
51,10702.86
52,10912.72
53,11122.58
54,11332.44
55,11542.3
56,11752.16
57,11962.02
58,12171.88
59,12381.74
60,12591.6
61,12801.46
62,13011.32
63,13221.18
64,13431.04
65,13640.9
66,13850.76
67,14060.62
68,14270.48
69,14480.34
70,14690.2
71,14900.06
72,15109.92
73,15319.78
74,15529.64
75,15739.5
76,15949.36
77,16159.22
78,16369.08
79,16578.94
80,16788.8
81,16998.66
82,17208.52
83,17418.38
84,17628.24
85,17838.1
86,18047.96
87,18257.82
88,18467.68
89,18677.54
90,18887.4
91,19097.26
92,19307.12
93,19516.98
94,19726.84
95,19936.7
96,20146.56
97,20356.42
98,20566.28
99,20776.14
100,20986
101,21195.86
102,21405.72
103,21615.58
104,21825.44
105,22035.3
106,22245.16
107,22455.02
108,22664.88
109,22874.74
110,23084.6
111,23294.46
112,23504.32
113,23714.18
114,23924.04
115,24133.9
116,24343.76
117,24553.62
118,24763.48
119,24973.34
120,25183.2
121,25393.06
122,25602.92
123,25812.78
124,26022.64
125,26232.5
126,26442.36
127,26652.22
128,26862.08
129,27071.94
130,27281.8
131,27491.66
132,27701.52
133,27911.38
134,28121.24
135,28331.1
136,28540.96
137,28750.82
138,28960.68
139,29170.54
140,29380.4
141,29590.26
142,29800.12
143,30009.98
144,30219.84
145,30429.7
146,30639.56
147,30849.42
148,31059.28
149,31269.14
150,31479
151,31688.86
152,31898.72
153,32108.58
154,32318.44
155,32528.3
156,32738.16
157,32948.02
158,33157.88
159,33367.74
160,33577.6
161,33787.46
162,33997.32
163,34207.18
164,34417.04
165,34626.9
166,34836.76
167,35046.62
168,35256.48
169,35466.34
170,35676.2
171,35886.06
172,36095.92
173,36305.78
174,36515.64
175,36725.5
176,36935.36
177,37145.22
178,37355.08
179,37564.94
180,37774.8
181,37984.66
182,38194.52
183,38404.38
184,38614.24
185,38824.1
186,39033.96
187,39243.82
188,39453.68
189,39663.54
190,39873.4
191,40083.26
192,40293.12
193,40502.98
194,40712.84
195,40922.7
196,41132.56
197,41342.42
198,41552.28
199,41762.14
200,41972
201,42181.86
202,42391.72
203,42601.58
204,42811.44
205,43021.3
206,43231.16
207,43441.02
208,43650.88
209,43860.74
210,44070.6
211,44280.46
212,44490.32
213,44700.18
214,44910.04
215,45119.9
216,45329.76
217,45539.62
218,45749.48
219,45959.34
220,46169.2
221,46379.06
222,46588.92
223,46798.78
224,47008.64
225,47218.5
226,47428.36
227,47638.22
228,47848.08
229,48057.94
230,48267.8
231,48477.66
232,48687.52
233,48897.38
234,49107.24
235,49317.1
236,49526.96
237,49736.82
238,49946.68
239,50156.54
240,50366.4
241,50576.26
242,50786.12
243,50995.98
244,51205.84
245,51415.7
246,51625.56
247,51835.42
248,52045.28
249,52255.14
250,52465
251,52674.86
252,52884.72
253,53094.58
254,53304.44
255,53514.3
256,53724.16
257,53934.02
258,54143.88
259,54353.74
260,54563.6
261,54773.46
262,54983.32
263,55193.18
264,55403.04
265,55612.9
266,55822.76
267,56032.62
268,56242.48
269,56452.34
270,56662.2
271,56872.06
272,57081.92
273,57291.78
274,57501.64
275,57711.5
276,57921.36
277,58131.22
278,58341.08
279,58550.94
280,58760.8
281,58970.66
282,59180.52
283,59390.38
284,59600.24
285,59810.1
286,60019.96
287,60229.82
288,60439.68
289,60649.54
290,60859.4
291,61069.26
292,61279.12
293,61488.98
294,61698.84
295,61908.7
296,62118.56
297,62328.42
298,62538.28
299,62748.14
300,62958
301,63167.86
302,63377.72
303,63587.58
304,63797.44
305,64007.3
306,64217.16
307,64427.02
308,64636.88
309,64846.74
310,65056.6
311,65266.46
312,65476.32
313,65686.18
314,65896.04
315,66105.9
316,66315.76
317,66525.62
318,66735.48
319,66945.34
320,67155.2
321,67365.06
322,67574.92
323,67784.78
324,67994.64
325,68204.5
326,68414.36
327,68624.22
328,68834.08
329,69043.94
330,69253.8
331,69463.66
332,69673.52
333,69883.38
334,70093.24
335,70303.1
336,70512.96
337,70722.82
338,70932.68
339,71142.54
340,71352.4
341,71562.26
342,71772.12
343,71981.98
344,72191.84
345,72401.7
346,72611.56
347,72821.42
348,73031.28
349,73241.14
350,73451
351,73660.86
352,73870.72
353,74080.58
354,74290.44
355,74500.3
356,74710.16
357,74920.02
358,75129.88
359,75339.74
360,75549.6
361,75759.46
362,75969.32
363,76179.18
364,76389.04
365,76598.9
366,76808.76
367,77018.62
368,77228.48
369,77438.34
370,77648.2
371,77858.06
372,78067.92
373,78277.78
374,78487.64
375,78697.5
376,78907.36
377,79117.22
378,79327.08
379,79536.94
380,79746.8
381,79956.66
382,80166.52
383,80376.38
384,80586.24
385,80796.1
386,81005.96
387,81215.82
388,81425.68
389,81635.54
390,81845.4
391,82055.26
392,82265.12
393,82474.98
394,82684.84
395,82894.7
396,83104.56
397,83314.42
398,83524.28
399,83734.14
400,83944
401,84153.86
402,84363.72
403,84573.58
404,84783.44
405,84993.3
406,85203.16
407,85413.02
408,85622.88
409,85832.74
410,86042.6
411,86252.46
412,86462.32
413,86672.18
414,86882.04
415,87091.9
416,87301.76
417,87511.62
418,87721.48
419,87931.34
420,88141.2
421,88351.06
422,88560.92
423,88770.78
424,88980.64
425,89190.5
426,89400.36
427,89610.22
