Machines,Total (hrs/yr)
1,526.77
2,1053.54
3,1580.31
4,2107.08
5,2633.85
6,3160.62
7,3687.39
8,4214.16
9,4740.93
10,5267.7
11,5794.47
12,6321.24
13,6848.01
14,7374.78
15,7901.55
16,8428.32
17,8955.09
18,9481.86
19,10008.63
20,10535.4
21,11062.17
22,11588.94
23,12115.71
24,12642.48
25,13169.25
26,13696.02
27,14222.79
28,14749.56
29,15276.33
30,15803.1
31,16329.87
32,16856.64
33,17383.41
34,17910.18
35,18436.95
36,18963.72
37,19490.49
38,20017.26
39,20544.03
40,21070.8
41,21597.57
42,22124.34
43,22651.11
44,23177.88
45,23704.65
46,24231.42
47,24758.19
48,25284.96
49,25811.73
50,26338.5
51,26865.27
52,27392.04
53,27918.81
54,28445.58
55,28972.35
56,29499.12
57,30025.89
58,30552.66
59,31079.43
60,31606.2
61,32132.97
62,32659.74
63,33186.51
64,33713.28
65,34240.05
66,34766.82
67,35293.59
68,35820.36
69,36347.13
70,36873.9
71,37400.67
72,37927.44
73,38454.21
74,38980.98
75,39507.75
76,40034.52
77,40561.29
78,41088.06
79,41614.83
80,42141.6
81,42668.37
82,43195.14
83,43721.91
84,44248.68
85,44775.45
86,45302.22
87,45828.99
88,46355.76
89,46882.53
90,47409.3
91,47936.07
92,48462.84
93,48989.61
94,49516.38
95,50043.15
96,50569.92
97,51096.69
98,51623.46
99,52150.23
100,52677
101,53203.77
102,53730.54
103,54257.31
104,54784.08
105,55310.85
106,55837.62
107,56364.39
108,56891.16
109,57417.93
110,57944.7
111,58471.47
112,58998.24
113,59525.01
114,60051.78
115,60578.55
116,61105.32
117,61632.09
118,62158.86
119,62685.63
120,63212.4
121,63739.17
122,64265.94
123,64792.71
124,65319.48
125,65846.25
126,66373.02
127,66899.79
128,67426.56
129,67953.33
130,68480.1
131,69006.87
132,69533.64
133,70060.41
134,70587.18
135,71113.95
136,71640.72
137,72167.49
138,72694.26
139,73221.03
140,73747.8
141,74274.57
142,74801.34
143,75328.11
144,75854.88
145,76381.65
146,76908.42
147,77435.19
148,77961.96
149,78488.73
150,79015.5
151,79542.27
152,80069.04
153,80595.81
154,81122.58
155,81649.35
156,82176.12
157,82702.89
158,83229.66
159,83756.43
160,84283.2
161,84809.97
162,85336.74
163,85863.51
164,86390.28
165,86917.05
166,87443.82
167,87970.59
168,88497.36
169,89024.13
170,89550.9
171,90077.67
172,90604.44
173,91131.21
174,91657.98
175,92184.75
176,92711.52
177,93238.29
178,93765.06
179,94291.83
180,94818.6
181,95345.37
182,95872.14
183,96398.91
184,96925.68
185,97452.45
186,97979.22
187,98505.99
188,99032.76
189,99559.53
190,100086.3
191,100613.07
192,101139.84
193,101666.61
194,102193.38
195,102720.15
196,103246.92
197,103773.69
198,104300.46
199,104827.23
200,105354
201,105880.77
202,106407.54
203,106934.31
204,107461.08
205,107987.85
206,108514.62
207,109041.39
208,109568.16
209,110094.93
210,110621.7
211,111148.47
212,111675.24
213,112202.01
214,112728.78
215,113255.55
216,113782.32
217,114309.09
218,114835.86
219,115362.63
220,115889.4
221,116416.17
222,116942.94
223,117469.71
224,117996.48
225,118523.25
226,119050.02
227,119576.79
228,120103.56
229,120630.33
230,121157.1
231,121683.87
232,122210.64
233,122737.41
234,123264.18
235,123790.95
236,124317.72
237,124844.49
238,125371.26
239,125898.03
240,126424.8
241,126951.57
242,127478.34
243,128005.11
244,128531.88
245,129058.65
246,129585.42
247,130112.19
248,130638.96
249,131165.73
250,131692.5
251,132219.27
252,132746.04
253,133272.81
254,133799.58
255,134326.35
256,134853.12
257,135379.89
258,135906.66
259,136433.43
260,136960.2
261,137486.97
262,138013.74
263,138540.51
264,139067.28
265,139594.05
266,140120.82
267,140647.59
268,141174.36
269,141701.13
270,142227.9
271,142754.67
272,143281.44
273,143808.21
274,144334.98
275,144861.75
276,145388.52
277,145915.29
278,146442.06
279,146968.83
280,147495.6
281,148022.37
282,148549.14
283,149075.91
284,149602.68
285,150129.45
286,150656.22
287,151182.99
288,151709.76
289,152236.53
290,152763.3
291,153290.07
292,153816.84
293,154343.61
294,154870.38
295,155397.15
296,155923.92
297,156450.69
298,156977.46
299,157504.23
300,158031
301,158557.77
302,159084.54
303,159611.31
304,160138.08
305,160664.85
306,161191.62
307,161718.39
308,162245.16
309,162771.93
310,163298.7
311,163825.47
312,164352.24
313,164879.01
314,165405.78
315,165932.55
316,166459.32
317,166986.09
318,167512.86
319,168039.63
320,168566.4
321,169093.17
322,169619.94
323,170146.71
324,170673.48
325,171200.25
326,171727.02
327,172253.79
328,172780.56
329,173307.33
330,173834.1
331,174360.87
332,174887.64
333,175414.41
334,175941.18
335,176467.95
336,176994.72
337,177521.49
338,178048.26
339,178575.03
340,179101.8
341,179628.57
342,180155.34
343,180682.11
344,181208.88
345,181735.65
346,182262.42
347,182789.19
348,183315.96
349,183842.73
350,184369.5
351,184896.27
352,185423.04
353,185949.81
354,186476.58
355,187003.35
356,187530.12
357,188056.89
358,188583.66
359,189110.43
360,189637.2
361,190163.97
362,190690.74
363,191217.51
364,191744.28
365,192271.05
366,192797.82
367,193324.59
368,193851.36
369,194378.13
370,194904.9
371,195431.67
372,195958.44
373,196485.21
374,197011.98
375,197538.75
376,198065.52
377,198592.29
378,199119.06
379,199645.83
380,200172.6
381,200699.37
382,201226.14
383,201752.91
384,202279.68
385,202806.45
386,203333.22
387,203859.99
388,204386.76
389,204913.53
390,205440.3
391,205967.07
392,206493.84
393,207020.61
394,207547.38
395,208074.15
396,208600.92
397,209127.69
398,209654.46
399,210181.23
400,210708
401,211234.77
402,211761.54
403,212288.31
404,212815.08
405,213341.85
406,213868.62
407,214395.39
408,214922.16
409,215448.93
410,215975.7
411,216502.47
412,217029.24
413,217556.01
414,218082.78
415,218609.55
416,219136.32
417,219663.09
418,220189.86
419,220716.63
420,221243.4
421,221770.17
422,222296.94
423,222823.71
424,223350.48
425,223877.25
426,224404.02
427,224930.79
428,225457.56
429,225984.33
430,226511.1
431,227037.87
432,227564.64
433,228091.41
434,228618.18
435,229144.95
436,229671.72
437,230198.49
438,230725.26
439,231252.03
440,231778.8
441,232305.57
442,232832.34
443,233359.11
444,233885.88
445,234412.65
446,234939.42
447,235466.19
448,235992.96
449,236519.73
450,237046.5
451,237573.27
452,238100.04
453,238626.81
454,239153.58
455,239680.35
456,240207.12
457,240733.89
458,241260.66
459,241787.43
460,242314.2
461,242840.97
462,243367.74
463,243894.51
464,244421.28
465,244948.05
466,245474.82
467,246001.59
468,246528.36
469,247055.13
470,247581.9
471,248108.67
472,248635.44
473,249162.21
474,249688.98
475,250215.75
476,250742.52
477,251269.29
478,251796.06
479,252322.83
480,252849.6
481,253376.37
482,253903.14
483,254429.91
484,254956.68
485,255483.45
486,256010.22
487,256536.99
488,257063.76
489,257590.53
490,258117.3
491,258644.07
492,259170.84
493,259697.61
494,260224.38
495,260751.15
496,261277.92
497,261804.69
498,262331.46
499,262858.23
500,263385
501,263911.77
502,264438.54
503,264965.31
504,265492.08
505,266018.85
506,266545.62
507,267072.39
508,267599.16
509,268125.93
510,268652.7
511,269179.47
512,269706.24
513,270233.01
514,270759.78
515,271286.55
516,271813.32
517,272340.09
518,272866.86
519,273393.63
520,273920.4
521,274447.17
522,274973.94
523,275500.71
524,276027.48
525,276554.25
526,277081.02
527,277607.79
528,278134.56
529,278661.33
530,279188.1
531,279714.87
532,280241.64
533,280768.41
534,281295.18
535,281821.95
536,282348.72
537,282875.49
538,283402.26
539,283929.03
540,284455.8
541,284982.57
542,285509.34
543,286036.11
544,286562.88
545,287089.65
546,287616.42
547,288143.19
548,288669.96
549,289196.73
550,289723.5
551,290250.27
552,290777.04
553,291303.81
554,291830.58
555,292357.35
556,292884.12
557,293410.89
558,293937.66
559,294464.43
560,294991.2
561,295517.97
562,296044.74
563,296571.51
564,297098.28
565,297625.05
566,298151.82
567,298678.59
568,299205.36
569,299732.13
570,300258.9
571,300785.67
572,301312.44
573,301839.21
574,302365.98
575,302892.75
576,303419.52
577,303946.29
578,304473.06
579,304999.83
580,305526.6
581,306053.37
582,306580.14
583,307106.91
584,307633.68
585,308160.45
586,308687.22
587,309213.99
588,309740.76
589,310267.53
590,310794.3
591,311321.07
592,311847.84
593,312374.61
594,312901.38
595,313428.15
596,313954.92
597,314481.69
598,315008.46
599,315535.23
600,316062
601,316588.77
602,317115.54
603,317642.31
604,318169.08
605,318695.85
606,319222.62
607,319749.39
608,320276.16
609,320802.93
610,321329.7
611,321856.47
612,322383.24
613,322910.01
614,323436.78
615,323963.55
616,324490.32
617,325017.09
618,325543.86
619,326070.63
620,326597.4
621,327124.17
622,327650.94
623,328177.71
624,328704.48
625,329231.25
626,329758.02
627,330284.79
628,330811.56
629,331338.33
630,331865.1
631,332391.87
632,332918.64
633,333445.41
634,333972.18
635,334498.95
636,335025.72
637,335552.49
638,336079.26
639,336606.03
640,337132.8
641,337659.57
642,338186.34
643,338713.11
644,339239.88
645,339766.65
646,340293.42
647,340820.19
648,341346.96
649,341873.73
650,342400.5
651,342927.27
652,343454.04
653,343980.81
654,344507.58
655,345034.35
656,345561.12
657,346087.89
658,346614.66
659,347141.43
660,347668.2
661,348194.97
662,348721.74
663,349248.51
664,349775.28
665,350302.05
666,350828.82
667,351355.59
668,351882.36
669,352409.13
670,352935.9
671,353462.67
672,353989.44
673,354516.21
674,355042.98
675,355569.75
676,356096.52
677,356623.29
678,357150.06
679,357676.83
680,358203.6
681,358730.37
682,359257.14
683,359783.91
684,360310.68
685,360837.45
686,361364.22
687,361890.99
688,362417.76
689,362944.53
690,363471.3
691,363998.07
692,364524.84
693,365051.61
694,365578.38
695,366105.15
696,366631.92
697,367158.69
698,367685.46
699,368212.23
700,368739
701,369265.77
702,369792.54
703,370319.31
704,370846.08
705,371372.85
706,371899.62
707,372426.39
708,372953.16
709,373479.93
710,374006.7
711,374533.47
712,375060.24
713,375587.01
714,376113.78
715,376640.55
716,377167.32
717,377694.09
718,378220.86
719,378747.63
720,379274.4
721,379801.17
722,380327.94
723,380854.71
724,381381.48
725,381908.25
726,382435.02
727,382961.79
728,383488.56
729,384015.33
730,384542.1
731,385068.87
732,385595.64
733,386122.41
734,386649.18
735,387175.95
736,387702.72
737,388229.49
738,388756.26
739,389283.03
740,389809.8
741,390336.57
742,390863.34
743,391390.11
744,391916.88
745,392443.65
746,392970.42
747,393497.19
748,394023.96
749,394550.73
750,395077.5
751,395604.27
752,396131.04
753,396657.81
754,397184.58
755,397711.35
756,398238.12
757,398764.89
758,399291.66
759,399818.43
760,400345.2
761,400871.97
762,401398.74
763,401925.51
764,402452.28
765,402979.05
766,403505.82
767,404032.59
768,404559.36
769,405086.13
770,405612.9
771,406139.67
772,406666.44
773,407193.21
774,407719.98
775,408246.75
776,408773.52
777,409300.29
778,409827.06
779,410353.83
780,410880.6
781,411407.37
782,411934.14
783,412460.91
784,412987.68
785,413514.45
786,414041.22
787,414567.99
788,415094.76
789,415621.53
790,416148.3
791,416675.07
792,417201.84
793,417728.61
794,418255.38
795,418782.15
796,419308.92
797,419835.69
798,420362.46
799,420889.23
800,421416
801,421942.77
802,422469.54
803,422996.31
804,423523.08
805,424049.85
806,424576.62
807,425103.39
808,425630.16
809,426156.93
810,426683.7
811,427210.47
812,427737.24
813,428264.01
814,428790.78
815,429317.55
816,429844.32
817,430371.09
818,430897.86
819,431424.63
820,431951.4
821,432478.17
822,433004.94
823,433531.71
824,434058.48
825,434585.25
826,435112.02
827,435638.79
828,436165.56
829,436692.33
830,437219.1
831,437745.87
832,438272.64
833,438799.41
834,439326.18
835,439852.95
836,440379.72
837,440906.49
838,441433.26
839,441960.03
840,442486.8
841,443013.57
842,443540.34
843,444067.11
844,444593.88
845,445120.65
846,445647.42
847,446174.19
848,446700.96
849,447227.73
850,447754.5
851,448281.27
852,448808.04
853,449334.81
854,449861.58
855,450388.35
856,450915.12
857,451441.89
858,451968.66
859,452495.43
860,453022.2
861,453548.97
862,454075.74
863,454602.51
864,455129.28
865,455656.05
866,456182.82
867,456709.59
868,457236.36
869,457763.13
870,458289.9
871,458816.67
872,459343.44
873,459870.21
874,460396.98
875,460923.75
876,461450.52
877,461977.29
878,462504.06
879,463030.83
880,463557.6
881,464084.37
882,464611.14
883,465137.91
884,465664.68
885,466191.45
886,466718.22
887,467244.99
888,467771.76
889,468298.53
890,468825.3
891,469352.07
892,469878.84
893,470405.61
894,470932.38
895,471459.15
896,471985.92
897,472512.69
898,473039.46
899,473566.23
900,474093
901,474619.77
902,475146.54
903,475673.31
904,476200.08
905,476726.85
906,477253.62
907,477780.39
908,478307.16
909,478833.93
910,479360.7
911,479887.47
912,480414.24
913,480941.01
914,481467.78
915,481994.55
916,482521.32
917,483048.09
918,483574.86
919,484101.63
920,484628.4
921,485155.17
922,485681.94
923,486208.71
924,486735.48
925,487262.25
926,487789.02
927,488315.79
928,488842.56
929,489369.33
930,489896.1
931,490422.87
932,490949.64
933,491476.41
934,492003.18
935,492529.95
936,493056.72
937,493583.49
938,494110.26
939,494637.03
940,495163.8
941,495690.57
942,496217.34
943,496744.11
944,497270.88
945,497797.65
946,498324.42
947,498851.19
948,499377.96
949,499904.73
950,500431.5
951,500958.27
952,501485.04
953,502011.81
954,502538.58
955,503065.35
956,503592.12
957,504118.89
958,504645.66
959,505172.43
960,505699.2
961,506225.97
962,506752.74
963,507279.51
964,507806.28
965,508333.05
966,508859.82
967,509386.59
968,509913.36
969,510440.13
970,510966.9
971,511493.67
972,512020.44
973,512547.21
974,513073.98
975,513600.75
976,514127.52
977,514654.29
978,515181.06
979,515707.83
980,516234.6
981,516761.37
982,517288.14
983,517814.91
984,518341.68
985,518868.45
986,519395.22
987,519921.99
988,520448.76
989,520975.53
990,521502.3
991,522029.07
992,522555.84
993,523082.61
994,523609.38
995,524136.15
996,524662.92
997,525189.69
998,525716.46
999,526243.23
1000,526770
