Machines,Total (hrs/yr)
1,42.15
2,84.3
3,126.45
4,168.6
5,210.75
6,252.9
7,295.05
8,337.2
9,379.35
10,421.5
11,463.65
12,505.8
13,547.95
14,590.1
15,632.25
16,674.4
17,716.55
18,758.7
19,800.85
20,843
21,885.15
22,927.3
23,969.45
24,1011.6
25,1053.75
26,1095.9
27,1138.05
28,1180.2
29,1222.35
30,1264.5
31,1306.65
32,1348.8
33,1390.95
34,1433.1
35,1475.25
36,1517.4
37,1559.55
38,1601.7
39,1643.85
40,1686
41,1728.15
42,1770.3
43,1812.45
44,1854.6
45,1896.75
46,1938.9
47,1981.05
48,2023.2
49,2065.35
50,2107.5
51,2149.65
52,2191.8
53,2233.95
54,2276.1
55,2318.25
56,2360.4
57,2402.55
58,2444.7
59,2486.85
60,2529
61,2571.15
62,2613.3
63,2655.45
64,2697.6
65,2739.75
66,2781.9
67,2824.05
68,2866.2
69,2908.35
70,2950.5
71,2992.65
72,3034.8
73,3076.95
74,3119.1
75,3161.25
76,3203.4
77,3245.55
78,3287.7
79,3329.85
80,3372
81,3414.15
82,3456.3
83,3498.45
84,3540.6
85,3582.75
86,3624.9
87,3667.05
88,3709.2
89,3751.35
90,3793.5
91,3835.65
92,3877.8
93,3919.95
94,3962.1
95,4004.25
96,4046.4
97,4088.55
98,4130.7
99,4172.85
100,4215
101,4257.15
102,4299.3
103,4341.45
104,4383.6
105,4425.75
106,4467.9
107,4510.05
108,4552.2
109,4594.35
110,4636.5
111,4678.65
112,4720.8
113,4762.95
114,4805.1
115,4847.25
116,4889.4
117,4931.55
118,4973.7
119,5015.85
120,5058
121,5100.15
122,5142.3
123,5184.45
124,5226.6
125,5268.75
126,5310.9
127,5353.05
128,5395.2
129,5437.35
130,5479.5
131,5521.65
132,5563.8
133,5605.95
134,5648.1
135,5690.25
136,5732.4
137,5774.55
138,5816.7
139,5858.85
140,5901
141,5943.15
142,5985.3
143,6027.45
144,6069.6
145,6111.75
146,6153.9
147,6196.05
148,6238.2
149,6280.35
150,6322.5
151,6364.65
152,6406.8
153,6448.95
154,6491.1
155,6533.25
156,6575.4
157,6617.55
158,6659.7
159,6701.85
160,6744
161,6786.15
162,6828.3
163,6870.45
164,6912.6
165,6954.75
166,6996.9
167,7039.05
168,7081.2
169,7123.35
170,7165.5
171,7207.65
172,7249.8
173,7291.95
174,7334.1
175,7376.25
176,7418.4
177,7460.55
178,7502.7
179,7544.85
180,7587
181,7629.15
182,7671.3
183,7713.45
184,7755.6
185,7797.75
186,7839.9
187,7882.05
188,7924.2
189,7966.35
190,8008.5
191,8050.65
192,8092.8
193,8134.95
194,8177.1
195,8219.25
196,8261.4
197,8303.55
198,8345.7
199,8387.85
200,8430
201,8472.15
202,8514.3
203,8556.45
204,8598.6
205,8640.75
206,8682.9
207,8725.05
208,8767.2
209,8809.35
210,8851.5
211,8893.65
212,8935.8
213,8977.95
214,9020.1
215,9062.25
216,9104.4
217,9146.55
218,9188.7
219,9230.85
220,9273
221,9315.15
222,9357.3
223,9399.45
224,9441.6
225,9483.75
226,9525.9
227,9568.05
228,9610.2
229,9652.35
230,9694.5
231,9736.65
232,9778.8
233,9820.95
234,9863.1
235,9905.25
236,9947.4
237,9989.55
238,10031.7
239,10073.85
240,10116
241,10158.15
242,10200.3
243,10242.45
244,10284.6
245,10326.75
246,10368.9
247,10411.05
248,10453.2
249,10495.35
250,10537.5
251,10579.65
252,10621.8
253,10663.95
254,10706.1
255,10748.25
256,10790.4
257,10832.55
258,10874.7
259,10916.85
260,10959
261,11001.15
262,11043.3
263,11085.45
264,11127.6
265,11169.75
266,11211.9
267,11254.05
268,11296.2
269,11338.35
270,11380.5
271,11422.65
272,11464.8
273,11506.95
274,11549.1
275,11591.25
276,11633.4
277,11675.55
278,11717.7
279,11759.85
280,11802
281,11844.15
282,11886.3
283,11928.45
284,11970.6
285,12012.75
286,12054.9
287,12097.05
288,12139.2
