Machines,Total (hrs/yr)
1,70.21
2,140.42
3,210.63
4,280.84
5,351.05
6,421.26
7,491.47
8,561.68
9,631.89
10,702.1
11,772.31
12,842.52
13,912.73
14,982.94
15,1053.15
16,1123.36
17,1193.57
18,1263.78
19,1333.99
20,1404.2
21,1474.41
22,1544.62
23,1614.83
24,1685.04
25,1755.25
26,1825.46
27,1895.67
28,1965.88
29,2036.09
30,2106.3
31,2176.51
32,2246.72
33,2316.93
34,2387.14
35,2457.35
36,2527.56
37,2597.77
38,2667.98
39,2738.19
40,2808.4
41,2878.61
42,2948.82
43,3019.03
44,3089.24
45,3159.45
46,3229.66
47,3299.87
48,3370.08
49,3440.29
50,3510.5
51,3580.71
52,3650.92
53,3721.13
54,3791.34
55,3861.55
56,3931.76
57,4001.97
58,4072.18
59,4142.39
60,4212.6
61,4282.81
62,4353.02
63,4423.23
64,4493.44
65,4563.65
66,4633.86
67,4704.07
68,4774.28
69,4844.49
70,4914.7
71,4984.91
72,5055.12
73,5125.33
74,5195.54
75,5265.75
76,5335.96
77,5406.17
78,5476.38
79,5546.59
80,5616.8
81,5687.01
82,5757.22
83,5827.43
84,5897.64
85,5967.85
86,6038.06
87,6108.27
88,6178.48
89,6248.69
90,6318.9
91,6389.11
92,6459.32
93,6529.53
94,6599.74
95,6669.95
96,6740.16
97,6810.37
98,6880.58
99,6950.79
100,7021
101,7091.21
102,7161.42
103,7231.63
104,7301.84
105,7372.05
106,7442.26
107,7512.47
108,7582.68
109,7652.89
110,7723.1
111,7793.31
112,7863.52
113,7933.73
114,8003.94
115,8074.15
116,8144.36
117,8214.57
118,8284.78
119,8354.99
120,8425.2
121,8495.41
122,8565.62
123,8635.83
124,8706.04
125,8776.25
126,8846.46
127,8916.67
128,8986.88
129,9057.09
130,9127.3
131,9197.51
132,9267.72
133,9337.93
134,9408.14
135,9478.35
136,9548.56
137,9618.77
138,9688.98
139,9759.19
140,9829.4
141,9899.61
142,9969.82
143,10040.03
144,10110.24
145,10180.45
146,10250.66
147,10320.87
148,10391.08
149,10461.29
150,10531.5
151,10601.71
152,10671.92
153,10742.13
154,10812.34
155,10882.55
156,10952.76
157,11022.97
158,11093.18
159,11163.39
160,11233.6
161,11303.81
162,11374.02
163,11444.23
164,11514.44
165,11584.65
166,11654.86
167,11725.07
168,11795.28
169,11865.49
170,11935.7
171,12005.91
172,12076.12
173,12146.33
174,12216.54
175,12286.75
176,12356.96
177,12427.17
178,12497.38
179,12567.59
180,12637.8
181,12708.01
182,12778.22
183,12848.43
184,12918.64
185,12988.85
186,13059.06
187,13129.27
188,13199.48
189,13269.69
190,13339.9
191,13410.11
192,13480.32
193,13550.53
194,13620.74
195,13690.95
196,13761.16
197,13831.37
198,13901.58
199,13971.79
200,14042
201,14112.21
202,14182.42
203,14252.63
204,14322.84
205,14393.05
206,14463.26
207,14533.47
208,14603.68
209,14673.89
210,14744.1
211,14814.31
212,14884.52
213,14954.73
214,15024.94
215,15095.15
216,15165.36
217,15235.57
218,15305.78
219,15375.99
220,15446.2
221,15516.41
222,15586.62
223,15656.83
224,15727.04
225,15797.25
226,15867.46
227,15937.67
228,16007.88
229,16078.09
230,16148.3
231,16218.51
232,16288.72
233,16358.93
234,16429.14
235,16499.35
236,16569.56
237,16639.77
238,16709.98
239,16780.19
240,16850.4
241,16920.61
242,16990.82
243,17061.03
244,17131.24
245,17201.45
246,17271.66
247,17341.87
248,17412.08
249,17482.29
250,17552.5
251,17622.71
252,17692.92
253,17763.13
254,17833.34
255,17903.55
256,17973.76
257,18043.97
258,18114.18
259,18184.39
260,18254.6
261,18324.81
262,18395.02
263,18465.23
264,18535.44
265,18605.65
266,18675.86
267,18746.07
268,18816.28
269,18886.49
270,18956.7
271,19026.91
272,19097.12
273,19167.33
274,19237.54
275,19307.75
276,19377.96
277,19448.17
278,19518.38
279,19588.59
280,19658.8
281,19729.01
282,19799.22
283,19869.43
284,19939.64
285,20009.85
286,20080.06
287,20150.27
288,20220.48
289,20290.69
290,20360.9
291,20431.11
292,20501.32
293,20571.53
294,20641.74
295,20711.95
296,20782.16
297,20852.37
298,20922.58
299,20992.79
300,21063
301,21133.21
302,21203.42
303,21273.63
304,21343.84
305,21414.05
306,21484.26
307,21554.47
308,21624.68
309,21694.89
310,21765.1
311,21835.31
312,21905.52
313,21975.73
314,22045.94
315,22116.15
316,22186.36
317,22256.57
318,22326.78
319,22396.99
320,22467.2
321,22537.41
322,22607.62
323,22677.83
324,22748.04
325,22818.25
326,22888.46
327,22958.67
328,23028.88
329,23099.09
330,23169.3
331,23239.51
332,23309.72
333,23379.93
334,23450.14
335,23520.35
336,23590.56
337,23660.77
338,23730.98
339,23801.19
340,23871.4
341,23941.61
342,24011.82
343,24082.03
344,24152.24
345,24222.45
346,24292.66
347,24362.87
348,24433.08
349,24503.29
350,24573.5
351,24643.71
352,24713.92
353,24784.13
354,24854.34
355,24924.55
356,24994.76
357,25064.97
358,25135.18
359,25205.39
360,25275.6
361,25345.81
362,25416.02
363,25486.23
364,25556.44
365,25626.65
366,25696.86
367,25767.07
368,25837.28
369,25907.49
370,25977.7
371,26047.91
372,26118.12
373,26188.33
374,26258.54
375,26328.75
376,26398.96
377,26469.17
378,26539.38
379,26609.59
380,26679.8
381,26750.01
382,26820.22
383,26890.43
384,26960.64
385,27030.85
386,27101.06
387,27171.27
388,27241.48
389,27311.69
390,27381.9
391,27452.11
392,27522.32
393,27592.53
394,27662.74
395,27732.95
396,27803.16
397,27873.37
398,27943.58
399,28013.79
400,28084
401,28154.21
402,28224.42
403,28294.63
404,28364.84
405,28435.05
406,28505.26
407,28575.47
408,28645.68
409,28715.89
410,28786.1
411,28856.31
412,28926.52
413,28996.73
414,29066.94
415,29137.15
416,29207.36
417,29277.57
418,29347.78
419,29417.99
420,29488.2
421,29558.41
422,29628.62
423,29698.83
424,29769.04
425,29839.25
426,29909.46
427,29979.67
428,30049.88
429,30120.09
430,30190.3
431,30260.51
432,30330.72
433,30400.93
434,30471.14
435,30541.35
436,30611.56
437,30681.77
438,30751.98
439,30822.19
440,30892.4
441,30962.61
442,31032.82
443,31103.03
444,31173.24
445,31243.45
446,31313.66
447,31383.87
448,31454.08
449,31524.29
450,31594.5
451,31664.71
452,31734.92
453,31805.13
454,31875.34
455,31945.55
456,32015.76
457,32085.97
458,32156.18
459,32226.39
460,32296.6
461,32366.81
462,32437.02
463,32507.23
464,32577.44
465,32647.65
466,32717.86
467,32788.07
468,32858.28
469,32928.49
470,32998.7
471,33068.91
472,33139.12
473,33209.33
474,33279.54
475,33349.75
476,33419.96
477,33490.17
478,33560.38
479,33630.59
480,33700.8
481,33771.01
482,33841.22
483,33911.43
484,33981.64
485,34051.85
486,34122.06
487,34192.27
488,34262.48
489,34332.69
490,34402.9
491,34473.11
492,34543.32
493,34613.53
494,34683.74
495,34753.95
496,34824.16
497,34894.37
498,34964.58
499,35034.79
500,35105
501,35175.21
502,35245.42
503,35315.63
504,35385.84
505,35456.05
506,35526.26
507,35596.47
508,35666.68
509,35736.89
510,35807.1
511,35877.31
512,35947.52
513,36017.73
514,36087.94
515,36158.15
516,36228.36
517,36298.57
518,36368.78
519,36438.99
520,36509.2
521,36579.41
522,36649.62
523,36719.83
524,36790.04
525,36860.25
526,36930.46
527,37000.67
528,37070.88
529,37141.09
530,37211.3
531,37281.51
532,37351.72
533,37421.93
534,37492.14
535,37562.35
536,37632.56
537,37702.77
538,37772.98
539,37843.19
540,37913.4
541,37983.61
542,38053.82
543,38124.03
544,38194.24
