Machines,Total (hrs/yr)
1,8.9
2,17.8
3,26.7
4,35.6
5,44.5
6,53.4
7,62.3
8,71.2
9,80.1
10,89
11,97.9
12,106.8
13,115.7
14,124.6
15,133.5
16,142.4
17,151.3
18,160.2
19,169.1
20,178
21,186.9
22,195.8
23,204.7
24,213.6
25,222.5
26,231.4
27,240.3
28,249.2
29,258.1
30,267
31,275.9
32,284.8
33,293.7
34,302.6
35,311.5
36,320.4
37,329.3
38,338.2
39,347.1
40,356
41,364.9
42,373.8
43,382.7
44,391.6
45,400.5
46,409.4
47,418.3
48,427.2
49,436.1
50,445
51,453.9
52,462.8
53,471.7
54,480.6
55,489.5
56,498.4
57,507.3
58,516.2
59,525.1
60,534
61,542.9
62,551.8
63,560.7
64,569.6
65,578.5
66,587.4
67,596.3
68,605.2
69,614.1
70,623
71,631.9
72,640.8
73,649.7
74,658.6
75,667.5
76,676.4
77,685.3
78,694.2
79,703.1
80,712
81,720.9
82,729.8
83,738.7
84,747.6
85,756.5
86,765.4
87,774.3
88,783.2
89,792.1
90,801
91,809.9
92,818.8
93,827.7
94,836.6
95,845.5
96,854.4
97,863.3
98,872.2
99,881.1
100,890
101,898.9
102,907.8
103,916.7
104,925.6
105,934.5
106,943.4
107,952.3
108,961.2
109,970.1
110,979
111,987.9
112,996.8
113,1005.7
114,1014.6
115,1023.5
116,1032.4
117,1041.3
118,1050.2
119,1059.1
120,1068
121,1076.9
122,1085.8
123,1094.7
124,1103.6
125,1112.5
126,1121.4
127,1130.3
128,1139.2
129,1148.1
130,1157
131,1165.9
132,1174.8
133,1183.7
134,1192.6
135,1201.5
136,1210.4
137,1219.3
138,1228.2
139,1237.1
140,1246
141,1254.9
142,1263.8
143,1272.7
144,1281.6
145,1290.5
146,1299.4
147,1308.3
148,1317.2
149,1326.1
150,1335
151,1343.9
152,1352.8
153,1361.7
154,1370.6
155,1379.5
156,1388.4
157,1397.3
158,1406.2
159,1415.1
160,1424
161,1432.9
162,1441.8
163,1450.7
164,1459.6
165,1468.5
166,1477.4
