Machines,Total (hrs/yr)
1,76.36
2,152.72
3,229.08
4,305.44
5,381.8
6,458.16
7,534.52
8,610.88
9,687.24
10,763.6
11,839.96
12,916.32
13,992.68
14,1069.04
15,1145.4
16,1221.76
17,1298.12
18,1374.48
19,1450.84
20,1527.2
21,1603.56
22,1679.92
23,1756.28
24,1832.64
25,1909
26,1985.36
27,2061.72
28,2138.08
29,2214.44
30,2290.8
31,2367.16
32,2443.52
33,2519.88
34,2596.24
35,2672.6
36,2748.96
37,2825.32
38,2901.68
39,2978.04
40,3054.4
41,3130.76
42,3207.12
43,3283.48
44,3359.84
45,3436.2
46,3512.56
47,3588.92
48,3665.28
49,3741.64
50,3818
51,3894.36
52,3970.72
53,4047.08
54,4123.44
55,4199.8
56,4276.16
57,4352.52
58,4428.88
59,4505.24
60,4581.6
61,4657.96
62,4734.32
63,4810.68
64,4887.04
65,4963.4
66,5039.76
67,5116.12
68,5192.48
69,5268.84
70,5345.2
71,5421.56
72,5497.92
73,5574.28
74,5650.64
75,5727
76,5803.36
77,5879.72
78,5956.08
79,6032.44
80,6108.8
81,6185.16
82,6261.52
83,6337.88
84,6414.24
85,6490.6
86,6566.96
87,6643.32
88,6719.68
89,6796.04
90,6872.4
91,6948.76
92,7025.12
93,7101.48
94,7177.84
95,7254.2
96,7330.56
97,7406.92
98,7483.28
99,7559.64
100,7636
101,7712.36
102,7788.72
103,7865.08
104,7941.44
105,8017.8
106,8094.16
107,8170.52
108,8246.88
109,8323.24
110,8399.6
111,8475.96
112,8552.32
113,8628.68
114,8705.04
115,8781.4
116,8857.76
117,8934.12
118,9010.48
119,9086.84
120,9163.2
121,9239.56
122,9315.92
123,9392.28
124,9468.64
125,9545
126,9621.36
127,9697.72
128,9774.08
129,9850.44
130,9926.8
131,10003.16
132,10079.52
133,10155.88
134,10232.24
135,10308.6
136,10384.96
137,10461.32
138,10537.68
139,10614.04
140,10690.4
141,10766.76
142,10843.12
143,10919.48
144,10995.84
145,11072.2
146,11148.56
147,11224.92
148,11301.28
149,11377.64
150,11454
151,11530.36
152,11606.72
153,11683.08
154,11759.44
155,11835.8
156,11912.16
157,11988.52
158,12064.88
159,12141.24
160,12217.6
161,12293.96
162,12370.32
163,12446.68
164,12523.04
165,12599.4
166,12675.76
167,12752.12
168,12828.48
169,12904.84
170,12981.2
171,13057.56
172,13133.92
173,13210.28
174,13286.64
175,13363
176,13439.36
177,13515.72
178,13592.08
179,13668.44
180,13744.8
181,13821.16
182,13897.52
183,13973.88
184,14050.24
185,14126.6
186,14202.96
187,14279.32
188,14355.68
189,14432.04
190,14508.4
191,14584.76
192,14661.12
193,14737.48
194,14813.84
195,14890.2
196,14966.56
197,15042.92
198,15119.28
199,15195.64
200,15272
201,15348.36
202,15424.72
203,15501.08
204,15577.44
205,15653.8
206,15730.16
207,15806.52
208,15882.88
209,15959.24
210,16035.6
211,16111.96
212,16188.32
213,16264.68
214,16341.04
215,16417.4
216,16493.76
217,16570.12
218,16646.48
219,16722.84
220,16799.2
221,16875.56
222,16951.92
223,17028.28
224,17104.64
225,17181
226,17257.36
227,17333.72
228,17410.08
229,17486.44
230,17562.8
231,17639.16
232,17715.52
233,17791.88
234,17868.24
235,17944.6
236,18020.96
237,18097.32
238,18173.68
239,18250.04
240,18326.4
241,18402.76
242,18479.12
243,18555.48
244,18631.84
245,18708.2
246,18784.56
247,18860.92
248,18937.28
249,19013.64
250,19090
251,19166.36
252,19242.72
253,19319.08
254,19395.44
255,19471.8
256,19548.16
257,19624.52
258,19700.88
259,19777.24
260,19853.6
261,19929.96
262,20006.32
263,20082.68
264,20159.04
265,20235.4
266,20311.76
267,20388.12
268,20464.48
269,20540.84
270,20617.2
271,20693.56
272,20769.92
273,20846.28
274,20922.64
275,20999
276,21075.36
277,21151.72
278,21228.08
279,21304.44
280,21380.8
281,21457.16
282,21533.52
283,21609.88
284,21686.24
285,21762.6
286,21838.96
287,21915.32
288,21991.68
289,22068.04
290,22144.4
291,22220.76
292,22297.12
293,22373.48
294,22449.84
295,22526.2
296,22602.56
297,22678.92
298,22755.28
299,22831.64
300,22908
301,22984.36
302,23060.72
303,23137.08
304,23213.44
305,23289.8
306,23366.16
307,23442.52
308,23518.88
309,23595.24
310,23671.6
311,23747.96
312,23824.32
313,23900.68
314,23977.04
315,24053.4
316,24129.76
317,24206.12
318,24282.48
319,24358.84
320,24435.2
321,24511.56
322,24587.92
323,24664.28
324,24740.64
325,24817
326,24893.36
327,24969.72
328,25046.08
329,25122.44
330,25198.8
331,25275.16
332,25351.52
333,25427.88
334,25504.24
335,25580.6
336,25656.96
337,25733.32
