Machines,Total (hrs/yr)
1,19.6
2,39.2
3,58.8
4,78.4
5,98
6,117.6
7,137.2
8,156.8
9,176.4
10,196
11,215.6
12,235.2
13,254.8
14,274.4
15,294
16,313.6
17,333.2
18,352.8
19,372.4
20,392
21,411.6
22,431.2
23,450.8
24,470.4
25,490
26,509.6
27,529.2
28,548.8
29,568.4
30,588
31,607.6
32,627.2
33,646.8
34,666.4
35,686
36,705.6
37,725.2
38,744.8
39,764.4
40,784
41,803.6
42,823.2
43,842.8
44,862.4
45,882
46,901.6
47,921.2
48,940.8
49,960.4
50,980
51,999.6
52,1019.2
53,1038.8
54,1058.4
55,1078
56,1097.6
57,1117.2
58,1136.8
59,1156.4
60,1176
61,1195.6
62,1215.2
63,1234.8
64,1254.4
65,1274
66,1293.6
67,1313.2
68,1332.8
69,1352.4
70,1372
71,1391.6
72,1411.2
73,1430.8
74,1450.4
75,1470
76,1489.6
77,1509.2
78,1528.8
79,1548.4
80,1568
81,1587.6
82,1607.2
83,1626.8
84,1646.4
85,1666
86,1685.6
87,1705.2
88,1724.8
89,1744.4
90,1764
91,1783.6
92,1803.2
93,1822.8
94,1842.4
95,1862
96,1881.6
97,1901.2
98,1920.8
99,1940.4
100,1960
101,1979.6
102,1999.2
103,2018.8
104,2038.4
105,2058
106,2077.6
107,2097.2
108,2116.8
109,2136.4
110,2156
111,2175.6
112,2195.2
113,2214.8
114,2234.4
115,2254
116,2273.6
117,2293.2
118,2312.8
119,2332.4
120,2352
121,2371.6
122,2391.2
123,2410.8
124,2430.4
125,2450
126,2469.6
127,2489.2
128,2508.8
129,2528.4
130,2548
131,2567.6
132,2587.2
133,2606.8
134,2626.4
135,2646
136,2665.6
137,2685.2
138,2704.8
139,2724.4
140,2744
141,2763.6
142,2783.2
143,2802.8
144,2822.4
145,2842
146,2861.6
147,2881.2
148,2900.8
149,2920.4
150,2940
151,2959.6
152,2979.2
153,2998.8
154,3018.4
155,3038
156,3057.6
157,3077.2
158,3096.8
159,3116.4
160,3136
161,3155.6
162,3175.2
163,3194.8
164,3214.4
165,3234
166,3253.6
167,3273.2
168,3292.8
169,3312.4
170,3332
171,3351.6
172,3371.2
173,3390.8
174,3410.4
175,3430
176,3449.6
177,3469.2
178,3488.8
179,3508.4
180,3528
181,3547.6
182,3567.2
183,3586.8
184,3606.4
185,3626
186,3645.6
187,3665.2
188,3684.8
189,3704.4
190,3724
191,3743.6
192,3763.2
193,3782.8
194,3802.4
195,3822
196,3841.6
197,3861.2
198,3880.8
199,3900.4
200,3920
201,3939.6
202,3959.2
203,3978.8
204,3998.4
205,4018
206,4037.6
207,4057.2
208,4076.8
209,4096.4
210,4116
211,4135.6
212,4155.2
213,4174.8
214,4194.4
215,4214
216,4233.6
217,4253.2
218,4272.8
219,4292.4
220,4312
221,4331.6
222,4351.2
223,4370.8
224,4390.4
225,4410
226,4429.6
227,4449.2
228,4468.8
229,4488.4
230,4508
231,4527.6
232,4547.2
233,4566.8
234,4586.4
235,4606
236,4625.6
237,4645.2
238,4664.8
239,4684.4
240,4704
241,4723.6
242,4743.2
243,4762.8
244,4782.4
245,4802
246,4821.6
247,4841.2
248,4860.8
249,4880.4
250,4900
251,4919.6
252,4939.2
253,4958.8
254,4978.4
255,4998
256,5017.6
257,5037.2
258,5056.8
259,5076.4
260,5096
261,5115.6
262,5135.2
263,5154.8
264,5174.4
265,5194
266,5213.6
267,5233.2
268,5252.8
269,5272.4
270,5292
271,5311.6
272,5331.2
273,5350.8
274,5370.4
275,5390
276,5409.6
277,5429.2
278,5448.8
279,5468.4
280,5488
281,5507.6
282,5527.2
283,5546.8
284,5566.4
285,5586
286,5605.6
287,5625.2
288,5644.8
289,5664.4
290,5684
291,5703.6
292,5723.2
293,5742.8
294,5762.4
295,5782
296,5801.6
297,5821.2
298,5840.8
299,5860.4
300,5880
301,5899.6
302,5919.2
303,5938.8
304,5958.4
305,5978
306,5997.6
307,6017.2
308,6036.8
309,6056.4
310,6076
311,6095.6
312,6115.2
313,6134.8
314,6154.4
315,6174
316,6193.6
317,6213.2
318,6232.8
319,6252.4
320,6272
321,6291.6
322,6311.2
323,6330.8
324,6350.4
325,6370
326,6389.6
327,6409.2
328,6428.8
329,6448.4
330,6468
331,6487.6
332,6507.2
333,6526.8
334,6546.4
335,6566
336,6585.6
337,6605.2
338,6624.8
339,6644.4
340,6664
341,6683.6
342,6703.2
343,6722.8
344,6742.4
345,6762
346,6781.6
347,6801.2
348,6820.8
349,6840.4
350,6860
351,6879.6
352,6899.2
353,6918.8
354,6938.4
355,6958
356,6977.6
357,6997.2
358,7016.8
359,7036.4
360,7056
361,7075.6
362,7095.2
363,7114.8
364,7134.4
365,7154
366,7173.6
367,7193.2
368,7212.8
369,7232.4
370,7252
371,7271.6
372,7291.2
373,7310.8
374,7330.4
375,7350
376,7369.6
377,7389.2
378,7408.8
379,7428.4
380,7448
381,7467.6
382,7487.2
383,7506.8
384,7526.4
385,7546
386,7565.6
387,7585.2
388,7604.8
389,7624.4
390,7644
391,7663.6
392,7683.2
393,7702.8
394,7722.4
395,7742
396,7761.6
397,7781.2
398,7800.8
399,7820.4
400,7840
401,7859.6
402,7879.2
403,7898.8
404,7918.4
405,7938
406,7957.6
407,7977.2
408,7996.8
409,8016.4
410,8036
411,8055.6
412,8075.2
413,8094.8
414,8114.4
415,8134
416,8153.6
417,8173.2
418,8192.8
419,8212.4
420,8232
421,8251.6
422,8271.2
423,8290.8
424,8310.4
425,8330
426,8349.6
427,8369.2
428,8388.8
429,8408.4
430,8428
431,8447.6
432,8467.2
433,8486.8
434,8506.4
435,8526
436,8545.6
437,8565.2
438,8584.8
439,8604.4
440,8624
441,8643.6
442,8663.2
443,8682.8
444,8702.4
445,8722
446,8741.6
447,8761.2
448,8780.8
449,8800.4
450,8820
451,8839.6
452,8859.2
453,8878.8
454,8898.4
455,8918
456,8937.6
457,8957.2
458,8976.8
459,8996.4
460,9016
461,9035.6
462,9055.2
463,9074.8
464,9094.4
465,9114
466,9133.6
467,9153.2
468,9172.8
469,9192.4
470,9212
471,9231.6
472,9251.2
473,9270.8
474,9290.4
475,9310
476,9329.6
477,9349.2
478,9368.8
479,9388.4
480,9408
481,9427.6
482,9447.2
483,9466.8
484,9486.4
485,9506
486,9525.6
487,9545.2
488,9564.8
489,9584.4
490,9604
491,9623.6
492,9643.2
493,9662.8
494,9682.4
495,9702
496,9721.6
497,9741.2
498,9760.8
499,9780.4
500,9800
501,9819.6
502,9839.2
503,9858.8
504,9878.4
505,9898
506,9917.6
507,9937.2
508,9956.8
509,9976.4
510,9996
511,10015.6
512,10035.2
513,10054.8
514,10074.4
515,10094
516,10113.6
517,10133.2
518,10152.8
519,10172.4
520,10192
521,10211.6
522,10231.2
523,10250.8
524,10270.4
525,10290
526,10309.6
527,10329.2
528,10348.8
529,10368.4
530,10388
531,10407.6
532,10427.2
533,10446.8
534,10466.4
535,10486
536,10505.6
537,10525.2
538,10544.8
539,10564.4
540,10584
541,10603.6
542,10623.2
543,10642.8
544,10662.4
545,10682
546,10701.6
547,10721.2
548,10740.8
549,10760.4
550,10780
551,10799.6
552,10819.2
553,10838.8
554,10858.4
555,10878
556,10897.6
557,10917.2
558,10936.8
559,10956.4
560,10976
561,10995.6
562,11015.2
563,11034.8
564,11054.4
565,11074
566,11093.6
567,11113.2
568,11132.8
569,11152.4
570,11172
571,11191.6
572,11211.2
573,11230.8
574,11250.4
575,11270
576,11289.6
577,11309.2
578,11328.8
579,11348.4
580,11368
581,11387.6
582,11407.2
583,11426.8
584,11446.4
585,11466
586,11485.6
587,11505.2
588,11524.8
589,11544.4
590,11564
591,11583.6
592,11603.2
593,11622.8
594,11642.4
595,11662
596,11681.6
597,11701.2
598,11720.8
599,11740.4
600,11760
601,11779.6
602,11799.2
603,11818.8
604,11838.4
605,11858
606,11877.6
607,11897.2
608,11916.8
609,11936.4
610,11956
611,11975.6
612,11995.2
613,12014.8
614,12034.4
615,12054
616,12073.6
617,12093.2
618,12112.8
619,12132.4
620,12152
621,12171.6
622,12191.2
623,12210.8
624,12230.4
625,12250
626,12269.6
627,12289.2
628,12308.8
629,12328.4
630,12348
631,12367.6
632,12387.2
633,12406.8
634,12426.4
635,12446
636,12465.6
637,12485.2
638,12504.8
639,12524.4
640,12544
641,12563.6
642,12583.2
643,12602.8
644,12622.4
645,12642
646,12661.6
647,12681.2
648,12700.8
649,12720.4
650,12740
651,12759.6
652,12779.2
653,12798.8
654,12818.4
655,12838
656,12857.6
657,12877.2
658,12896.8
659,12916.4
660,12936
661,12955.6
662,12975.2
663,12994.8
664,13014.4
665,13034
666,13053.6
667,13073.2
668,13092.8
669,13112.4
670,13132
671,13151.6
672,13171.2
673,13190.8
674,13210.4
675,13230
676,13249.6
677,13269.2
678,13288.8
679,13308.4
680,13328
681,13347.6
682,13367.2
683,13386.8
684,13406.4
685,13426
686,13445.6
687,13465.2
688,13484.8
689,13504.4
690,13524
691,13543.6
692,13563.2
693,13582.8
694,13602.4
695,13622
696,13641.6
697,13661.2
698,13680.8
699,13700.4
700,13720
701,13739.6
702,13759.2
703,13778.8
704,13798.4
705,13818
706,13837.6
707,13857.2
708,13876.8
709,13896.4
710,13916
711,13935.6
712,13955.2
713,13974.8
714,13994.4
715,14014
716,14033.6
717,14053.2
718,14072.8
719,14092.4
720,14112
721,14131.6
722,14151.2
723,14170.8
724,14190.4
725,14210
726,14229.6
727,14249.2
728,14268.8
729,14288.4
730,14308
731,14327.6
732,14347.2
733,14366.8
734,14386.4
735,14406
736,14425.6
737,14445.2
738,14464.8
739,14484.4
740,14504
741,14523.6
742,14543.2
743,14562.8
744,14582.4
745,14602
746,14621.6
747,14641.2
748,14660.8
749,14680.4
750,14700
751,14719.6
752,14739.2
753,14758.8
754,14778.4
755,14798
756,14817.6
757,14837.2
758,14856.8
759,14876.4
760,14896
761,14915.6
762,14935.2
763,14954.8
764,14974.4
765,14994
766,15013.6
767,15033.2
768,15052.8
769,15072.4
770,15092
771,15111.6
772,15131.2
773,15150.8
774,15170.4
775,15190
776,15209.6
777,15229.2
778,15248.8
779,15268.4
780,15288
781,15307.6
782,15327.2
783,15346.8
784,15366.4
785,15386
786,15405.6
787,15425.2
788,15444.8
789,15464.4
790,15484
791,15503.6
792,15523.2
793,15542.8
794,15562.4
795,15582
796,15601.6
797,15621.2
798,15640.8
799,15660.4
800,15680
801,15699.6
802,15719.2
803,15738.8
804,15758.4
805,15778
806,15797.6
807,15817.2
808,15836.8
809,15856.4
810,15876
811,15895.6
812,15915.2
813,15934.8
814,15954.4
815,15974
816,15993.6
817,16013.2
818,16032.8
819,16052.4
820,16072
821,16091.6
822,16111.2
823,16130.8
824,16150.4
825,16170
826,16189.6
827,16209.2
828,16228.8
829,16248.4
830,16268
831,16287.6
832,16307.2
833,16326.8
834,16346.4
835,16366
836,16385.6
837,16405.2
838,16424.8
839,16444.4
840,16464
841,16483.6
842,16503.2
843,16522.8
844,16542.4
845,16562
846,16581.6
847,16601.2
848,16620.8
849,16640.4
850,16660
851,16679.6
852,16699.2
853,16718.8
854,16738.4
855,16758
856,16777.6
857,16797.2
858,16816.8
859,16836.4
860,16856
861,16875.6
862,16895.2
863,16914.8
864,16934.4
865,16954
866,16973.6
867,16993.2
868,17012.8
869,17032.4
870,17052
871,17071.6
872,17091.2
873,17110.8
874,17130.4
875,17150
876,17169.6
877,17189.2
878,17208.8
879,17228.4
880,17248
881,17267.6
882,17287.2
883,17306.8
884,17326.4
885,17346
886,17365.6
887,17385.2
888,17404.8
889,17424.4
890,17444
891,17463.6
892,17483.2
893,17502.8
894,17522.4
895,17542
896,17561.6
897,17581.2
898,17600.8
899,17620.4
900,17640
901,17659.6
902,17679.2
903,17698.8
904,17718.4
905,17738
906,17757.6
907,17777.2
908,17796.8
909,17816.4
910,17836
911,17855.6
912,17875.2
913,17894.8
914,17914.4
915,17934
916,17953.6
917,17973.2
918,17992.8
919,18012.4
920,18032
921,18051.6
922,18071.2
923,18090.8
924,18110.4
925,18130
926,18149.6
927,18169.2
928,18188.8
929,18208.4
930,18228
931,18247.6
932,18267.2
933,18286.8
934,18306.4
935,18326
936,18345.6
937,18365.2
938,18384.8
939,18404.4
940,18424
941,18443.6
942,18463.2
943,18482.8
944,18502.4
945,18522
946,18541.6
947,18561.2
948,18580.8
