Machines,Total (hrs/yr)
1,14.9
2,29.8
3,44.7
4,59.6
5,74.5
6,89.4
7,104.3
8,119.2
9,134.1
10,149
11,163.9
12,178.8
13,193.7
14,208.6
15,223.5
16,238.4
17,253.3
18,268.2
19,283.1
20,298
21,312.9
22,327.8
23,342.7
24,357.6
25,372.5
26,387.4
27,402.3
28,417.2
29,432.1
30,447
31,461.9
32,476.8
33,491.7
34,506.6
35,521.5
36,536.4
37,551.3
38,566.2
39,581.1
40,596
41,610.9
42,625.8
43,640.7
44,655.6
45,670.5
46,685.4
47,700.3
48,715.2
49,730.1
50,745
51,759.9
52,774.8
53,789.7
54,804.6
55,819.5
56,834.4
57,849.3
58,864.2
59,879.1
60,894
61,908.9
62,923.8
63,938.7
64,953.6
65,968.5
66,983.4
67,998.3
68,1013.2
69,1028.1
70,1043
71,1057.9
72,1072.8
73,1087.7
74,1102.6
75,1117.5
76,1132.4
77,1147.3
78,1162.2
79,1177.1
80,1192
81,1206.9
82,1221.8
83,1236.7
84,1251.6
85,1266.5
86,1281.4
87,1296.3
88,1311.2
89,1326.1
90,1341
91,1355.9
92,1370.8
93,1385.7
94,1400.6
95,1415.5
96,1430.4
97,1445.3
98,1460.2
99,1475.1
100,1490
101,1504.9
102,1519.8
103,1534.7
104,1549.6
105,1564.5
106,1579.4
107,1594.3
108,1609.2
109,1624.1
110,1639
111,1653.9
112,1668.8
113,1683.7
114,1698.6
115,1713.5
116,1728.4
117,1743.3
118,1758.2
119,1773.1
120,1788
121,1802.9
122,1817.8
123,1832.7
124,1847.6
125,1862.5
126,1877.4
127,1892.3
128,1907.2
129,1922.1
130,1937
131,1951.9
132,1966.8
133,1981.7
134,1996.6
135,2011.5
136,2026.4
137,2041.3
138,2056.2
139,2071.1
140,2086
141,2100.9
142,2115.8
143,2130.7
144,2145.6
145,2160.5
146,2175.4
147,2190.3
148,2205.2
149,2220.1
150,2235
151,2249.9
152,2264.8
153,2279.7
154,2294.6
155,2309.5
156,2324.4
157,2339.3
158,2354.2
159,2369.1
160,2384
161,2398.9
162,2413.8
163,2428.7
164,2443.6
165,2458.5
166,2473.4
167,2488.3
168,2503.2
169,2518.1
170,2533
171,2547.9
172,2562.8
173,2577.7
174,2592.6
175,2607.5
176,2622.4
177,2637.3
178,2652.2
179,2667.1
180,2682
181,2696.9
182,2711.8
183,2726.7
184,2741.6
185,2756.5
186,2771.4
187,2786.3
188,2801.2
189,2816.1
190,2831
191,2845.9
192,2860.8
193,2875.7
194,2890.6
195,2905.5
196,2920.4
197,2935.3
198,2950.2
199,2965.1
200,2980
201,2994.9
202,3009.8
203,3024.7
204,3039.6
205,3054.5
206,3069.4
207,3084.3
208,3099.2
209,3114.1
210,3129
211,3143.9
212,3158.8
213,3173.7
214,3188.6
215,3203.5
216,3218.4
217,3233.3
218,3248.2
219,3263.1
220,3278
221,3292.9
222,3307.8
223,3322.7
224,3337.6
225,3352.5
226,3367.4
227,3382.3
228,3397.2
229,3412.1
230,3427
231,3441.9
232,3456.8
233,3471.7
234,3486.6
235,3501.5
236,3516.4
237,3531.3
238,3546.2
239,3561.1
240,3576
241,3590.9
242,3605.8
243,3620.7
244,3635.6
245,3650.5
246,3665.4
247,3680.3
248,3695.2
249,3710.1
250,3725
