Machines,Total (hrs/yr)
1,25.53
2,51.06
3,76.59
4,102.12
5,127.65
6,153.18
7,178.71
8,204.24
9,229.77
10,255.3
11,280.83
12,306.36
13,331.89
14,357.42
15,382.95
16,408.48
17,434.01
18,459.54
19,485.07
20,510.6
21,536.13
22,561.66
23,587.19
24,612.72
25,638.25
26,663.78
27,689.31
28,714.84
29,740.37
30,765.9
31,791.43
32,816.96
33,842.49
34,868.02
35,893.55
36,919.08
37,944.61
38,970.14
39,995.67
40,1021.2
41,1046.73
42,1072.26
43,1097.79
44,1123.32
45,1148.85
46,1174.38
47,1199.91
48,1225.44
49,1250.97
50,1276.5
51,1302.03
52,1327.56
53,1353.09
54,1378.62
55,1404.15
56,1429.68
57,1455.21
58,1480.74
59,1506.27
60,1531.8
61,1557.33
62,1582.86
63,1608.39
64,1633.92
65,1659.45
66,1684.98
67,1710.51
68,1736.04
69,1761.57
70,1787.1
71,1812.63
72,1838.16
73,1863.69
74,1889.22
75,1914.75
76,1940.28
77,1965.81
78,1991.34
79,2016.87
80,2042.4
81,2067.93
82,2093.46
83,2118.99
84,2144.52
85,2170.05
86,2195.58
87,2221.11
88,2246.64
89,2272.17
90,2297.7
91,2323.23
92,2348.76
93,2374.29
94,2399.82
95,2425.35
96,2450.88
97,2476.41
98,2501.94
99,2527.47
100,2553
101,2578.53
102,2604.06
103,2629.59
104,2655.12
105,2680.65
106,2706.18
107,2731.71
108,2757.24
109,2782.77
110,2808.3
111,2833.83
112,2859.36
113,2884.89
114,2910.42
115,2935.95
116,2961.48
117,2987.01
118,3012.54
119,3038.07
120,3063.6
121,3089.13
122,3114.66
123,3140.19
124,3165.72
125,3191.25
126,3216.78
127,3242.31
128,3267.84
129,3293.37
130,3318.9
131,3344.43
132,3369.96
133,3395.49
134,3421.02
135,3446.55
136,3472.08
137,3497.61
138,3523.14
139,3548.67
140,3574.2
141,3599.73
142,3625.26
143,3650.79
144,3676.32
145,3701.85
146,3727.38
147,3752.91
148,3778.44
149,3803.97
150,3829.5
151,3855.03
152,3880.56
153,3906.09
154,3931.62
155,3957.15
156,3982.68
157,4008.21
158,4033.74
159,4059.27
160,4084.8
161,4110.33
162,4135.86
163,4161.39
164,4186.92
165,4212.45
166,4237.98
167,4263.51
168,4289.04
169,4314.57
170,4340.1
171,4365.63
172,4391.16
173,4416.69
174,4442.22
175,4467.75
176,4493.28
177,4518.81
178,4544.34
179,4569.87
180,4595.4
181,4620.93
182,4646.46
183,4671.99
184,4697.52
185,4723.05
186,4748.58
187,4774.11
188,4799.64
189,4825.17
190,4850.7
191,4876.23
192,4901.76
193,4927.29
194,4952.82
195,4978.35
196,5003.88
197,5029.41
198,5054.94
199,5080.47
200,5106
201,5131.53
202,5157.06
203,5182.59
204,5208.12
205,5233.65
206,5259.18
207,5284.71
208,5310.24
209,5335.77
210,5361.3
211,5386.83
212,5412.36
213,5437.89
214,5463.42
215,5488.95
216,5514.48
217,5540.01
218,5565.54
219,5591.07
220,5616.6
221,5642.13
222,5667.66
223,5693.19
224,5718.72
225,5744.25
226,5769.78
227,5795.31
228,5820.84
229,5846.37
230,5871.9
231,5897.43
232,5922.96
233,5948.49
234,5974.02
235,5999.55
236,6025.08
237,6050.61
238,6076.14
239,6101.67
240,6127.2
241,6152.73
242,6178.26
243,6203.79
244,6229.32
245,6254.85
246,6280.38
247,6305.91
248,6331.44
249,6356.97
250,6382.5
251,6408.03
252,6433.56
253,6459.09
254,6484.62
255,6510.15
256,6535.68
257,6561.21
258,6586.74
259,6612.27
260,6637.8
261,6663.33
262,6688.86
263,6714.39
264,6739.92
265,6765.45
266,6790.98
267,6816.51
268,6842.04
269,6867.57
270,6893.1
271,6918.63
272,6944.16
273,6969.69
274,6995.22
275,7020.75
276,7046.28
277,7071.81
278,7097.34
279,7122.87
280,7148.4
281,7173.93
282,7199.46
283,7224.99
284,7250.52
285,7276.05
286,7301.58
287,7327.11
288,7352.64
289,7378.17
290,7403.7
291,7429.23
292,7454.76
293,7480.29
294,7505.82
295,7531.35
296,7556.88
297,7582.41
298,7607.94
299,7633.47
300,7659
301,7684.53
302,7710.06
303,7735.59
304,7761.12
305,7786.65
306,7812.18
307,7837.71
308,7863.24
309,7888.77
310,7914.3
311,7939.83
312,7965.36
313,7990.89
314,8016.42
315,8041.95
316,8067.48
317,8093.01
318,8118.54
319,8144.07
320,8169.6
321,8195.13
322,8220.66
323,8246.19
324,8271.72
325,8297.25
326,8322.78
327,8348.31
328,8373.84
329,8399.37
330,8424.9
331,8450.43
332,8475.96
333,8501.49
334,8527.02
335,8552.55
336,8578.08
337,8603.61
338,8629.14
339,8654.67
340,8680.2
341,8705.73
342,8731.26
343,8756.79
344,8782.32
345,8807.85
346,8833.38
347,8858.91
348,8884.44
349,8909.97
350,8935.5
351,8961.03
352,8986.56
353,9012.09
354,9037.62
355,9063.15
356,9088.68
357,9114.21
358,9139.74
359,9165.27
360,9190.8
361,9216.33
362,9241.86
363,9267.39
364,9292.92
365,9318.45
366,9343.98
367,9369.51
368,9395.04
369,9420.57
370,9446.1
371,9471.63
372,9497.16
373,9522.69
374,9548.22
375,9573.75
376,9599.28
377,9624.81
378,9650.34
379,9675.87
380,9701.4
381,9726.93
382,9752.46
383,9777.99
384,9803.52
385,9829.05
386,9854.58
387,9880.11
388,9905.64
389,9931.17
390,9956.7
391,9982.23
392,10007.76
393,10033.29
394,10058.82
395,10084.35
396,10109.88
397,10135.41
398,10160.94
399,10186.47
400,10212
401,10237.53
402,10263.06
403,10288.59
404,10314.12
405,10339.65
406,10365.18
407,10390.71
408,10416.24
409,10441.77
410,10467.3
411,10492.83
412,10518.36
413,10543.89
414,10569.42
415,10594.95
416,10620.48
417,10646.01
418,10671.54
419,10697.07
420,10722.6
421,10748.13
422,10773.66
423,10799.19
424,10824.72
425,10850.25
426,10875.78
427,10901.31
428,10926.84
429,10952.37
430,10977.9
431,11003.43
432,11028.96
433,11054.49
434,11080.02
435,11105.55
436,11131.08
437,11156.61
438,11182.14
439,11207.67
440,11233.2
441,11258.73
442,11284.26
443,11309.79
444,11335.32
445,11360.85
446,11386.38
447,11411.91
448,11437.44
449,11462.97
450,11488.5
451,11514.03
452,11539.56
453,11565.09
454,11590.62
455,11616.15
456,11641.68
457,11667.21
458,11692.74
459,11718.27
460,11743.8
461,11769.33
462,11794.86
463,11820.39
464,11845.92
465,11871.45
466,11896.98
467,11922.51
468,11948.04
469,11973.57
470,11999.1
471,12024.63
472,12050.16
473,12075.69
474,12101.22
475,12126.75
476,12152.28
477,12177.81
478,12203.34
479,12228.87
480,12254.4
481,12279.93
482,12305.46
483,12330.99
484,12356.52
485,12382.05
486,12407.58
487,12433.11
488,12458.64
489,12484.17
490,12509.7
