Machines,Total (hrs/yr)
1,28.73
2,57.46
3,86.19
4,114.92
5,143.65
6,172.38
7,201.11
8,229.84
9,258.57
10,287.3
11,316.03
12,344.76
13,373.49
14,402.22
15,430.95
16,459.68
17,488.41
18,517.14
19,545.87
20,574.6
21,603.33
22,632.06
23,660.79
24,689.52
25,718.25
26,746.98
27,775.71
28,804.44
29,833.17
30,861.9
31,890.63
32,919.36
33,948.09
34,976.82
35,1005.55
36,1034.28
37,1063.01
38,1091.74
39,1120.47
40,1149.2
41,1177.93
42,1206.66
43,1235.39
44,1264.12
45,1292.85
46,1321.58
47,1350.31
48,1379.04
49,1407.77
50,1436.5
51,1465.23
52,1493.96
53,1522.69
54,1551.42
55,1580.15
56,1608.88
57,1637.61
58,1666.34
59,1695.07
60,1723.8
61,1752.53
62,1781.26
63,1809.99
64,1838.72
65,1867.45
66,1896.18
67,1924.91
68,1953.64
69,1982.37
70,2011.1
71,2039.83
72,2068.56
73,2097.29
74,2126.02
75,2154.75
76,2183.48
77,2212.21
78,2240.94
79,2269.67
80,2298.4
81,2327.13
82,2355.86
83,2384.59
84,2413.32
85,2442.05
86,2470.78
87,2499.51
88,2528.24
89,2556.97
90,2585.7
91,2614.43
92,2643.16
93,2671.89
94,2700.62
95,2729.35
96,2758.08
97,2786.81
98,2815.54
99,2844.27
100,2873
101,2901.73
102,2930.46
103,2959.19
104,2987.92
105,3016.65
106,3045.38
107,3074.11
108,3102.84
109,3131.57
110,3160.3
111,3189.03
112,3217.76
113,3246.49
114,3275.22
115,3303.95
116,3332.68
117,3361.41
118,3390.14
119,3418.87
120,3447.6
121,3476.33
122,3505.06
123,3533.79
124,3562.52
125,3591.25
126,3619.98
127,3648.71
128,3677.44
129,3706.17
130,3734.9
131,3763.63
132,3792.36
133,3821.09
134,3849.82
135,3878.55
136,3907.28
137,3936.01
138,3964.74
139,3993.47
140,4022.2
141,4050.93
142,4079.66
143,4108.39
144,4137.12
145,4165.85
146,4194.58
147,4223.31
148,4252.04
149,4280.77
150,4309.5
151,4338.23
152,4366.96
153,4395.69
154,4424.42
155,4453.15
156,4481.88
157,4510.61
158,4539.34
159,4568.07
160,4596.8
161,4625.53
162,4654.26
163,4682.99
164,4711.72
165,4740.45
166,4769.18
167,4797.91
168,4826.64
169,4855.37
170,4884.1
171,4912.83
172,4941.56
173,4970.29
174,4999.02
175,5027.75
176,5056.48
177,5085.21
178,5113.94
