Machines,Total (hrs/yr)
1,36.5
2,73
3,109.5
4,146
5,182.5
6,219
7,255.5
8,292
9,328.5
10,365
11,401.5
12,438
13,474.5
14,511
15,547.5
16,584
17,620.5
18,657
19,693.5
20,730
21,766.5
22,803
23,839.5
24,876
25,912.5
26,949
27,985.5
28,1022
29,1058.5
30,1095
31,1131.5
32,1168
33,1204.5
34,1241
35,1277.5
36,1314
37,1350.5
38,1387
39,1423.5
40,1460
41,1496.5
42,1533
43,1569.5
44,1606
45,1642.5
46,1679
47,1715.5
48,1752
49,1788.5
50,1825
51,1861.5
52,1898
53,1934.5
54,1971
55,2007.5
56,2044
57,2080.5
58,2117
59,2153.5
60,2190
61,2226.5
62,2263
63,2299.5
64,2336
65,2372.5
66,2409
67,2445.5
68,2482
69,2518.5
70,2555
71,2591.5
72,2628
73,2664.5
74,2701
75,2737.5
76,2774
77,2810.5
78,2847
79,2883.5
80,2920
81,2956.5
82,2993
83,3029.5
84,3066
85,3102.5
86,3139
87,3175.5
88,3212
89,3248.5
90,3285
91,3321.5
92,3358
93,3394.5
94,3431
95,3467.5
96,3504
97,3540.5
98,3577
99,3613.5
100,3650
101,3686.5
102,3723
103,3759.5
104,3796
105,3832.5
106,3869
107,3905.5
108,3942
109,3978.5
110,4015
111,4051.5
112,4088
113,4124.5
114,4161
115,4197.5
116,4234
117,4270.5
118,4307
119,4343.5
120,4380
121,4416.5
122,4453
123,4489.5
124,4526
125,4562.5
126,4599
127,4635.5
128,4672
129,4708.5
130,4745
131,4781.5
132,4818
133,4854.5
134,4891
135,4927.5
136,4964
137,5000.5
138,5037
139,5073.5
140,5110
141,5146.5
142,5183
143,5219.5
144,5256
145,5292.5
146,5329
147,5365.5
148,5402
149,5438.5
150,5475
151,5511.5
152,5548
153,5584.5
154,5621
155,5657.5
156,5694
157,5730.5
158,5767
159,5803.5
160,5840
161,5876.5
162,5913
163,5949.5
164,5986
165,6022.5
166,6059
167,6095.5
168,6132
169,6168.5
170,6205
171,6241.5
172,6278
173,6314.5
174,6351
175,6387.5
176,6424
177,6460.5
178,6497
179,6533.5
180,6570
181,6606.5
182,6643
183,6679.5
184,6716
185,6752.5
186,6789
187,6825.5
188,6862
189,6898.5
190,6935
191,6971.5
192,7008
193,7044.5
194,7081
195,7117.5
196,7154
197,7190.5
198,7227
199,7263.5
200,7300
201,7336.5
202,7373
203,7409.5
204,7446
205,7482.5
206,7519
207,7555.5
208,7592
209,7628.5
210,7665
211,7701.5
212,7738
213,7774.5
214,7811
215,7847.5
216,7884
217,7920.5
218,7957
219,7993.5
220,8030
221,8066.5
222,8103
223,8139.5
224,8176
225,8212.5
226,8249
227,8285.5
228,8322
229,8358.5
230,8395
231,8431.5
232,8468
233,8504.5
234,8541
235,8577.5
236,8614
237,8650.5
238,8687
239,8723.5
240,8760
241,8796.5
242,8833
243,8869.5
244,8906
245,8942.5
246,8979
247,9015.5
248,9052
249,9088.5
250,9125
251,9161.5
252,9198
253,9234.5
254,9271
255,9307.5
256,9344
257,9380.5
258,9417
259,9453.5
260,9490
261,9526.5
262,9563
263,9599.5
264,9636
265,9672.5
266,9709
267,9745.5
268,9782
269,9818.5
270,9855
271,9891.5
272,9928
273,9964.5
274,10001
275,10037.5
276,10074
277,10110.5
278,10147
279,10183.5
280,10220
281,10256.5
282,10293
283,10329.5
284,10366
285,10402.5
286,10439
287,10475.5
288,10512
289,10548.5
290,10585
291,10621.5
292,10658
293,10694.5
294,10731
295,10767.5
296,10804
297,10840.5
298,10877
299,10913.5
300,10950
301,10986.5
302,11023
303,11059.5
304,11096
305,11132.5
306,11169
307,11205.5
308,11242
309,11278.5
310,11315
311,11351.5
312,11388
313,11424.5
314,11461
315,11497.5
316,11534
317,11570.5
318,11607
319,11643.5
320,11680
321,11716.5
322,11753
323,11789.5
324,11826
325,11862.5
326,11899
327,11935.5
328,11972
329,12008.5
330,12045
331,12081.5
332,12118
333,12154.5
334,12191
335,12227.5
336,12264
337,12300.5
338,12337
339,12373.5
340,12410
341,12446.5
342,12483
343,12519.5
344,12556
345,12592.5
346,12629
347,12665.5
348,12702
349,12738.5
350,12775
351,12811.5
352,12848
353,12884.5
354,12921
355,12957.5
356,12994
357,13030.5
358,13067
359,13103.5
360,13140
361,13176.5
362,13213
363,13249.5
364,13286
365,13322.5
366,13359
367,13395.5
368,13432
369,13468.5
370,13505
371,13541.5
372,13578
373,13614.5
374,13651
375,13687.5
376,13724
377,13760.5
378,13797
379,13833.5
380,13870
381,13906.5
382,13943
383,13979.5
384,14016
385,14052.5
386,14089
387,14125.5
388,14162
389,14198.5
390,14235
391,14271.5
392,14308
393,14344.5
394,14381
395,14417.5
396,14454
397,14490.5
398,14527
399,14563.5
400,14600
401,14636.5
402,14673
403,14709.5
404,14746
405,14782.5
406,14819
407,14855.5
408,14892
409,14928.5
410,14965
411,15001.5
412,15038
413,15074.5
414,15111
415,15147.5
416,15184
417,15220.5
418,15257
419,15293.5
420,15330
421,15366.5
422,15403
423,15439.5
424,15476
425,15512.5
426,15549
427,15585.5
428,15622
429,15658.5
430,15695
431,15731.5
432,15768
433,15804.5
434,15841
435,15877.5
436,15914
437,15950.5
438,15987
439,16023.5
440,16060
441,16096.5
442,16133
443,16169.5
444,16206
445,16242.5
446,16279
447,16315.5
448,16352
449,16388.5
450,16425
451,16461.5
452,16498
453,16534.5
454,16571
455,16607.5
456,16644
457,16680.5
458,16717
459,16753.5
460,16790
461,16826.5
462,16863
463,16899.5
464,16936
465,16972.5
466,17009
467,17045.5
468,17082
469,17118.5
470,17155
471,17191.5
472,17228
473,17264.5
474,17301
475,17337.5
476,17374
477,17410.5
478,17447
479,17483.5
480,17520
481,17556.5
482,17593
483,17629.5
484,17666
485,17702.5
486,17739
487,17775.5
488,17812
489,17848.5
490,17885
491,17921.5
492,17958
493,17994.5
494,18031
495,18067.5
496,18104
497,18140.5
498,18177
499,18213.5
500,18250
501,18286.5
502,18323
503,18359.5
504,18396
505,18432.5
506,18469
507,18505.5
508,18542
509,18578.5
510,18615
511,18651.5
512,18688
513,18724.5
514,18761
515,18797.5
516,18834
517,18870.5
518,18907
519,18943.5
520,18980
521,19016.5
522,19053
523,19089.5
524,19126
525,19162.5
526,19199
527,19235.5
528,19272
529,19308.5
530,19345
531,19381.5
532,19418
533,19454.5
534,19491
535,19527.5
536,19564
537,19600.5
538,19637
539,19673.5
540,19710
541,19746.5
542,19783
543,19819.5
544,19856
545,19892.5
546,19929
547,19965.5
548,20002
549,20038.5
550,20075
551,20111.5
552,20148
553,20184.5
554,20221
555,20257.5
556,20294
557,20330.5
558,20367
559,20403.5
560,20440
561,20476.5
562,20513
563,20549.5
564,20586
565,20622.5
566,20659
567,20695.5
568,20732
569,20768.5
570,20805
571,20841.5
572,20878
573,20914.5
574,20951
575,20987.5
576,21024
577,21060.5
578,21097
579,21133.5
580,21170
581,21206.5
582,21243
583,21279.5
584,21316
585,21352.5
586,21389
587,21425.5
588,21462
589,21498.5
590,21535
591,21571.5
592,21608
593,21644.5
594,21681
595,21717.5
596,21754
597,21790.5
598,21827
599,21863.5
600,21900
601,21936.5
602,21973
603,22009.5
604,22046
605,22082.5
606,22119
607,22155.5
608,22192
609,22228.5
610,22265
611,22301.5
612,22338
613,22374.5
614,22411
615,22447.5
616,22484
617,22520.5
618,22557
619,22593.5
620,22630
621,22666.5
622,22703
623,22739.5
624,22776
625,22812.5
626,22849
627,22885.5
628,22922
629,22958.5
630,22995
631,23031.5
632,23068
633,23104.5
634,23141
635,23177.5
636,23214
637,23250.5
638,23287
639,23323.5
640,23360
641,23396.5
642,23433
643,23469.5
644,23506
645,23542.5
646,23579
647,23615.5
648,23652
649,23688.5
650,23725
651,23761.5
652,23798
653,23834.5
654,23871
655,23907.5
656,23944
657,23980.5
658,24017
659,24053.5
660,24090
661,24126.5
662,24163
663,24199.5
664,24236
665,24272.5
666,24309
667,24345.5
668,24382
669,24418.5
670,24455
671,24491.5
672,24528
673,24564.5
674,24601
675,24637.5
676,24674
677,24710.5
678,24747
679,24783.5
680,24820
681,24856.5
682,24893
683,24929.5
684,24966
685,25002.5
686,25039
687,25075.5
688,25112
689,25148.5
690,25185
691,25221.5
692,25258
693,25294.5
694,25331
695,25367.5
696,25404
697,25440.5
698,25477
699,25513.5
700,25550
701,25586.5
702,25623
703,25659.5
704,25696
705,25732.5
706,25769
707,25805.5
708,25842
709,25878.5
710,25915
711,25951.5
712,25988
713,26024.5
714,26061
715,26097.5
716,26134
717,26170.5
718,26207
719,26243.5
720,26280
721,26316.5
722,26353
723,26389.5
724,26426
725,26462.5
726,26499
727,26535.5
728,26572
729,26608.5
730,26645
731,26681.5
732,26718
733,26754.5
734,26791
735,26827.5
736,26864
737,26900.5
738,26937
739,26973.5
740,27010
741,27046.5
742,27083
743,27119.5
744,27156
745,27192.5
746,27229
747,27265.5
748,27302
749,27338.5
750,27375
751,27411.5
752,27448
753,27484.5
754,27521
755,27557.5
756,27594
757,27630.5
758,27667
759,27703.5
760,27740
761,27776.5
762,27813
763,27849.5
764,27886
765,27922.5
766,27959
767,27995.5
768,28032
769,28068.5
770,28105
771,28141.5
772,28178
773,28214.5
774,28251
775,28287.5
776,28324
777,28360.5
778,28397
779,28433.5
780,28470
781,28506.5
782,28543
783,28579.5
784,28616
785,28652.5
786,28689
787,28725.5
788,28762
789,28798.5
790,28835
791,28871.5
792,28908
793,28944.5
794,28981
795,29017.5
796,29054
797,29090.5
798,29127
799,29163.5
800,29200
801,29236.5
802,29273
803,29309.5
804,29346
805,29382.5
806,29419
807,29455.5
808,29492
809,29528.5
810,29565
811,29601.5
812,29638
813,29674.5
814,29711
815,29747.5
816,29784
817,29820.5
818,29857
819,29893.5
820,29930
821,29966.5
822,30003
823,30039.5
824,30076
825,30112.5
826,30149
827,30185.5
828,30222
829,30258.5
830,30295
831,30331.5
832,30368
833,30404.5
834,30441
835,30477.5
836,30514
837,30550.5
838,30587
839,30623.5
840,30660
841,30696.5
842,30733
843,30769.5
844,30806
845,30842.5
846,30879
847,30915.5
848,30952
849,30988.5
850,31025
851,31061.5
852,31098
853,31134.5
854,31171
855,31207.5
856,31244
857,31280.5
858,31317
859,31353.5
860,31390
861,31426.5
862,31463
863,31499.5
864,31536
865,31572.5
866,31609
867,31645.5
868,31682
869,31718.5
870,31755
871,31791.5
872,31828
873,31864.5
874,31901
875,31937.5
876,31974
877,32010.5
878,32047
879,32083.5
880,32120
881,32156.5
882,32193
883,32229.5
884,32266
885,32302.5
886,32339
887,32375.5
888,32412
889,32448.5
890,32485
891,32521.5
892,32558
893,32594.5
894,32631
895,32667.5
896,32704
897,32740.5
898,32777
899,32813.5
900,32850
901,32886.5
902,32923
903,32959.5
904,32996
905,33032.5
906,33069
907,33105.5
908,33142
909,33178.5
910,33215
911,33251.5
912,33288
913,33324.5
914,33361
915,33397.5
916,33434
917,33470.5
918,33507
919,33543.5
920,33580
921,33616.5
922,33653
923,33689.5
924,33726
925,33762.5
926,33799
927,33835.5
928,33872
929,33908.5
930,33945
931,33981.5
932,34018
933,34054.5
934,34091
935,34127.5
