Machines,Total (hrs/yr)
1,11.5
2,23
3,34.5
4,46
5,57.5
6,69
7,80.5
8,92
9,103.5
10,115
11,126.5
12,138
13,149.5
14,161
15,172.5
16,184
17,195.5
18,207
19,218.5
20,230
21,241.5
22,253
23,264.5
24,276
25,287.5
26,299
27,310.5
28,322
29,333.5
30,345
31,356.5
32,368
33,379.5
34,391
35,402.5
36,414
37,425.5
38,437
39,448.5
40,460
41,471.5
42,483
43,494.5
44,506
45,517.5
46,529
47,540.5
48,552
49,563.5
50,575
51,586.5
52,598
53,609.5
54,621
55,632.5
56,644
57,655.5
58,667
59,678.5
60,690
61,701.5
62,713
63,724.5
64,736
65,747.5
66,759
67,770.5
68,782
69,793.5
70,805
71,816.5
72,828
73,839.5
74,851
75,862.5
76,874
77,885.5
78,897
79,908.5
80,920
81,931.5
82,943
83,954.5
84,966
85,977.5
86,989
87,1000.5
88,1012
89,1023.5
90,1035
91,1046.5
92,1058
93,1069.5
94,1081
95,1092.5
96,1104
97,1115.5
98,1127
99,1138.5
100,1150
101,1161.5
102,1173
103,1184.5
104,1196
105,1207.5
106,1219
107,1230.5
108,1242
109,1253.5
110,1265
111,1276.5
112,1288
113,1299.5
114,1311
115,1322.5
116,1334
117,1345.5
118,1357
119,1368.5
120,1380
121,1391.5
122,1403
123,1414.5
124,1426
125,1437.5
126,1449
127,1460.5
128,1472
129,1483.5
130,1495
131,1506.5
132,1518
133,1529.5
134,1541
135,1552.5
136,1564
137,1575.5
138,1587
139,1598.5
140,1610
141,1621.5
142,1633
143,1644.5
144,1656
145,1667.5
146,1679
147,1690.5
148,1702
149,1713.5
150,1725
151,1736.5
152,1748
153,1759.5
154,1771
155,1782.5
156,1794
157,1805.5
158,1817
159,1828.5
160,1840
161,1851.5
162,1863
163,1874.5
164,1886
165,1897.5
166,1909
167,1920.5
168,1932
169,1943.5
170,1955
171,1966.5
172,1978
173,1989.5
174,2001
175,2012.5
176,2024
177,2035.5
178,2047
179,2058.5
180,2070
181,2081.5
182,2093
