Machines,Total (hrs/yr)
1,17.3
2,34.6
3,51.9
4,69.2
5,86.5
6,103.8
7,121.1
8,138.4
9,155.7
10,173
11,190.3
12,207.6
13,224.9
14,242.2
15,259.5
16,276.8
17,294.1
18,311.4
19,328.7
20,346
21,363.3
22,380.6
23,397.9
24,415.2
25,432.5
26,449.8
27,467.1
28,484.4
29,501.7
30,519
31,536.3
32,553.6
33,570.9
34,588.2
35,605.5
36,622.8
37,640.1
38,657.4
39,674.7
40,692
41,709.3
42,726.6
43,743.9
44,761.2
45,778.5
46,795.8
47,813.1
48,830.4
49,847.7
50,865
51,882.3
52,899.6
53,916.9
54,934.2
55,951.5
56,968.8
57,986.1
58,1003.4
59,1020.7
60,1038
61,1055.3
62,1072.6
63,1089.9
64,1107.2
65,1124.5
66,1141.8
67,1159.1
68,1176.4
69,1193.7
70,1211
71,1228.3
72,1245.6
73,1262.9
74,1280.2
75,1297.5
76,1314.8
77,1332.1
78,1349.4
79,1366.7
80,1384
81,1401.3
82,1418.6
83,1435.9
84,1453.2
85,1470.5
86,1487.8
87,1505.1
88,1522.4
89,1539.7
90,1557
91,1574.3
92,1591.6
93,1608.9
94,1626.2
95,1643.5
96,1660.8
97,1678.1
98,1695.4
99,1712.7
100,1730
101,1747.3
102,1764.6
103,1781.9
104,1799.2
105,1816.5
106,1833.8
107,1851.1
108,1868.4
109,1885.7
110,1903
111,1920.3
112,1937.6
113,1954.9
114,1972.2
115,1989.5
116,2006.8
117,2024.1
118,2041.4
119,2058.7
120,2076
121,2093.3
122,2110.6
123,2127.9
124,2145.2
125,2162.5
126,2179.8
127,2197.1
128,2214.4
129,2231.7
130,2249
131,2266.3
132,2283.6
133,2300.9
134,2318.2
135,2335.5
136,2352.8
137,2370.1
138,2387.4
139,2404.7
140,2422
141,2439.3
142,2456.6
143,2473.9
144,2491.2
145,2508.5
146,2525.8
147,2543.1
148,2560.4
149,2577.7
150,2595
151,2612.3
152,2629.6
153,2646.9
154,2664.2
155,2681.5
156,2698.8
157,2716.1
158,2733.4
159,2750.7
160,2768
161,2785.3
162,2802.6
163,2819.9
164,2837.2
165,2854.5
166,2871.8
