Machines,Total (hrs/yr)
1,27.27
2,54.54
3,81.81
4,109.08
5,136.35
6,163.62
7,190.89
8,218.16
9,245.43
10,272.7
11,299.97
12,327.24
13,354.51
14,381.78
15,409.05
16,436.32
17,463.59
18,490.86
19,518.13
20,545.4
21,572.67
22,599.94
23,627.21
24,654.48
25,681.75
26,709.02
27,736.29
28,763.56
29,790.83
30,818.1
31,845.37
32,872.64
33,899.91
34,927.18
35,954.45
36,981.72
37,1008.99
38,1036.26
39,1063.53
40,1090.8
41,1118.07
42,1145.34
43,1172.61
44,1199.88
45,1227.15
46,1254.42
47,1281.69
48,1308.96
49,1336.23
50,1363.5
51,1390.77
52,1418.04
53,1445.31
54,1472.58
55,1499.85
56,1527.12
57,1554.39
58,1581.66
59,1608.93
60,1636.2
61,1663.47
62,1690.74
63,1718.01
64,1745.28
65,1772.55
66,1799.82
67,1827.09
68,1854.36
69,1881.63
70,1908.9
71,1936.17
72,1963.44
73,1990.71
74,2017.98
75,2045.25
76,2072.52
77,2099.79
78,2127.06
79,2154.33
80,2181.6
81,2208.87
82,2236.14
83,2263.41
84,2290.68
85,2317.95
86,2345.22
87,2372.49
88,2399.76
89,2427.03
90,2454.3
91,2481.57
92,2508.84
93,2536.11
94,2563.38
95,2590.65
96,2617.92
97,2645.19
98,2672.46
99,2699.73
100,2727
101,2754.27
102,2781.54
103,2808.81
104,2836.08
105,2863.35
106,2890.62
107,2917.89
108,2945.16
109,2972.43
110,2999.7
111,3026.97
112,3054.24
113,3081.51
114,3108.78
115,3136.05
116,3163.32
117,3190.59
118,3217.86
119,3245.13
120,3272.4
121,3299.67
122,3326.94
123,3354.21
124,3381.48
125,3408.75
126,3436.02
127,3463.29
128,3490.56
129,3517.83
130,3545.1
131,3572.37
132,3599.64
133,3626.91
134,3654.18
135,3681.45
136,3708.72
137,3735.99
138,3763.26
139,3790.53
140,3817.8
141,3845.07
142,3872.34
143,3899.61
144,3926.88
145,3954.15
146,3981.42
147,4008.69
148,4035.96
149,4063.23
150,4090.5
151,4117.77
152,4145.04
153,4172.31
154,4199.58
155,4226.85
156,4254.12
157,4281.39
158,4308.66
159,4335.93
160,4363.2
161,4390.47
162,4417.74
163,4445.01
164,4472.28
165,4499.55
166,4526.82
167,4554.09
168,4581.36
169,4608.63
170,4635.9
171,4663.17
172,4690.44
173,4717.71
174,4744.98
175,4772.25
176,4799.52
177,4826.79
178,4854.06
179,4881.33
180,4908.6
181,4935.87
182,4963.14
183,4990.41
184,5017.68
185,5044.95
186,5072.22
187,5099.49
188,5126.76
189,5154.03
190,5181.3
191,5208.57
192,5235.84
193,5263.11
194,5290.38
195,5317.65
196,5344.92
197,5372.19
198,5399.46
199,5426.73
200,5454
201,5481.27
202,5508.54
203,5535.81
204,5563.08
205,5590.35
206,5617.62
207,5644.89
208,5672.16
209,5699.43
210,5726.7
211,5753.97
212,5781.24
213,5808.51
214,5835.78
215,5863.05
216,5890.32
217,5917.59
218,5944.86
219,5972.13
220,5999.4
221,6026.67
222,6053.94
223,6081.21
224,6108.48
225,6135.75
226,6163.02
227,6190.29
228,6217.56
229,6244.83
230,6272.1
231,6299.37
232,6326.64
233,6353.91
234,6381.18
235,6408.45
236,6435.72
237,6462.99
238,6490.26
239,6517.53
240,6544.8
241,6572.07
242,6599.34
243,6626.61
244,6653.88
245,6681.15
246,6708.42
247,6735.69
248,6762.96
249,6790.23
250,6817.5
251,6844.77
252,6872.04
253,6899.31
254,6926.58
255,6953.85
256,6981.12
257,7008.39
258,7035.66
259,7062.93
260,7090.2
261,7117.47
262,7144.74
263,7172.01
264,7199.28
265,7226.55
266,7253.82
267,7281.09
268,7308.36
269,7335.63
270,7362.9
271,7390.17
272,7417.44
273,7444.71
274,7471.98
275,7499.25
276,7526.52
277,7553.79
278,7581.06
279,7608.33
280,7635.6
281,7662.87
282,7690.14
283,7717.41
284,7744.68
285,7771.95
286,7799.22
287,7826.49
288,7853.76
289,7881.03
290,7908.3
291,7935.57
292,7962.84
293,7990.11
294,8017.38
295,8044.65
296,8071.92
297,8099.19
298,8126.46
299,8153.73
300,8181
301,8208.27
302,8235.54
303,8262.81
304,8290.08
305,8317.35
306,8344.62
307,8371.89
308,8399.16
309,8426.43
310,8453.7
311,8480.97
312,8508.24
313,8535.51
314,8562.78
315,8590.05
