Machines,Total (hrs/yr)
1,38.43
2,76.86
3,115.29
4,153.72
5,192.15
6,230.58
7,269.01
8,307.44
9,345.87
10,384.3
11,422.73
12,461.16
13,499.59
14,538.02
15,576.45
16,614.88
17,653.31
18,691.74
19,730.17
20,768.6
21,807.03
22,845.46
23,883.89
24,922.32
25,960.75
26,999.18
27,1037.61
28,1076.04
29,1114.47
30,1152.9
31,1191.33
32,1229.76
33,1268.19
34,1306.62
35,1345.05
36,1383.48
37,1421.91
38,1460.34
39,1498.77
40,1537.2
41,1575.63
42,1614.06
43,1652.49
44,1690.92
45,1729.35
46,1767.78
47,1806.21
48,1844.64
49,1883.07
50,1921.5
51,1959.93
52,1998.36
53,2036.79
54,2075.22
55,2113.65
56,2152.08
57,2190.51
58,2228.94
59,2267.37
60,2305.8
61,2344.23
62,2382.66
63,2421.09
64,2459.52
65,2497.95
66,2536.38
67,2574.81
68,2613.24
69,2651.67
70,2690.1
71,2728.53
72,2766.96
73,2805.39
74,2843.82
75,2882.25
76,2920.68
77,2959.11
78,2997.54
79,3035.97
80,3074.4
81,3112.83
82,3151.26
83,3189.69
84,3228.12
85,3266.55
86,3304.98
87,3343.41
88,3381.84
89,3420.27
90,3458.7
91,3497.13
92,3535.56
93,3573.99
94,3612.42
95,3650.85
96,3689.28
97,3727.71
98,3766.14
99,3804.57
100,3843
101,3881.43
102,3919.86
103,3958.29
104,3996.72
105,4035.15
106,4073.58
107,4112.01
108,4150.44
109,4188.87
110,4227.3
111,4265.73
112,4304.16
113,4342.59
114,4381.02
115,4419.45
116,4457.88
117,4496.31
118,4534.74
119,4573.17
120,4611.6
121,4650.03
122,4688.46
123,4726.89
124,4765.32
125,4803.75
126,4842.18
127,4880.61
128,4919.04
129,4957.47
130,4995.9
131,5034.33
132,5072.76
133,5111.19
134,5149.62
135,5188.05
136,5226.48
137,5264.91
138,5303.34
139,5341.77
140,5380.2
141,5418.63
142,5457.06
143,5495.49
144,5533.92
145,5572.35
146,5610.78
147,5649.21
148,5687.64
149,5726.07
150,5764.5
151,5802.93
152,5841.36
153,5879.79
154,5918.22
155,5956.65
156,5995.08
157,6033.51
158,6071.94
159,6110.37
160,6148.8
161,6187.23
162,6225.66
163,6264.09
164,6302.52
165,6340.95
166,6379.38
167,6417.81
168,6456.24
169,6494.67
170,6533.1
171,6571.53
172,6609.96
173,6648.39
174,6686.82
175,6725.25
176,6763.68
177,6802.11
178,6840.54
179,6878.97
180,6917.4
181,6955.83
182,6994.26
183,7032.69
184,7071.12
185,7109.55
186,7147.98
187,7186.41
188,7224.84
189,7263.27
190,7301.7
191,7340.13
192,7378.56
193,7416.99
194,7455.42
195,7493.85
196,7532.28
197,7570.71
198,7609.14
199,7647.57
200,7686
201,7724.43
202,7762.86
203,7801.29
204,7839.72
205,7878.15
206,7916.58
207,7955.01
208,7993.44
209,8031.87
210,8070.3
211,8108.73
212,8147.16
213,8185.59
214,8224.02
215,8262.45
216,8300.88
217,8339.31
218,8377.74
219,8416.17
