Machines,Total (hrs/yr)
1,7.44
2,14.88
3,22.32
4,29.76
5,37.2
6,44.64
7,52.08
8,59.52
9,66.96
10,74.4
11,81.84
12,89.28
13,96.72
14,104.16
15,111.6
16,119.04
17,126.48
18,133.92
19,141.36
20,148.8
21,156.24
22,163.68
23,171.12
24,178.56
25,186
26,193.44
27,200.88
28,208.32
29,215.76
30,223.2
31,230.64
32,238.08
33,245.52
34,252.96
35,260.4
36,267.84
37,275.28
38,282.72
39,290.16
40,297.6
41,305.04
42,312.48
43,319.92
44,327.36
45,334.8
46,342.24
47,349.68
48,357.12
49,364.56
50,372
51,379.44
52,386.88
53,394.32
54,401.76
55,409.2
56,416.64
57,424.08
58,431.52
59,438.96
60,446.4
61,453.84
62,461.28
63,468.72
64,476.16
65,483.6
66,491.04
67,498.48
68,505.92
69,513.36
70,520.8
71,528.24
72,535.68
73,543.12
74,550.56
75,558
76,565.44
77,572.88
78,580.32
79,587.76
80,595.2
81,602.64
82,610.08
83,617.52
84,624.96
85,632.4
86,639.84
87,647.28
88,654.72
89,662.16
90,669.6
91,677.04
92,684.48
93,691.92
94,699.36
95,706.8
96,714.24
97,721.68
98,729.12
99,736.56
100,744
101,751.44
102,758.88
103,766.32
104,773.76
105,781.2
106,788.64
107,796.08
108,803.52
109,810.96
110,818.4
111,825.84
112,833.28
113,840.72
114,848.16
115,855.6
116,863.04
117,870.48
118,877.92
119,885.36
120,892.8
121,900.24
122,907.68
123,915.12
124,922.56
125,930
126,937.44
127,944.88
128,952.32
129,959.76
130,967.2
131,974.64
132,982.08
133,989.52
134,996.96
135,1004.4
136,1011.84
137,1019.28
138,1026.72
139,1034.16
140,1041.6
141,1049.04
142,1056.48
143,1063.92
144,1071.36
145,1078.8
146,1086.24
147,1093.68
148,1101.12
149,1108.56
150,1116
151,1123.44
152,1130.88
153,1138.32
154,1145.76
155,1153.2
156,1160.64
157,1168.08
158,1175.52
159,1182.96
160,1190.4
161,1197.84
162,1205.28
163,1212.72
164,1220.16
165,1227.6
166,1235.04
167,1242.48
168,1249.92
169,1257.36
170,1264.8
171,1272.24
172,1279.68
173,1287.12
174,1294.56
175,1302
176,1309.44
177,1316.88
178,1324.32
179,1331.76
180,1339.2
181,1346.64
182,1354.08
183,1361.52
184,1368.96
185,1376.4
186,1383.84
187,1391.28
188,1398.72
189,1406.16
190,1413.6
191,1421.04
192,1428.48
193,1435.92
