Machines,Total (hrs/yr)
1,39.64
2,79.28
3,118.92
4,158.56
5,198.2
6,237.84
7,277.48
8,317.12
9,356.76
10,396.4
11,436.04
12,475.68
13,515.32
14,554.96
15,594.6
16,634.24
17,673.88
18,713.52
19,753.16
20,792.8
21,832.44
22,872.08
23,911.72
24,951.36
25,991
26,1030.64
27,1070.28
28,1109.92
29,1149.56
30,1189.2
31,1228.84
32,1268.48
33,1308.12
34,1347.76
35,1387.4
36,1427.04
37,1466.68
38,1506.32
39,1545.96
40,1585.6
41,1625.24
42,1664.88
43,1704.52
44,1744.16
45,1783.8
46,1823.44
47,1863.08
48,1902.72
49,1942.36
50,1982
51,2021.64
52,2061.28
53,2100.92
54,2140.56
55,2180.2
56,2219.84
57,2259.48
58,2299.12
59,2338.76
60,2378.4
61,2418.04
62,2457.68
63,2497.32
64,2536.96
65,2576.6
66,2616.24
67,2655.88
68,2695.52
69,2735.16
70,2774.8
71,2814.44
72,2854.08
73,2893.72
74,2933.36
75,2973
76,3012.64
77,3052.28
78,3091.92
79,3131.56
80,3171.2
81,3210.84
82,3250.48
83,3290.12
84,3329.76
85,3369.4
86,3409.04
87,3448.68
88,3488.32
89,3527.96
90,3567.6
91,3607.24
92,3646.88
93,3686.52
94,3726.16
95,3765.8
96,3805.44
97,3845.08
98,3884.72
99,3924.36
100,3964
101,4003.64
102,4043.28
103,4082.92
104,4122.56
105,4162.2
106,4201.84
107,4241.48
108,4281.12
109,4320.76
110,4360.4
111,4400.04
112,4439.68
113,4479.32
114,4518.96
115,4558.6
116,4598.24
117,4637.88
118,4677.52
119,4717.16
120,4756.8
121,4796.44
122,4836.08
123,4875.72
124,4915.36
125,4955
126,4994.64
127,5034.28
128,5073.92
129,5113.56
130,5153.2
131,5192.84
132,5232.48
133,5272.12
134,5311.76
135,5351.4
136,5391.04
137,5430.68
138,5470.32
139,5509.96
140,5549.6
141,5589.24
142,5628.88
143,5668.52
144,5708.16
145,5747.8
146,5787.44
147,5827.08
148,5866.72
149,5906.36
150,5946
151,5985.64
152,6025.28
153,6064.92
154,6104.56
155,6144.2
156,6183.84
157,6223.48
158,6263.12
159,6302.76
160,6342.4
161,6382.04
162,6421.68
163,6461.32
164,6500.96
165,6540.6
166,6580.24
167,6619.88
168,6659.52
169,6699.16
170,6738.8
171,6778.44
172,6818.08
173,6857.72
174,6897.36
175,6937
176,6976.64
177,7016.28
178,7055.92
179,7095.56
180,7135.2
181,7174.84
182,7214.48
183,7254.12
184,7293.76
185,7333.4
186,7373.04
187,7412.68
188,7452.32
189,7491.96
190,7531.6
191,7571.24
192,7610.88
193,7650.52
194,7690.16
195,7729.8
196,7769.44
197,7809.08
198,7848.72
199,7888.36
200,7928
201,7967.64
202,8007.28
203,8046.92
204,8086.56
205,8126.2
206,8165.84
207,8205.48
208,8245.12
209,8284.76
210,8324.4
211,8364.04
212,8403.68
213,8443.32
214,8482.96
215,8522.6
216,8562.24
217,8601.88
218,8641.52
219,8681.16
220,8720.8
221,8760.44
222,8800.08
223,8839.72
224,8879.36
225,8919
226,8958.64
227,8998.28
228,9037.92
229,9077.56
230,9117.2
231,9156.84
232,9196.48
233,9236.12
234,9275.76
235,9315.4
236,9355.04
237,9394.68
238,9434.32
239,9473.96
240,9513.6
241,9553.24
242,9592.88
243,9632.52
244,9672.16
245,9711.8
246,9751.44
247,9791.08
248,9830.72
249,9870.36
250,9910
251,9949.64
252,9989.28
253,10028.92
254,10068.56
255,10108.2
256,10147.84
257,10187.48
258,10227.12
259,10266.76
260,10306.4
261,10346.04
262,10385.68
263,10425.32
264,10464.96
265,10504.6
266,10544.24
267,10583.88
268,10623.52
269,10663.16
270,10702.8
271,10742.44
272,10782.08
273,10821.72
274,10861.36
275,10901
276,10940.64
277,10980.28
278,11019.92
279,11059.56
280,11099.2
281,11138.84
282,11178.48
283,11218.12
284,11257.76
285,11297.4
286,11337.04
287,11376.68
288,11416.32
289,11455.96
290,11495.6
291,11535.24
292,11574.88
293,11614.52
294,11654.16
295,11693.8
296,11733.44
297,11773.08
298,11812.72
299,11852.36
300,11892
301,11931.64
302,11971.28
303,12010.92
304,12050.56
305,12090.2
306,12129.84
307,12169.48
308,12209.12
309,12248.76
310,12288.4
311,12328.04
312,12367.68
313,12407.32
314,12446.96
315,12486.6
316,12526.24
317,12565.88
318,12605.52
319,12645.16
320,12684.8
321,12724.44
322,12764.08
323,12803.72
324,12843.36
325,12883
326,12922.64
327,12962.28
328,13001.92
329,13041.56
330,13081.2
331,13120.84
332,13160.48
333,13200.12
334,13239.76
335,13279.4
336,13319.04
337,13358.68
338,13398.32
339,13437.96
340,13477.6
341,13517.24
342,13556.88
343,13596.52
344,13636.16
345,13675.8
346,13715.44
347,13755.08
348,13794.72
349,13834.36
350,13874
351,13913.64
352,13953.28
353,13992.92
354,14032.56
355,14072.2
356,14111.84
357,14151.48
358,14191.12
359,14230.76
360,14270.4
361,14310.04
362,14349.68
363,14389.32
364,14428.96
365,14468.6
366,14508.24
367,14547.88
368,14587.52
369,14627.16
370,14666.8
371,14706.44
372,14746.08
373,14785.72
374,14825.36
375,14865
376,14904.64
377,14944.28
378,14983.92
379,15023.56
380,15063.2
381,15102.84
382,15142.48
383,15182.12
384,15221.76
385,15261.4
386,15301.04
387,15340.68
388,15380.32
389,15419.96
390,15459.6
391,15499.24
392,15538.88
393,15578.52
394,15618.16
395,15657.8
396,15697.44
397,15737.08
398,15776.72
399,15816.36
400,15856
401,15895.64
