Machines,Total (hrs/yr)
1,24.71
2,49.42
3,74.13
4,98.84
5,123.55
6,148.26
7,172.97
8,197.68
9,222.39
10,247.1
11,271.81
12,296.52
13,321.23
14,345.94
15,370.65
16,395.36
17,420.07
18,444.78
19,469.49
20,494.2
21,518.91
22,543.62
23,568.33
24,593.04
25,617.75
26,642.46
27,667.17
28,691.88
29,716.59
30,741.3
31,766.01
32,790.72
33,815.43
34,840.14
35,864.85
36,889.56
37,914.27
38,938.98
39,963.69
40,988.4
41,1013.11
42,1037.82
43,1062.53
44,1087.24
45,1111.95
46,1136.66
47,1161.37
48,1186.08
49,1210.79
50,1235.5
51,1260.21
52,1284.92
53,1309.63
54,1334.34
55,1359.05
56,1383.76
57,1408.47
58,1433.18
59,1457.89
60,1482.6
61,1507.31
62,1532.02
63,1556.73
64,1581.44
65,1606.15
66,1630.86
67,1655.57
68,1680.28
69,1704.99
70,1729.7
71,1754.41
72,1779.12
73,1803.83
74,1828.54
75,1853.25
76,1877.96
77,1902.67
78,1927.38
79,1952.09
80,1976.8
81,2001.51
82,2026.22
83,2050.93
84,2075.64
85,2100.35
86,2125.06
87,2149.77
88,2174.48
89,2199.19
90,2223.9
91,2248.61
92,2273.32
93,2298.03
94,2322.74
95,2347.45
96,2372.16
97,2396.87
98,2421.58
99,2446.29
100,2471
101,2495.71
102,2520.42
103,2545.13
104,2569.84
105,2594.55
106,2619.26
107,2643.97
108,2668.68
109,2693.39
110,2718.1
111,2742.81
112,2767.52
113,2792.23
114,2816.94
115,2841.65
116,2866.36
117,2891.07
118,2915.78
119,2940.49
120,2965.2
121,2989.91
122,3014.62
123,3039.33
124,3064.04
125,3088.75
126,3113.46
127,3138.17
128,3162.88
129,3187.59
130,3212.3
131,3237.01
132,3261.72
133,3286.43
134,3311.14
135,3335.85
136,3360.56
137,3385.27
138,3409.98
139,3434.69
140,3459.4
141,3484.11
142,3508.82
143,3533.53
144,3558.24
145,3582.95
146,3607.66
147,3632.37
148,3657.08
149,3681.79
150,3706.5
151,3731.21
152,3755.92
153,3780.63
154,3805.34
155,3830.05
156,3854.76
157,3879.47
158,3904.18
159,3928.89
160,3953.6
161,3978.31
162,4003.02
163,4027.73
164,4052.44
165,4077.15
166,4101.86
167,4126.57
168,4151.28
169,4175.99
170,4200.7
171,4225.41
172,4250.12
173,4274.83
174,4299.54
175,4324.25
176,4348.96
177,4373.67
178,4398.38
179,4423.09
180,4447.8
181,4472.51
182,4497.22
183,4521.93
184,4546.64
185,4571.35
186,4596.06
187,4620.77
188,4645.48
189,4670.19
190,4694.9
191,4719.61
192,4744.32
193,4769.03
194,4793.74
195,4818.45
196,4843.16
197,4867.87
198,4892.58
199,4917.29
200,4942
201,4966.71
202,4991.42
203,5016.13
204,5040.84
205,5065.55
206,5090.26
207,5114.97
208,5139.68
209,5164.39
210,5189.1
211,5213.81
212,5238.52
213,5263.23
214,5287.94
215,5312.65
216,5337.36
217,5362.07
218,5386.78
219,5411.49
220,5436.2
221,5460.91
222,5485.62
223,5510.33
224,5535.04
225,5559.75
226,5584.46
227,5609.17
228,5633.88
229,5658.59
230,5683.3
231,5708.01
232,5732.72
233,5757.43
234,5782.14
235,5806.85
236,5831.56
237,5856.27
238,5880.98
239,5905.69
240,5930.4
241,5955.11
242,5979.82
243,6004.53
244,6029.24
245,6053.95
246,6078.66
247,6103.37
248,6128.08
249,6152.79
250,6177.5
251,6202.21
252,6226.92
253,6251.63
254,6276.34
255,6301.05
256,6325.76
257,6350.47
258,6375.18
259,6399.89
260,6424.6
261,6449.31
262,6474.02
263,6498.73
264,6523.44
265,6548.15
266,6572.86
267,6597.57
268,6622.28
269,6646.99
270,6671.7
271,6696.41
272,6721.12
273,6745.83
274,6770.54
275,6795.25
276,6819.96
277,6844.67
278,6869.38
279,6894.09
280,6918.8
281,6943.51
282,6968.22
283,6992.93
284,7017.64
285,7042.35
286,7067.06
287,7091.77
288,7116.48
289,7141.19
290,7165.9
291,7190.61
292,7215.32
293,7240.03
