Machines,Total (hrs/yr)
1,22.31
2,44.62
3,66.93
4,89.24
5,111.55
6,133.86
7,156.17
8,178.48
9,200.79
10,223.1
11,245.41
12,267.72
13,290.03
14,312.34
15,334.65
16,356.96
17,379.27
18,401.58
19,423.89
20,446.2
21,468.51
22,490.82
23,513.13
24,535.44
25,557.75
26,580.06
27,602.37
28,624.68
29,646.99
30,669.3
31,691.61
32,713.92
33,736.23
34,758.54
35,780.85
36,803.16
37,825.47
38,847.78
39,870.09
40,892.4
41,914.71
42,937.02
43,959.33
44,981.64
45,1003.95
46,1026.26
47,1048.57
48,1070.88
49,1093.19
50,1115.5
51,1137.81
52,1160.12
53,1182.43
54,1204.74
55,1227.05
56,1249.36
57,1271.67
58,1293.98
59,1316.29
60,1338.6
61,1360.91
62,1383.22
63,1405.53
64,1427.84
65,1450.15
66,1472.46
67,1494.77
68,1517.08
69,1539.39
70,1561.7
71,1584.01
72,1606.32
73,1628.63
74,1650.94
75,1673.25
76,1695.56
77,1717.87
78,1740.18
79,1762.49
80,1784.8
81,1807.11
82,1829.42
83,1851.73
84,1874.04
85,1896.35
86,1918.66
87,1940.97
88,1963.28
89,1985.59
90,2007.9
91,2030.21
92,2052.52
93,2074.83
94,2097.14
95,2119.45
96,2141.76
97,2164.07
98,2186.38
99,2208.69
100,2231
101,2253.31
102,2275.62
103,2297.93
104,2320.24
105,2342.55
106,2364.86
107,2387.17
108,2409.48
109,2431.79
110,2454.1
111,2476.41
112,2498.72
113,2521.03
114,2543.34
115,2565.65
116,2587.96
117,2610.27
118,2632.58
119,2654.89
120,2677.2
121,2699.51
122,2721.82
123,2744.13
124,2766.44
125,2788.75
126,2811.06
127,2833.37
128,2855.68
129,2877.99
130,2900.3
131,2922.61
132,2944.92
133,2967.23
134,2989.54
135,3011.85
136,3034.16
137,3056.47
138,3078.78
139,3101.09
140,3123.4
141,3145.71
142,3168.02
143,3190.33
144,3212.64
145,3234.95
146,3257.26
147,3279.57
148,3301.88
149,3324.19
150,3346.5
151,3368.81
152,3391.12
153,3413.43
154,3435.74
155,3458.05
156,3480.36
157,3502.67
158,3524.98
159,3547.29
160,3569.6
161,3591.91
162,3614.22
163,3636.53
164,3658.84
165,3681.15
166,3703.46
167,3725.77
168,3748.08
169,3770.39
170,3792.7
171,3815.01
172,3837.32
173,3859.63
174,3881.94
175,3904.25
176,3926.56
177,3948.87
178,3971.18
179,3993.49
180,4015.8
181,4038.11
182,4060.42
183,4082.73
184,4105.04
185,4127.35
186,4149.66
187,4171.97
188,4194.28
189,4216.59
190,4238.9
191,4261.21
192,4283.52
193,4305.83
194,4328.14
195,4350.45
196,4372.76
197,4395.07
198,4417.38
199,4439.69
200,4462
201,4484.31
202,4506.62
203,4528.93
204,4551.24
205,4573.55
206,4595.86
207,4618.17
208,4640.48
209,4662.79
210,4685.1
211,4707.41
212,4729.72
213,4752.03
214,4774.34
215,4796.65
216,4818.96
217,4841.27
218,4863.58
219,4885.89
220,4908.2
221,4930.51
222,4952.82
223,4975.13
224,4997.44
225,5019.75
226,5042.06
227,5064.37
228,5086.68
229,5108.99
230,5131.3
231,5153.61
232,5175.92
233,5198.23
234,5220.54
235,5242.85
236,5265.16
237,5287.47
238,5309.78
239,5332.09
240,5354.4
241,5376.71
242,5399.02
243,5421.33
244,5443.64
245,5465.95
246,5488.26
247,5510.57
248,5532.88
249,5555.19
250,5577.5
251,5599.81
252,5622.12
253,5644.43
254,5666.74
255,5689.05
256,5711.36
257,5733.67
258,5755.98
259,5778.29
260,5800.6
261,5822.91
262,5845.22
263,5867.53
264,5889.84
265,5912.15
266,5934.46
267,5956.77
268,5979.08
269,6001.39
270,6023.7
271,6046.01
272,6068.32
273,6090.63
274,6112.94
275,6135.25
276,6157.56
277,6179.87
278,6202.18
279,6224.49
280,6246.8
281,6269.11
282,6291.42
283,6313.73
284,6336.04
285,6358.35
286,6380.66
287,6402.97
288,6425.28
289,6447.59
290,6469.9
291,6492.21
292,6514.52
293,6536.83
294,6559.14
295,6581.45
296,6603.76
297,6626.07
298,6648.38
299,6670.69
300,6693
301,6715.31
302,6737.62
303,6759.93
304,6782.24
305,6804.55
306,6826.86
307,6849.17
308,6871.48
309,6893.79
310,6916.1
311,6938.41
312,6960.72
313,6983.03
314,7005.34
315,7027.65
316,7049.96
317,7072.27
318,7094.58
319,7116.89
320,7139.2
321,7161.51
322,7183.82
323,7206.13
324,7228.44
325,7250.75
326,7273.06
327,7295.37
328,7317.68
329,7339.99
330,7362.3
331,7384.61
332,7406.92
333,7429.23
334,7451.54
335,7473.85
336,7496.16
337,7518.47
338,7540.78
339,7563.09
340,7585.4
341,7607.71
342,7630.02
343,7652.33
344,7674.64
345,7696.95
346,7719.26
347,7741.57
348,7763.88
349,7786.19
350,7808.5
351,7830.81
352,7853.12
353,7875.43
354,7897.74
355,7920.05
356,7942.36
357,7964.67
358,7986.98
359,8009.29
360,8031.6
361,8053.91
362,8076.22
363,8098.53
364,8120.84
365,8143.15
366,8165.46
367,8187.77
368,8210.08
369,8232.39
370,8254.7
371,8277.01
372,8299.32
373,8321.63
374,8343.94
375,8366.25
376,8388.56
377,8410.87
378,8433.18
379,8455.49
380,8477.8
381,8500.11
382,8522.42
383,8544.73
384,8567.04
385,8589.35
386,8611.66
387,8633.97
388,8656.28
389,8678.59
390,8700.9
391,8723.21
392,8745.52
393,8767.83
394,8790.14
395,8812.45
396,8834.76
397,8857.07
398,8879.38
399,8901.69
400,8924
401,8946.31
402,8968.62
403,8990.93
404,9013.24
405,9035.55
406,9057.86
407,9080.17
408,9102.48
409,9124.79
410,9147.1
411,9169.41
412,9191.72
413,9214.03
414,9236.34
415,9258.65
416,9280.96
417,9303.27
418,9325.58
419,9347.89
420,9370.2
421,9392.51
422,9414.82
423,9437.13
424,9459.44
425,9481.75
426,9504.06
427,9526.37
428,9548.68
429,9570.99
430,9593.3
431,9615.61
432,9637.92
433,9660.23
434,9682.54
435,9704.85
436,9727.16
437,9749.47
438,9771.78
439,9794.09
440,9816.4
441,9838.71
442,9861.02
443,9883.33
444,9905.64
445,9927.95
446,9950.26
447,9972.57
448,9994.88
449,10017.19
450,10039.5
451,10061.81
452,10084.12
453,10106.43
454,10128.74
455,10151.05
456,10173.36
457,10195.67
458,10217.98
459,10240.29
460,10262.6
461,10284.91
462,10307.22
463,10329.53
464,10351.84
465,10374.15
466,10396.46
467,10418.77
468,10441.08
469,10463.39
470,10485.7
471,10508.01
472,10530.32
473,10552.63
474,10574.94
475,10597.25
476,10619.56
477,10641.87
478,10664.18
479,10686.49
480,10708.8
481,10731.11
482,10753.42
483,10775.73
484,10798.04
485,10820.35
486,10842.66
487,10864.97
488,10887.28
489,10909.59
490,10931.9
491,10954.21
492,10976.52
493,10998.83
494,11021.14
495,11043.45
496,11065.76
497,11088.07
498,11110.38
499,11132.69
500,11155
501,11177.31
502,11199.62
503,11221.93
504,11244.24
505,11266.55
506,11288.86
507,11311.17
508,11333.48
509,11355.79
510,11378.1
511,11400.41
512,11422.72
513,11445.03
514,11467.34
515,11489.65
516,11511.96
517,11534.27
518,11556.58
519,11578.89
520,11601.2
521,11623.51
522,11645.82
523,11668.13
524,11690.44
525,11712.75
526,11735.06
527,11757.37
528,11779.68
529,11801.99
530,11824.3
531,11846.61
532,11868.92
533,11891.23
534,11913.54
535,11935.85
536,11958.16
537,11980.47
538,12002.78
539,12025.09
540,12047.4
541,12069.71
542,12092.02
543,12114.33
544,12136.64
545,12158.95
546,12181.26
547,12203.57
548,12225.88
549,12248.19
550,12270.5
551,12292.81
552,12315.12
553,12337.43
554,12359.74
555,12382.05
556,12404.36
557,12426.67
558,12448.98
559,12471.29
560,12493.6
561,12515.91
562,12538.22
563,12560.53
564,12582.84
565,12605.15
566,12627.46
567,12649.77
568,12672.08
569,12694.39
570,12716.7
571,12739.01
572,12761.32
573,12783.63
574,12805.94
575,12828.25
576,12850.56
577,12872.87
578,12895.18
579,12917.49
580,12939.8
581,12962.11
582,12984.42
583,13006.73
584,13029.04
585,13051.35
586,13073.66
587,13095.97
588,13118.28
589,13140.59
590,13162.9
591,13185.21
592,13207.52
593,13229.83
594,13252.14
595,13274.45
596,13296.76
597,13319.07
598,13341.38
599,13363.69
600,13386
601,13408.31
602,13430.62
603,13452.93
604,13475.24
605,13497.55
606,13519.86
607,13542.17
608,13564.48
609,13586.79
610,13609.1
611,13631.41
612,13653.72
613,13676.03
614,13698.34
615,13720.65
616,13742.96
617,13765.27
618,13787.58
619,13809.89
620,13832.2
621,13854.51
622,13876.82
623,13899.13
624,13921.44
625,13943.75
626,13966.06
627,13988.37
628,14010.68
629,14032.99
630,14055.3
631,14077.61
632,14099.92
633,14122.23
634,14144.54
635,14166.85
636,14189.16
637,14211.47
638,14233.78
639,14256.09
640,14278.4
641,14300.71
642,14323.02
643,14345.33
644,14367.64
645,14389.95
646,14412.26
647,14434.57
648,14456.88
649,14479.19
650,14501.5
651,14523.81
652,14546.12
653,14568.43
654,14590.74
655,14613.05
656,14635.36
657,14657.67
658,14679.98
659,14702.29
660,14724.6
661,14746.91
662,14769.22
663,14791.53
664,14813.84
665,14836.15
666,14858.46
667,14880.77
668,14903.08
669,14925.39
670,14947.7
671,14970.01
672,14992.32
673,15014.63
674,15036.94
675,15059.25
676,15081.56
677,15103.87
678,15126.18
679,15148.49
680,15170.8
681,15193.11
682,15215.42
683,15237.73
684,15260.04
685,15282.35
686,15304.66
687,15326.97
688,15349.28
689,15371.59
690,15393.9
691,15416.21
692,15438.52
