Machines,Total (hrs/yr)
1,71.04
2,142.08
3,213.12
4,284.16
5,355.2
6,426.24
7,497.28
8,568.32
9,639.36
10,710.4
11,781.44
12,852.48
13,923.52
14,994.56
15,1065.6
16,1136.64
17,1207.68
18,1278.72
19,1349.76
20,1420.8
21,1491.84
22,1562.88
23,1633.92
24,1704.96
25,1776
26,1847.04
27,1918.08
28,1989.12
29,2060.16
30,2131.2
31,2202.24
32,2273.28
33,2344.32
34,2415.36
35,2486.4
36,2557.44
37,2628.48
38,2699.52
39,2770.56
40,2841.6
41,2912.64
42,2983.68
43,3054.72
44,3125.76
45,3196.8
46,3267.84
47,3338.88
48,3409.92
49,3480.96
50,3552
51,3623.04
52,3694.08
53,3765.12
54,3836.16
55,3907.2
56,3978.24
57,4049.28
58,4120.32
59,4191.36
60,4262.4
61,4333.44
62,4404.48
63,4475.52
64,4546.56
65,4617.6
66,4688.64
67,4759.68
68,4830.72
69,4901.76
70,4972.8
71,5043.84
72,5114.88
73,5185.92
74,5256.96
75,5328
76,5399.04
77,5470.08
78,5541.12
79,5612.16
80,5683.2
81,5754.24
82,5825.28
83,5896.32
84,5967.36
85,6038.4
86,6109.44
87,6180.48
88,6251.52
89,6322.56
90,6393.6
91,6464.64
92,6535.68
93,6606.72
94,6677.76
95,6748.8
96,6819.84
97,6890.88
98,6961.92
99,7032.96
100,7104
101,7175.04
102,7246.08
103,7317.12
104,7388.16
105,7459.2
106,7530.24
107,7601.28
108,7672.32
109,7743.36
110,7814.4
111,7885.44
112,7956.48
113,8027.52
114,8098.56
115,8169.6
116,8240.64
117,8311.68
118,8382.72
119,8453.76
120,8524.8
121,8595.84
122,8666.88
123,8737.92
124,8808.96
125,8880
126,8951.04
127,9022.08
128,9093.12
129,9164.16
130,9235.2
131,9306.24
132,9377.28
133,9448.32
134,9519.36
135,9590.4
136,9661.44
137,9732.48
138,9803.52
139,9874.56
140,9945.6
141,10016.64
142,10087.68
143,10158.72
144,10229.76
145,10300.8
146,10371.84
147,10442.88
148,10513.92
149,10584.96
150,10656
151,10727.04
152,10798.08
153,10869.12
154,10940.16
155,11011.2
156,11082.24
157,11153.28
158,11224.32
159,11295.36
160,11366.4
161,11437.44
162,11508.48
163,11579.52
164,11650.56
165,11721.6
166,11792.64
167,11863.68
168,11934.72
169,12005.76
170,12076.8
171,12147.84
172,12218.88
173,12289.92
174,12360.96
175,12432
176,12503.04
177,12574.08
178,12645.12
179,12716.16
180,12787.2
181,12858.24
182,12929.28
183,13000.32
184,13071.36
185,13142.4
186,13213.44
187,13284.48
188,13355.52
189,13426.56
190,13497.6
191,13568.64
192,13639.68
193,13710.72
194,13781.76
195,13852.8
196,13923.84
197,13994.88
198,14065.92
199,14136.96
200,14208
201,14279.04
202,14350.08
203,14421.12
204,14492.16
205,14563.2
206,14634.24
207,14705.28
208,14776.32
209,14847.36
210,14918.4
211,14989.44
212,15060.48
213,15131.52
214,15202.56
215,15273.6
216,15344.64
217,15415.68
218,15486.72
219,15557.76
220,15628.8
221,15699.84
222,15770.88
223,15841.92
224,15912.96
225,15984
226,16055.04
227,16126.08
228,16197.12
229,16268.16
230,16339.2
231,16410.24
232,16481.28
233,16552.32
234,16623.36
235,16694.4
236,16765.44
237,16836.48
238,16907.52
239,16978.56
240,17049.6
241,17120.64
242,17191.68
243,17262.72
244,17333.76
245,17404.8
246,17475.84
247,17546.88
248,17617.92
249,17688.96
250,17760
251,17831.04
252,17902.08
253,17973.12
254,18044.16
255,18115.2
256,18186.24
257,18257.28
258,18328.32
259,18399.36
260,18470.4
261,18541.44
262,18612.48
263,18683.52
264,18754.56
265,18825.6
266,18896.64
267,18967.68
268,19038.72
269,19109.76
270,19180.8
271,19251.84
272,19322.88
273,19393.92
274,19464.96
275,19536
276,19607.04
277,19678.08
278,19749.12
279,19820.16
280,19891.2
281,19962.24
282,20033.28
283,20104.32
284,20175.36
285,20246.4
286,20317.44
287,20388.48
288,20459.52
289,20530.56
290,20601.6
291,20672.64
292,20743.68
293,20814.72
294,20885.76
295,20956.8
296,21027.84
297,21098.88
298,21169.92
299,21240.96
300,21312
301,21383.04
302,21454.08
303,21525.12
304,21596.16
305,21667.2
306,21738.24
307,21809.28
308,21880.32
309,21951.36
310,22022.4
311,22093.44
312,22164.48
313,22235.52
314,22306.56
315,22377.6
316,22448.64
317,22519.68
318,22590.72
319,22661.76
320,22732.8
321,22803.84
322,22874.88
323,22945.92
324,23016.96
325,23088
326,23159.04
327,23230.08
328,23301.12
329,23372.16
330,23443.2
331,23514.24
332,23585.28
333,23656.32
334,23727.36
335,23798.4
336,23869.44
337,23940.48
338,24011.52
339,24082.56
340,24153.6
341,24224.64
342,24295.68
343,24366.72
344,24437.76
345,24508.8
346,24579.84
347,24650.88
348,24721.92
349,24792.96
350,24864
351,24935.04
352,25006.08
353,25077.12
354,25148.16
355,25219.2
356,25290.24
357,25361.28
358,25432.32
359,25503.36
360,25574.4
361,25645.44
362,25716.48
363,25787.52
364,25858.56
365,25929.6
366,26000.64
367,26071.68
368,26142.72
369,26213.76
370,26284.8
371,26355.84
372,26426.88
373,26497.92
374,26568.96
375,26640
376,26711.04
377,26782.08
378,26853.12
379,26924.16
380,26995.2
381,27066.24
382,27137.28
383,27208.32
384,27279.36
385,27350.4
386,27421.44
387,27492.48
388,27563.52
389,27634.56
390,27705.6
391,27776.64
392,27847.68
393,27918.72
394,27989.76
395,28060.8
396,28131.84
397,28202.88
398,28273.92
399,28344.96
400,28416
401,28487.04
402,28558.08
403,28629.12
404,28700.16
405,28771.2
406,28842.24
407,28913.28
408,28984.32
409,29055.36
410,29126.4
411,29197.44
412,29268.48
413,29339.52
414,29410.56
415,29481.6
416,29552.64
417,29623.68
418,29694.72
419,29765.76
420,29836.8
421,29907.84
422,29978.88
423,30049.92
424,30120.96
425,30192
426,30263.04
427,30334.08
428,30405.12
429,30476.16
430,30547.2
431,30618.24
432,30689.28
433,30760.32
434,30831.36
435,30902.4
436,30973.44
437,31044.48
438,31115.52
439,31186.56
440,31257.6
441,31328.64
442,31399.68
443,31470.72
444,31541.76
445,31612.8
446,31683.84
447,31754.88
448,31825.92
449,31896.96
450,31968
451,32039.04
452,32110.08
453,32181.12
454,32252.16
455,32323.2
456,32394.24
457,32465.28
458,32536.32
459,32607.36
460,32678.4
461,32749.44
462,32820.48
463,32891.52
464,32962.56
465,33033.6
466,33104.64
467,33175.68
468,33246.72
469,33317.76
470,33388.8
471,33459.84
472,33530.88
473,33601.92
474,33672.96
475,33744
476,33815.04
477,33886.08
478,33957.12
479,34028.16
480,34099.2
481,34170.24
482,34241.28
483,34312.32
484,34383.36
485,34454.4
486,34525.44
487,34596.48
488,34667.52
489,34738.56
490,34809.6
491,34880.64
492,34951.68
493,35022.72
494,35093.76
495,35164.8
496,35235.84
497,35306.88
498,35377.92
499,35448.96
500,35520
501,35591.04
502,35662.08
503,35733.12
504,35804.16
505,35875.2
506,35946.24
507,36017.28
508,36088.32
509,36159.36
510,36230.4
511,36301.44
512,36372.48
513,36443.52
514,36514.56
515,36585.6
516,36656.64
517,36727.68
518,36798.72
519,36869.76
520,36940.8
521,37011.84
522,37082.88
523,37153.92
524,37224.96
525,37296
526,37367.04
527,37438.08
528,37509.12
529,37580.16
530,37651.2
531,37722.24
532,37793.28
533,37864.32
534,37935.36
535,38006.4
536,38077.44
537,38148.48
538,38219.52
539,38290.56
540,38361.6
541,38432.64
542,38503.68
543,38574.72
544,38645.76
545,38716.8
546,38787.84
547,38858.88
548,38929.92
549,39000.96
550,39072
551,39143.04
552,39214.08
553,39285.12
554,39356.16
555,39427.2
556,39498.24
557,39569.28
558,39640.32
559,39711.36
560,39782.4
561,39853.44
562,39924.48
563,39995.52
564,40066.56
565,40137.6
566,40208.64
567,40279.68
568,40350.72
569,40421.76
570,40492.8
571,40563.84
572,40634.88
573,40705.92
574,40776.96
575,40848
576,40919.04
577,40990.08
578,41061.12
579,41132.16
580,41203.2
581,41274.24
582,41345.28
583,41416.32
584,41487.36
585,41558.4
586,41629.44
587,41700.48
588,41771.52
589,41842.56
590,41913.6
591,41984.64
592,42055.68
593,42126.72
594,42197.76
595,42268.8
596,42339.84
597,42410.88
598,42481.92
599,42552.96
600,42624
601,42695.04
602,42766.08
603,42837.12
604,42908.16
605,42979.2
606,43050.24
607,43121.28
608,43192.32
609,43263.36
610,43334.4
611,43405.44
612,43476.48
613,43547.52
614,43618.56
615,43689.6
616,43760.64
