Stackers,Operation (days/wk),Tours/Day,Operational Maintenance (hrs/yr),Total (hrs/yr)
110,5,1,277.33,1603.12
126,5,1,277.33,1632.35
142,5,1,277.33,1655.43
158,5,1,277.33,1678.49
174,5,1,277.33,1701.54
190,5,1,277.33,1730.94
206,5,1,277.33,1753.99
222,5,1,277.33,1777.07
238,5,1,277.33,1800.13
254,5,1,277.33,1829.25
270,5,1,277.33,1852.30
286,5,1,277.33,1875.37
302,5,1,277.33,1898.43
110,6,1,332.80,1869.27
126,6,1,332.80,1900.99
142,6,1,332.80,1925.30
158,6,1,332.80,1949.60
174,6,1,332.80,1973.90
190,6,1,332.80,2005.77
206,6,1,332.80,2030.07
222,6,1,332.80,2054.38
238,6,1,332.80,2078.68
254,6,1,332.80,2110.28
270,6,1,332.80,2134.57
286,6,1,332.80,2158.88
302,6,1,332.80,2183.18
110,7,1,388.27,2135.41
126,7,1,388.27,2169.63
142,7,1,388.27,2195.17
158,7,1,388.27,2220.72
174,7,1,388.27,2246.26
190,7,1,388.27,2280.60
206,7,1,388.27,2306.14
222,7,1,388.27,2331.68
238,7,1,388.27,2357.23
254,7,1,388.27,2391.30
270,7,1,388.27,2416.84
286,7,1,388.27,2442.40
302,7,1,388.27,2467.92
110,5,2,554.67,1880.46
126,5,2,554.67,1909.69
142,5,2,554.67,1932.77
158,5,2,554.67,1955.83
174,5,2,554.67,1978.88
190,5,2,554.67,2008.28
206,5,2,554.67,2031.33
222,5,2,554.67,2054.41
238,5,2,554.67,2077.47
254,5,2,554.67,2106.59
270,5,2,554.67,2129.64
286,5,2,554.67,2152.71
302,5,2,554.67,2175.77
110,6,2,665.60,2202.07
126,6,2,665.60,2233.79
142,6,2,665.60,2258.10
158,6,2,665.60,2282.40
174,6,2,665.60,2306.70
190,6,2,665.60,2338.57
206,6,2,665.60,2362.87
222,6,2,665.60,2387.18
238,6,2,665.60,2411.48
254,6,2,665.60,2443.08
270,6,2,665.60,2467.37
286,6,2,665.60,2491.68
302,6,2,665.60,2515.98
110,7,2,776.53,2523.67
126,7,2,776.53,2557.89
142,7,2,776.53,2583.43
158,7,2,776.53,2608.98
174,7,2,776.53,2634.52
190,7,2,776.53,2668.86
206,7,2,776.53,2694.40
222,7,2,776.53,2719.94
238,7,2,776.53,2745.49
254,7,2,776.53,2779.56
270,7,2,776.53,2805.10
286,7,2,776.53,2830.66
302,7,2,776.53,2856.18
110,5,3,832.00,2157.79
126,5,3,832.00,2187.02
142,5,3,832.00,2210.10
158,5,3,832.00,2233.16
174,5,3,832.00,2256.21
190,5,3,832.00,2285.61
206,5,3,832.00,2308.66
222,5,3,832.00,2331.74
238,5,3,832.00,2354.80
254,5,3,832.00,2383.92
270,5,3,832.00,2406.97
286,5,3,832.00,2430.04
302,5,3,832.00,2453.10
110,6,3,998.40,2534.87
126,6,3,998.40,2566.59
142,6,3,998.40,2590.90
158,6,3,998.40,2615.20
174,6,3,998.40,2639.50
190,6,3,998.40,2671.37
206,6,3,998.40,2695.67
222,6,3,998.40,2719.98
238,6,3,998.40,2744.28
254,6,3,998.40,2775.88
270,6,3,998.40,2800.17
286,6,3,998.40,2824.48
302,6,3,998.40,2848.78
110,7,3,1164.80,2911.94
126,7,3,1164.80,2946.16
142,7,3,1164.80,2971.70
158,7,3,1164.80,2997.25
174,7,3,1164.80,3022.79
190,7,3,1164.80,3057.13
206,7,3,1164.80,3082.67
222,7,3,1164.80,3108.21
238,7,3,1164.80,3133.76
254,7,3,1164.80,3167.83
270,7,3,1164.80,3193.37
286,7,3,1164.80,3218.93
302,7,3,1164.80,3244.45
