Machines,Total (hrs/yr)
1,59.39
2,118.78
3,178.17
4,237.56
5,296.95
6,356.34
7,415.73
8,475.12
9,534.51
10,593.9
11,653.29
12,712.68
13,772.07
14,831.46
15,890.85
16,950.24
17,1009.63
18,1069.02
19,1128.41
20,1187.8
21,1247.19
22,1306.58
23,1365.97
24,1425.36
25,1484.75
26,1544.14
27,1603.53
28,1662.92
29,1722.31
30,1781.7
31,1841.09
32,1900.48
33,1959.87
34,2019.26
35,2078.65
36,2138.04
37,2197.43
38,2256.82
39,2316.21
40,2375.6
41,2434.99
42,2494.38
43,2553.77
44,2613.16
45,2672.55
46,2731.94
47,2791.33
48,2850.72
49,2910.11
50,2969.5
51,3028.89
52,3088.28
53,3147.67
54,3207.06
55,3266.45
56,3325.84
57,3385.23
58,3444.62
59,3504.01
60,3563.4
61,3622.79
62,3682.18
63,3741.57
64,3800.96
65,3860.35
66,3919.74
67,3979.13
68,4038.52
69,4097.91
70,4157.3
71,4216.69
72,4276.08
73,4335.47
74,4394.86
75,4454.25
76,4513.64
77,4573.03
78,4632.42
79,4691.81
80,4751.2
81,4810.59
82,4869.98
83,4929.37
84,4988.76
85,5048.15
86,5107.54
87,5166.93
88,5226.32
89,5285.71
90,5345.1
91,5404.49
92,5463.88
93,5523.27
94,5582.66
95,5642.05
96,5701.44
97,5760.83
98,5820.22
99,5879.61
100,5939
101,5998.39
102,6057.78
103,6117.17
104,6176.56
105,6235.95
106,6295.34
107,6354.73
108,6414.12
109,6473.51
110,6532.9
111,6592.29
112,6651.68
113,6711.07
114,6770.46
115,6829.85
116,6889.24
117,6948.63
118,7008.02
119,7067.41
120,7126.8
121,7186.19
122,7245.58
123,7304.97
124,7364.36
125,7423.75
126,7483.14
127,7542.53
128,7601.92
129,7661.31
130,7720.7
131,7780.09
132,7839.48
133,7898.87
134,7958.26
135,8017.65
136,8077.04
137,8136.43
138,8195.82
139,8255.21
140,8314.6
141,8373.99
142,8433.38
143,8492.77
144,8552.16
145,8611.55
146,8670.94
147,8730.33
148,8789.72
149,8849.11
150,8908.5
151,8967.89
152,9027.28
153,9086.67
154,9146.06
155,9205.45
156,9264.84
157,9324.23
158,9383.62
159,9443.01
160,9502.4
161,9561.79
162,9621.18
163,9680.57
164,9739.96
165,9799.35
166,9858.74
167,9918.13
168,9977.52
169,10036.91
170,10096.3
171,10155.69
172,10215.08
173,10274.47
174,10333.86
175,10393.25
176,10452.64
177,10512.03
178,10571.42
179,10630.81
180,10690.2
181,10749.59
182,10808.98
183,10868.37
184,10927.76
185,10987.15
186,11046.54
187,11105.93
188,11165.32
189,11224.71
190,11284.1
191,11343.49
192,11402.88
193,11462.27
194,11521.66
195,11581.05
196,11640.44
197,11699.83
198,11759.22
199,11818.61
200,11878
201,11937.39
202,11996.78
203,12056.17
204,12115.56
205,12174.95
206,12234.34
207,12293.73
208,12353.12
209,12412.51
210,12471.9
211,12531.29
212,12590.68
213,12650.07
214,12709.46
215,12768.85
216,12828.24
217,12887.63
218,12947.02
219,13006.41
220,13065.8
221,13125.19
222,13184.58
223,13243.97
224,13303.36
225,13362.75
226,13422.14
227,13481.53
228,13540.92
229,13600.31
230,13659.7
231,13719.09
232,13778.48
233,13837.87
234,13897.26
235,13956.65
236,14016.04
237,14075.43
238,14134.82
239,14194.21
240,14253.6
241,14312.99
242,14372.38
243,14431.77
244,14491.16
245,14550.55
246,14609.94
247,14669.33
248,14728.72
249,14788.11
250,14847.5
251,14906.89
252,14966.28
253,15025.67
254,15085.06
255,15144.45
256,15203.84
257,15263.23
258,15322.62
259,15382.01
260,15441.4
261,15500.79
262,15560.18
263,15619.57
264,15678.96
265,15738.35
266,15797.74
267,15857.13
268,15916.52
269,15975.91
270,16035.3
271,16094.69
272,16154.08
273,16213.47
274,16272.86
275,16332.25
276,16391.64
277,16451.03
278,16510.42
279,16569.81
280,16629.2
281,16688.59
282,16747.98
283,16807.37
284,16866.76
285,16926.15
286,16985.54
287,17044.93
288,17104.32
289,17163.71
290,17223.1
291,17282.49
292,17341.88
293,17401.27
294,17460.66
295,17520.05
296,17579.44
297,17638.83
298,17698.22
299,17757.61
300,17817
301,17876.39
302,17935.78
303,17995.17
304,18054.56
305,18113.95
306,18173.34
307,18232.73
308,18292.12
309,18351.51
310,18410.9
311,18470.29
312,18529.68
313,18589.07
314,18648.46
315,18707.85
316,18767.24
317,18826.63
318,18886.02
319,18945.41
320,19004.8
321,19064.19
322,19123.58
323,19182.97
324,19242.36
325,19301.75
326,19361.14
327,19420.53
328,19479.92
329,19539.31
330,19598.7
331,19658.09
332,19717.48
333,19776.87
334,19836.26
335,19895.65
336,19955.04
337,20014.43
338,20073.82
339,20133.21
340,20192.6
341,20251.99
342,20311.38
343,20370.77
344,20430.16
345,20489.55
346,20548.94
347,20608.33
348,20667.72
349,20727.11
350,20786.5
351,20845.89
352,20905.28
353,20964.67
354,21024.06
355,21083.45
356,21142.84
357,21202.23
358,21261.62
359,21321.01
360,21380.4
361,21439.79
362,21499.18
363,21558.57
364,21617.96
365,21677.35
366,21736.74
367,21796.13
368,21855.52
369,21914.91
370,21974.3
371,22033.69
372,22093.08
373,22152.47
374,22211.86
375,22271.25
376,22330.64
377,22390.03
378,22449.42
379,22508.81
380,22568.2
381,22627.59
382,22686.98
383,22746.37
384,22805.76
385,22865.15
386,22924.54
387,22983.93
388,23043.32
389,23102.71
390,23162.1
391,23221.49
392,23280.88
393,23340.27
394,23399.66
395,23459.05
396,23518.44
397,23577.83
398,23637.22
399,23696.61
400,23756
401,23815.39
402,23874.78
403,23934.17
404,23993.56
405,24052.95
406,24112.34
407,24171.73
408,24231.12
409,24290.51
410,24349.9
411,24409.29
412,24468.68
413,24528.07
414,24587.46
415,24646.85
416,24706.24
417,24765.63
418,24825.02
419,24884.41
420,24943.8
421,25003.19
422,25062.58
423,25121.97
424,25181.36
425,25240.75
426,25300.14
427,25359.53
428,25418.92
429,25478.31
430,25537.7
431,25597.09
432,25656.48
433,25715.87
434,25775.26
435,25834.65
436,25894.04
437,25953.43
438,26012.82
439,26072.21
440,26131.6
441,26190.99
442,26250.38
443,26309.77
444,26369.16
445,26428.55
446,26487.94
447,26547.33
448,26606.72
449,26666.11
450,26725.5
451,26784.89
452,26844.28
453,26903.67
454,26963.06
455,27022.45
456,27081.84
457,27141.23
458,27200.62
459,27260.01
460,27319.4
461,27378.79
462,27438.18
463,27497.57
464,27556.96
465,27616.35
466,27675.74
467,27735.13
468,27794.52
469,27853.91
470,27913.3
471,27972.69
472,28032.08
473,28091.47
474,28150.86
475,28210.25
476,28269.64
477,28329.03
478,28388.42
479,28447.81
480,28507.2
481,28566.59
482,28625.98
483,28685.37
484,28744.76
485,28804.15
486,28863.54
487,28922.93
488,28982.32
489,29041.71
490,29101.1
491,29160.49
492,29219.88
493,29279.27
494,29338.66
495,29398.05
496,29457.44
497,29516.83
498,29576.22
499,29635.61
500,29695
501,29754.39
502,29813.78
503,29873.17
504,29932.56
505,29991.95
506,30051.34
507,30110.73
508,30170.12
509,30229.51
510,30288.9
511,30348.29
512,30407.68
513,30467.07
514,30526.46
515,30585.85
516,30645.24
517,30704.63
518,30764.02
519,30823.41
520,30882.8
521,30942.19
522,31001.58
523,31060.97
524,31120.36
525,31179.75
526,31239.14
527,31298.53
528,31357.92
529,31417.31
530,31476.7
531,31536.09
532,31595.48
533,31654.87
534,31714.26
535,31773.65
536,31833.04
537,31892.43
538,31951.82
539,32011.21
540,32070.6
541,32129.99
542,32189.38
543,32248.77
544,32308.16
545,32367.55
546,32426.94
547,32486.33
548,32545.72
549,32605.11
550,32664.5
551,32723.89
552,32783.28
553,32842.67
554,32902.06
555,32961.45
556,33020.84
557,33080.23
558,33139.62
559,33199.01
560,33258.4
561,33317.79
562,33377.18
563,33436.57
564,33495.96
565,33555.35
566,33614.74
567,33674.13
568,33733.52
569,33792.91
570,33852.3
571,33911.69
572,33971.08
573,34030.47
574,34089.86
575,34149.25
576,34208.64
577,34268.03
578,34327.42
579,34386.81
580,34446.2
581,34505.59
582,34564.98
583,34624.37
584,34683.76
585,34743.15
586,34802.54
587,34861.93
588,34921.32
589,34980.71
590,35040.1
591,35099.49
592,35158.88
593,35218.27
594,35277.66
595,35337.05
596,35396.44
597,35455.83
598,35515.22
599,35574.61
600,35634
601,35693.39
602,35752.78
603,35812.17
604,35871.56
605,35930.95
606,35990.34
607,36049.73
608,36109.12
609,36168.51
610,36227.9
611,36287.29
612,36346.68
613,36406.07
614,36465.46
615,36524.85
616,36584.24
617,36643.63
618,36703.02
619,36762.41
620,36821.8
621,36881.19
622,36940.58
623,36999.97
624,37059.36
625,37118.75
626,37178.14
627,37237.53
628,37296.92
629,37356.31
630,37415.7
631,37475.09
632,37534.48
633,37593.87
634,37653.26
635,37712.65
636,37772.04
637,37831.43
638,37890.82
639,37950.21
640,38009.6
641,38068.99
642,38128.38
643,38187.77
644,38247.16
645,38306.55
646,38365.94
