Machines,Total (hrs/yr)
1,12.08
2,24.16
3,36.24
4,48.32
5,60.4
6,72.48
7,84.56
8,96.64
9,108.72
10,120.8
11,132.88
12,144.96
13,157.04
14,169.12
15,181.2
16,193.28
17,205.36
18,217.44
19,229.52
20,241.6
21,253.68
22,265.76
23,277.84
24,289.92
25,302
26,314.08
27,326.16
28,338.24
29,350.32
30,362.4
31,374.48
32,386.56
33,398.64
34,410.72
35,422.8
36,434.88
37,446.96
38,459.04
39,471.12
40,483.2
41,495.28
42,507.36
43,519.44
44,531.52
45,543.6
46,555.68
47,567.76
48,579.84
49,591.92
50,604
51,616.08
52,628.16
53,640.24
54,652.32
55,664.4
56,676.48
57,688.56
58,700.64
59,712.72
60,724.8
61,736.88
62,748.96
63,761.04
64,773.12
65,785.2
66,797.28
67,809.36
68,821.44
69,833.52
70,845.6
71,857.68
72,869.76
73,881.84
74,893.92
75,906
76,918.08
77,930.16
78,942.24
79,954.32
80,966.4
81,978.48
82,990.56
83,1002.64
84,1014.72
85,1026.8
86,1038.88
87,1050.96
88,1063.04
89,1075.12
90,1087.2
91,1099.28
92,1111.36
93,1123.44
94,1135.52
95,1147.6
96,1159.68
97,1171.76
98,1183.84
99,1195.92
100,1208
101,1220.08
102,1232.16
103,1244.24
104,1256.32
105,1268.4
106,1280.48
107,1292.56
108,1304.64
109,1316.72
110,1328.8
111,1340.88
112,1352.96
113,1365.04
114,1377.12
115,1389.2
116,1401.28
117,1413.36
118,1425.44
119,1437.52
120,1449.6
121,1461.68
122,1473.76
123,1485.84
124,1497.92
125,1510
126,1522.08
127,1534.16
128,1546.24
129,1558.32
130,1570.4
131,1582.48
132,1594.56
133,1606.64
134,1618.72
135,1630.8
136,1642.88
137,1654.96
138,1667.04
139,1679.12
140,1691.2
141,1703.28
142,1715.36
143,1727.44
144,1739.52
145,1751.6
146,1763.68
147,1775.76
148,1787.84
149,1799.92
150,1812
151,1824.08
152,1836.16
153,1848.24
154,1860.32
155,1872.4
156,1884.48
157,1896.56
158,1908.64
159,1920.72
160,1932.8
161,1944.88
162,1956.96
163,1969.04
164,1981.12
165,1993.2
166,2005.28
167,2017.36
168,2029.44
169,2041.52
170,2053.6
171,2065.68
172,2077.76
173,2089.84
174,2101.92
175,2114
176,2126.08
177,2138.16
178,2150.24
179,2162.32
180,2174.4
181,2186.48
182,2198.56
183,2210.64
184,2222.72
185,2234.8
186,2246.88
187,2258.96
188,2271.04
189,2283.12
190,2295.2
191,2307.28
192,2319.36
193,2331.44
194,2343.52
195,2355.6
196,2367.68
197,2379.76
198,2391.84
199,2403.92
200,2416
201,2428.08
202,2440.16
203,2452.24
204,2464.32
205,2476.4
206,2488.48
207,2500.56
208,2512.64
209,2524.72
210,2536.8
211,2548.88
212,2560.96
213,2573.04
214,2585.12
215,2597.2
216,2609.28
217,2621.36
218,2633.44
219,2645.52
220,2657.6
221,2669.68
222,2681.76
223,2693.84
224,2705.92
225,2718
226,2730.08
227,2742.16
228,2754.24
229,2766.32
230,2778.4
231,2790.48
232,2802.56
233,2814.64
234,2826.72
235,2838.8
236,2850.88
237,2862.96
238,2875.04
239,2887.12
240,2899.2
241,2911.28
242,2923.36
243,2935.44
244,2947.52
245,2959.6
246,2971.68
247,2983.76
248,2995.84
249,3007.92
250,3020
251,3032.08
252,3044.16
253,3056.24
254,3068.32
255,3080.4
256,3092.48
257,3104.56
258,3116.64
259,3128.72
260,3140.8
261,3152.88
262,3164.96
263,3177.04
264,3189.12
265,3201.2
266,3213.28
267,3225.36
268,3237.44
269,3249.52
270,3261.6
271,3273.68
272,3285.76
273,3297.84
274,3309.92
275,3322
276,3334.08
277,3346.16
278,3358.24
279,3370.32
280,3382.4
281,3394.48
282,3406.56
283,3418.64
284,3430.72
285,3442.8
286,3454.88
287,3466.96
288,3479.04
289,3491.12
290,3503.2
291,3515.28
292,3527.36
293,3539.44
294,3551.52
295,3563.6
296,3575.68
297,3587.76
298,3599.84
299,3611.92
300,3624
301,3636.08
302,3648.16
303,3660.24
304,3672.32
305,3684.4
306,3696.48
307,3708.56
308,3720.64
309,3732.72
310,3744.8
311,3756.88
312,3768.96
313,3781.04
314,3793.12
315,3805.2
316,3817.28
317,3829.36
318,3841.44
319,3853.52
320,3865.6
321,3877.68
322,3889.76
323,3901.84
324,3913.92
325,3926
326,3938.08
327,3950.16
328,3962.24
329,3974.32
330,3986.4
331,3998.48
332,4010.56
333,4022.64
334,4034.72
335,4046.8
336,4058.88
337,4070.96
338,4083.04
339,4095.12
340,4107.2
341,4119.28
342,4131.36
343,4143.44
344,4155.52
345,4167.6
346,4179.68
347,4191.76
348,4203.84
349,4215.92
350,4228
351,4240.08
352,4252.16
353,4264.24
354,4276.32
355,4288.4
356,4300.48
357,4312.56
358,4324.64
359,4336.72
360,4348.8
361,4360.88
362,4372.96
363,4385.04
364,4397.12
365,4409.2
366,4421.28
367,4433.36
368,4445.44
369,4457.52
370,4469.6
371,4481.68
372,4493.76
373,4505.84
374,4517.92
375,4530
376,4542.08
377,4554.16
378,4566.24
379,4578.32
380,4590.4
381,4602.48
382,4614.56
383,4626.64
384,4638.72
385,4650.8
386,4662.88
387,4674.96
388,4687.04
389,4699.12
390,4711.2
391,4723.28
392,4735.36
393,4747.44
394,4759.52
395,4771.6
396,4783.68
397,4795.76
398,4807.84
399,4819.92
400,4832
401,4844.08
402,4856.16
403,4868.24
404,4880.32
405,4892.4
406,4904.48
407,4916.56
408,4928.64
409,4940.72
410,4952.8
411,4964.88
412,4976.96
413,4989.04
414,5001.12
415,5013.2
416,5025.28
417,5037.36
418,5049.44
419,5061.52
420,5073.6
421,5085.68
422,5097.76
423,5109.84
424,5121.92
425,5134
426,5146.08
427,5158.16
428,5170.24
429,5182.32
430,5194.4
431,5206.48
432,5218.56
433,5230.64
434,5242.72
435,5254.8
436,5266.88
437,5278.96
438,5291.04
439,5303.12
440,5315.2
441,5327.28
442,5339.36
443,5351.44
444,5363.52
445,5375.6
446,5387.68
447,5399.76
448,5411.84
449,5423.92
450,5436
451,5448.08
452,5460.16
453,5472.24
454,5484.32
455,5496.4
456,5508.48
457,5520.56
458,5532.64
459,5544.72
460,5556.8
461,5568.88
462,5580.96
463,5593.04
464,5605.12
465,5617.2
466,5629.28
467,5641.36
468,5653.44
469,5665.52
470,5677.6
471,5689.68
472,5701.76
473,5713.84
474,5725.92
475,5738
476,5750.08
477,5762.16
478,5774.24
479,5786.32
480,5798.4
481,5810.48
482,5822.56
483,5834.64
484,5846.72
485,5858.8
486,5870.88
487,5882.96
488,5895.04
489,5907.12
490,5919.2
491,5931.28
492,5943.36
493,5955.44
494,5967.52
495,5979.6
496,5991.68
497,6003.76
498,6015.84
499,6027.92
500,6040
501,6052.08
502,6064.16
503,6076.24
504,6088.32
505,6100.4
506,6112.48
507,6124.56
508,6136.64
509,6148.72
510,6160.8
511,6172.88
512,6184.96
513,6197.04
514,6209.12
515,6221.2
516,6233.28
517,6245.36
518,6257.44
519,6269.52
520,6281.6
521,6293.68
522,6305.76
523,6317.84
524,6329.92
525,6342
526,6354.08
527,6366.16
528,6378.24
529,6390.32
530,6402.4
531,6414.48
532,6426.56
533,6438.64
534,6450.72
535,6462.8
536,6474.88
537,6486.96
538,6499.04
539,6511.12
540,6523.2
541,6535.28
542,6547.36
543,6559.44
544,6571.52
545,6583.6
546,6595.68
547,6607.76
548,6619.84
549,6631.92
550,6644
551,6656.08
552,6668.16
553,6680.24
554,6692.32
555,6704.4
556,6716.48
557,6728.56
558,6740.64
559,6752.72
560,6764.8
561,6776.88
562,6788.96
563,6801.04
564,6813.12
565,6825.2
566,6837.28
567,6849.36
568,6861.44
569,6873.52
570,6885.6
571,6897.68
572,6909.76
573,6921.84
574,6933.92
575,6946
576,6958.08
577,6970.16
578,6982.24
579,6994.32
580,7006.4
581,7018.48
582,7030.56
583,7042.64
584,7054.72
585,7066.8
586,7078.88
587,7090.96
588,7103.04
589,7115.12
590,7127.2
591,7139.28
592,7151.36
593,7163.44
594,7175.52
595,7187.6
596,7199.68
597,7211.76
598,7223.84
599,7235.92
600,7248
601,7260.08
602,7272.16
603,7284.24
604,7296.32
605,7308.4
606,7320.48
607,7332.56
608,7344.64
609,7356.72
610,7368.8
611,7380.88
612,7392.96
613,7405.04
614,7417.12
615,7429.2
616,7441.28
617,7453.36
618,7465.44
619,7477.52
620,7489.6
621,7501.68
622,7513.76
623,7525.84
624,7537.92
625,7550
626,7562.08
627,7574.16
628,7586.24
629,7598.32
630,7610.4
631,7622.48
632,7634.56
633,7646.64
634,7658.72
635,7670.8
636,7682.88
637,7694.96
638,7707.04
639,7719.12
640,7731.2
641,7743.28
642,7755.36
643,7767.44
644,7779.52
645,7791.6
646,7803.68
647,7815.76
648,7827.84
649,7839.92
650,7852
651,7864.08
652,7876.16
653,7888.24
654,7900.32
655,7912.4
656,7924.48
657,7936.56
658,7948.64
659,7960.72
660,7972.8
