Machines,Total (hrs/yr)
1,64.4
2,128.8
3,193.2
4,257.6
5,322
6,386.4
7,450.8
8,515.2
9,579.6
10,644
11,708.4
12,772.8
13,837.2
14,901.6
15,966
16,1030.4
17,1094.8
18,1159.2
19,1223.6
20,1288
21,1352.4
22,1416.8
23,1481.2
24,1545.6
25,1610
26,1674.4
27,1738.8
28,1803.2
29,1867.6
30,1932
31,1996.4
32,2060.8
33,2125.2
34,2189.6
35,2254
36,2318.4
37,2382.8
38,2447.2
39,2511.6
40,2576
41,2640.4
42,2704.8
43,2769.2
44,2833.6
45,2898
46,2962.4
47,3026.8
48,3091.2
49,3155.6
50,3220
51,3284.4
52,3348.8
53,3413.2
54,3477.6
55,3542
56,3606.4
57,3670.8
58,3735.2
59,3799.6
60,3864
61,3928.4
62,3992.8
63,4057.2
64,4121.6
65,4186
66,4250.4
67,4314.8
68,4379.2
69,4443.6
70,4508
71,4572.4
72,4636.8
73,4701.2
74,4765.6
75,4830
76,4894.4
77,4958.8
78,5023.2
79,5087.6
80,5152
81,5216.4
82,5280.8
83,5345.2
84,5409.6
85,5474
86,5538.4
87,5602.8
88,5667.2
89,5731.6
90,5796
91,5860.4
92,5924.8
93,5989.2
94,6053.6
95,6118
96,6182.4
97,6246.8
98,6311.2
99,6375.6
100,6440
101,6504.4
102,6568.8
103,6633.2
104,6697.6
105,6762
106,6826.4
107,6890.8
108,6955.2
109,7019.6
110,7084
111,7148.4
112,7212.8
113,7277.2
114,7341.6
115,7406
116,7470.4
117,7534.8
118,7599.2
119,7663.6
120,7728
121,7792.4
122,7856.8
123,7921.2
124,7985.6
125,8050
126,8114.4
127,8178.8
128,8243.2
129,8307.6
130,8372
131,8436.4
132,8500.8
133,8565.2
134,8629.6
135,8694
136,8758.4
137,8822.8
138,8887.2
139,8951.6
140,9016
141,9080.4
142,9144.8
143,9209.2
144,9273.6
145,9338
146,9402.4
147,9466.8
148,9531.2
149,9595.6
150,9660
151,9724.4
152,9788.8
153,9853.2
154,9917.6
155,9982
156,10046.4
157,10110.8
158,10175.2
159,10239.6
160,10304
161,10368.4
162,10432.8
163,10497.2
164,10561.6
165,10626
166,10690.4
167,10754.8
168,10819.2
169,10883.6
170,10948
171,11012.4
172,11076.8
173,11141.2
174,11205.6
175,11270
176,11334.4
177,11398.8
178,11463.2
179,11527.6
180,11592
181,11656.4
182,11720.8
183,11785.2
184,11849.6
185,11914
186,11978.4
187,12042.8
188,12107.2
189,12171.6
190,12236
191,12300.4
192,12364.8
193,12429.2
194,12493.6
195,12558
196,12622.4
197,12686.8
198,12751.2
199,12815.6
200,12880
201,12944.4
202,13008.8
203,13073.2
204,13137.6
205,13202
206,13266.4
207,13330.8
208,13395.2
209,13459.6
210,13524
211,13588.4
212,13652.8
213,13717.2
214,13781.6
215,13846
216,13910.4
217,13974.8
218,14039.2
219,14103.6
220,14168
221,14232.4
222,14296.8
223,14361.2
224,14425.6
225,14490
226,14554.4
227,14618.8
228,14683.2
229,14747.6
230,14812
231,14876.4
232,14940.8
233,15005.2
234,15069.6
235,15134
236,15198.4
237,15262.8
238,15327.2
239,15391.6
240,15456
241,15520.4
242,15584.8
243,15649.2
244,15713.6
245,15778
246,15842.4
247,15906.8
248,15971.2
249,16035.6
250,16100
251,16164.4
252,16228.8
253,16293.2
254,16357.6
255,16422
256,16486.4
257,16550.8
258,16615.2
259,16679.6
260,16744
261,16808.4
262,16872.8
263,16937.2
264,17001.6
265,17066
266,17130.4
267,17194.8
268,17259.2
269,17323.6
270,17388
271,17452.4
272,17516.8
273,17581.2
274,17645.6
275,17710
276,17774.4
277,17838.8
278,17903.2
279,17967.6
280,18032
281,18096.4
282,18160.8
283,18225.2
284,18289.6
285,18354
286,18418.4
287,18482.8
288,18547.2
289,18611.6
290,18676
291,18740.4
292,18804.8
293,18869.2
294,18933.6
295,18998
296,19062.4
297,19126.8
298,19191.2
299,19255.6
300,19320
301,19384.4
302,19448.8
303,19513.2
304,19577.6
305,19642
306,19706.4
307,19770.8
308,19835.2
309,19899.6
310,19964
311,20028.4
312,20092.8
313,20157.2
314,20221.6
315,20286
316,20350.4
317,20414.8
318,20479.2
319,20543.6
320,20608
321,20672.4
322,20736.8
323,20801.2
324,20865.6
325,20930
326,20994.4
327,21058.8
328,21123.2
329,21187.6
330,21252
331,21316.4
332,21380.8
333,21445.2
334,21509.6
335,21574
336,21638.4
337,21702.8
338,21767.2
339,21831.6
340,21896
341,21960.4
342,22024.8
343,22089.2
344,22153.6
345,22218
346,22282.4
347,22346.8
348,22411.2
349,22475.6
350,22540
351,22604.4
352,22668.8
353,22733.2
354,22797.6
355,22862
356,22926.4
357,22990.8
358,23055.2
359,23119.6
360,23184
361,23248.4
362,23312.8
363,23377.2
364,23441.6
365,23506
366,23570.4
367,23634.8
368,23699.2
369,23763.6
370,23828
371,23892.4
372,23956.8
373,24021.2
374,24085.6
375,24150
376,24214.4
377,24278.8
378,24343.2
379,24407.6
380,24472
381,24536.4
382,24600.8
383,24665.2
384,24729.6
385,24794
386,24858.4
387,24922.8
388,24987.2
389,25051.6
390,25116
391,25180.4
392,25244.8
393,25309.2
394,25373.6
395,25438
396,25502.4
397,25566.8
398,25631.2
399,25695.6
400,25760
401,25824.4
402,25888.8
403,25953.2
404,26017.6
405,26082
406,26146.4
407,26210.8
408,26275.2
409,26339.6
410,26404
411,26468.4
412,26532.8
413,26597.2
414,26661.6
415,26726
416,26790.4
417,26854.8
418,26919.2
419,26983.6
420,27048
421,27112.4
422,27176.8
423,27241.2
424,27305.6
425,27370
426,27434.4
427,27498.8
428,27563.2
429,27627.6
430,27692
431,27756.4
432,27820.8
433,27885.2
434,27949.6
435,28014
436,28078.4
437,28142.8
438,28207.2
439,28271.6
440,28336
441,28400.4
442,28464.8
443,28529.2
444,28593.6
445,28658
446,28722.4
447,28786.8
448,28851.2
449,28915.6
450,28980
451,29044.4
452,29108.8
453,29173.2
454,29237.6
455,29302
456,29366.4
457,29430.8
458,29495.2
459,29559.6
460,29624
461,29688.4
462,29752.8
463,29817.2
464,29881.6
465,29946
466,30010.4
467,30074.8
468,30139.2
469,30203.6
470,30268
471,30332.4
472,30396.8
473,30461.2
474,30525.6
475,30590
476,30654.4
477,30718.8
478,30783.2
479,30847.6
480,30912
481,30976.4
482,31040.8
483,31105.2
484,31169.6
485,31234
486,31298.4
487,31362.8
488,31427.2
489,31491.6
490,31556
491,31620.4
492,31684.8
493,31749.2
494,31813.6
495,31878
496,31942.4
497,32006.8
498,32071.2
499,32135.6
500,32200
501,32264.4
502,32328.8
503,32393.2
504,32457.6
505,32522
506,32586.4
507,32650.8
508,32715.2
509,32779.6
510,32844
511,32908.4
512,32972.8
513,33037.2
514,33101.6
515,33166
516,33230.4
517,33294.8
518,33359.2
519,33423.6
520,33488
521,33552.4
522,33616.8
523,33681.2
524,33745.6
525,33810
526,33874.4
527,33938.8
528,34003.2
529,34067.6
530,34132
531,34196.4
532,34260.8
533,34325.2
534,34389.6
535,34454
536,34518.4
537,34582.8
538,34647.2
539,34711.6
540,34776
541,34840.4
542,34904.8
543,34969.2
544,35033.6
545,35098
546,35162.4
547,35226.8
548,35291.2
549,35355.6
550,35420
551,35484.4
552,35548.8
553,35613.2
554,35677.6
555,35742
556,35806.4
557,35870.8
558,35935.2
559,35999.6
560,36064
561,36128.4
562,36192.8
563,36257.2
564,36321.6
565,36386
566,36450.4
567,36514.8
568,36579.2
569,36643.6
570,36708
571,36772.4
572,36836.8
573,36901.2
574,36965.6
575,37030
576,37094.4
577,37158.8
578,37223.2
579,37287.6
580,37352
581,37416.4
582,37480.8
583,37545.2
584,37609.6
585,37674
586,37738.4
587,37802.8
588,37867.2
589,37931.6
590,37996
591,38060.4
592,38124.8
593,38189.2
594,38253.6
595,38318
596,38382.4
597,38446.8
598,38511.2
599,38575.6
600,38640
601,38704.4
602,38768.8
603,38833.2
604,38897.6
605,38962
606,39026.4
607,39090.8
608,39155.2
609,39219.6
610,39284
611,39348.4
612,39412.8
613,39477.2
614,39541.6
615,39606
616,39670.4
617,39734.8
618,39799.2
619,39863.6
620,39928
621,39992.4
622,40056.8
623,40121.2
624,40185.6
625,40250
626,40314.4
627,40378.8
628,40443.2
629,40507.6
630,40572
631,40636.4
632,40700.8
633,40765.2
634,40829.6
635,40894
636,40958.4
637,41022.8
638,41087.2
639,41151.6
640,41216
641,41280.4
642,41344.8
643,41409.2
644,41473.6
645,41538
646,41602.4
647,41666.8
648,41731.2
649,41795.6
650,41860
651,41924.4
652,41988.8
653,42053.2
654,42117.6
655,42182
656,42246.4
657,42310.8
658,42375.2
659,42439.6
660,42504
661,42568.4
662,42632.8
663,42697.2
664,42761.6
665,42826
666,42890.4
667,42954.8
668,43019.2
669,43083.6
670,43148
671,43212.4
672,43276.8
673,43341.2
674,43405.6
675,43470
676,43534.4
677,43598.8
678,43663.2
679,43727.6
680,43792
681,43856.4
682,43920.8
683,43985.2
684,44049.6
685,44114
686,44178.4
687,44242.8
688,44307.2
689,44371.6
690,44436
691,44500.4
692,44564.8
693,44629.2
694,44693.6
695,44758
696,44822.4
697,44886.8
698,44951.2
699,45015.6
700,45080
701,45144.4
702,45208.8
703,45273.2
704,45337.6
705,45402
706,45466.4
707,45530.8
708,45595.2
709,45659.6
710,45724
711,45788.4
712,45852.8
713,45917.2
714,45981.6
715,46046
716,46110.4
717,46174.8
718,46239.2
719,46303.6
720,46368
721,46432.4
722,46496.8
723,46561.2
724,46625.6
725,46690
726,46754.4
727,46818.8
728,46883.2
729,46947.6
730,47012
731,47076.4
732,47140.8
733,47205.2
734,47269.6
735,47334
736,47398.4
737,47462.8
738,47527.2
739,47591.6
740,47656
741,47720.4
742,47784.8
743,47849.2
744,47913.6
745,47978
746,48042.4
747,48106.8
748,48171.2
749,48235.6
750,48300
751,48364.4
752,48428.8
753,48493.2
754,48557.6
755,48622
756,48686.4
757,48750.8
758,48815.2
759,48879.6
760,48944
761,49008.4
762,49072.8
763,49137.2
764,49201.6
765,49266
766,49330.4
767,49394.8
