Machines,Total (hrs/yr)
1,5.1
2,10.2
3,15.3
4,20.4
5,25.5
6,30.6
7,35.7
8,40.8
9,45.9
10,51
11,56.1
12,61.2
13,66.3
14,71.4
15,76.5
16,81.6
17,86.7
18,91.8
19,96.9
20,102
21,107.1
22,112.2
23,117.3
24,122.4
25,127.5
26,132.6
27,137.7
28,142.8
29,147.9
30,153
31,158.1
32,163.2
33,168.3
34,173.4
35,178.5
36,183.6
37,188.7
38,193.8
39,198.9
40,204
41,209.1
42,214.2
43,219.3
44,224.4
45,229.5
46,234.6
47,239.7
48,244.8
49,249.9
50,255
51,260.1
52,265.2
53,270.3
54,275.4
55,280.5
56,285.6
57,290.7
58,295.8
59,300.9
60,306
61,311.1
62,316.2
63,321.3
64,326.4
65,331.5
66,336.6
67,341.7
68,346.8
69,351.9
70,357
71,362.1
72,367.2
73,372.3
74,377.4
75,382.5
76,387.6
77,392.7
78,397.8
79,402.9
80,408
81,413.1
82,418.2
83,423.3
84,428.4
85,433.5
86,438.6
87,443.7
88,448.8
89,453.9
90,459
91,464.1
92,469.2
93,474.3
94,479.4
95,484.5
96,489.6
97,494.7
98,499.8
99,504.9
100,510
101,515.1
102,520.2
103,525.3
104,530.4
105,535.5
106,540.6
107,545.7
108,550.8
109,555.9
110,561
111,566.1
112,571.2
113,576.3
114,581.4
115,586.5
116,591.6
117,596.7
118,601.8
119,606.9
120,612
121,617.1
122,622.2
123,627.3
124,632.4
125,637.5
126,642.6
127,647.7
128,652.8
129,657.9
130,663
131,668.1
132,673.2
133,678.3
134,683.4
135,688.5
136,693.6
137,698.7
138,703.8
139,708.9
140,714
141,719.1
142,724.2
143,729.3
144,734.4
145,739.5
146,744.6
147,749.7
148,754.8
149,759.9
150,765
151,770.1
152,775.2
153,780.3
154,785.4
155,790.5
156,795.6
157,800.7
158,805.8
159,810.9
160,816
161,821.1
162,826.2
163,831.3
164,836.4
165,841.5
166,846.6
167,851.7
168,856.8
169,861.9
170,867
171,872.1
172,877.2
173,882.3
174,887.4
175,892.5
176,897.6
177,902.7
178,907.8
179,912.9
180,918
181,923.1
182,928.2
183,933.3
184,938.4
185,943.5
