Stackers,Operation (days/wk),Tours/Day,Operational Maintenance (hrs/yr),Total (hrs/yr)
110,5,1,277.33,1571.19
126,5,1,277.33,1600.42
142,5,1,277.33,1623.49
158,5,1,277.33,1646.58
174,5,1,277.33,1669.61
190,5,1,277.33,1699.00
206,5,1,277.33,1722.08
222,5,1,277.33,1745.13
238,5,1,277.33,1768.18
254,5,1,277.33,1797.33
270,5,1,277.33,1820.36
286,5,1,277.33,1843.43
302,5,1,277.33,1866.52
110,6,1,332.80,1831.15
126,6,1,332.80,1862.86
142,6,1,332.80,1887.17
158,6,1,332.80,1911.49
174,6,1,332.80,1935.76
190,6,1,332.80,1967.63
206,6,1,332.80,1991.96
222,6,1,332.80,2016.24
238,6,1,332.80,2040.54
254,6,1,332.80,2072.16
270,6,1,332.80,2096.43
286,6,1,332.80,2120.74
302,6,1,332.80,2145.07
110,7,1,388.27,2091.11
126,7,1,388.27,2125.29
142,7,1,388.27,2150.84
158,7,1,388.27,2176.40
174,7,1,388.27,2201.91
190,7,1,388.27,2236.27
206,7,1,388.27,2261.83
222,7,1,388.27,2287.35
238,7,1,388.27,2312.89
254,7,1,388.27,2346.99
270,7,1,388.27,2372.50
286,7,1,388.27,2398.04
302,7,1,388.27,2423.62
110,5,2,554.67,1848.53
126,5,2,554.67,1877.76
142,5,2,554.67,1900.83
158,5,2,554.67,1923.92
174,5,2,554.67,1946.94
190,5,2,554.67,1976.34
206,5,2,554.67,1999.42
222,5,2,554.67,2022.47
238,5,2,554.67,2045.52
254,5,2,554.67,2074.67
270,5,2,554.67,2097.70
286,5,2,554.67,2120.77
302,5,2,554.67,2143.86
110,6,2,665.60,2163.95
126,6,2,665.60,2195.66
142,6,2,665.60,2219.97
158,6,2,665.60,2244.29
174,6,2,665.60,2268.56
190,6,2,665.60,2300.43
206,6,2,665.60,2324.76
222,6,2,665.60,2349.04
238,6,2,665.60,2373.34
254,6,2,665.60,2404.96
270,6,2,665.60,2429.23
286,6,2,665.60,2453.54
302,6,2,665.60,2477.87
110,7,2,776.53,2479.38
126,7,2,776.53,2513.55
142,7,2,776.53,2539.11
158,7,2,776.53,2564.67
174,7,2,776.53,2590.18
190,7,2,776.53,2624.53
206,7,2,776.53,2650.10
222,7,2,776.53,2675.62
238,7,2,776.53,2701.16
254,7,2,776.53,2735.26
270,7,2,776.53,2760.77
286,7,2,776.53,2786.31
302,7,2,776.53,2811.89
110,5,3,832.00,2125.86
126,5,3,832.00,2155.09
142,5,3,832.00,2178.16
158,5,3,832.00,2201.25
174,5,3,832.00,2224.27
190,5,3,832.00,2253.67
206,5,3,832.00,2276.75
222,5,3,832.00,2299.80
238,5,3,832.00,2322.85
254,5,3,832.00,2352.00
270,5,3,832.00,2375.03
286,5,3,832.00,2398.10
302,5,3,832.00,2421.19
110,6,3,998.40,2496.75
126,6,3,998.40,2528.46
142,6,3,998.40,2552.77
158,6,3,998.40,2577.09
174,6,3,998.40,2601.36
190,6,3,998.40,2633.23
206,6,3,998.40,2657.56
222,6,3,998.40,2681.84
238,6,3,998.40,2706.14
254,6,3,998.40,2737.77
270,6,3,998.40,2762.03
286,6,3,998.40,2786.34
302,6,3,998.40,2810.67
110,7,3,1164.80,2867.64
126,7,3,1164.80,2901.82
142,7,3,1164.80,2927.37
158,7,3,1164.80,2952.94
174,7,3,1164.80,2978.45
190,7,3,1164.80,3012.80
206,7,3,1164.80,3038.36
222,7,3,1164.80,3063.88
238,7,3,1164.80,3089.43
254,7,3,1164.80,3123.53
270,7,3,1164.80,3149.04
286,7,3,1164.80,3174.58
302,7,3,1164.80,3200.15
