Stackers,Operation (days/wk),Tours/Day,Operational Maintenance (hrs/yr),Total (hrs/yr)
110,5,1,234.14,973.54
126,5,1,234.14,963.14
142,5,1,234.14,974.10
158,5,1,234.14,996.19
174,5,1,234.14,1016.90
190,5,1,234.14,1037.35
206,5,1,234.14,1058.31
222,5,1,234.14,1079.37
238,5,1,234.14,1096.95
254,5,1,234.14,1121.30
270,5,1,234.14,1142.25
286,5,1,234.14,1163.50
302,5,1,234.14,1184.21
110,6,1,280.98,1083.76
126,6,1,280.98,1090.99
142,6,1,280.98,1121.30
158,6,1,280.98,1144.15
174,6,1,280.98,1166.33
190,6,1,280.98,1188.78
206,6,1,280.98,2443.09
222,6,1,280.98,2495.40
238,6,1,280.98,2482.84
254,6,1,280.98,2518.65
270,6,1,280.98,2541.50
286,6,1,280.98,2564.20
302,6,1,280.98,2589.94
110,7,1,327.81,2618.22
126,7,1,327.81,2650.77
142,7,1,327.81,2674.82
158,7,1,327.81,2698.73
174,7,1,327.81,2722.05
190,7,1,327.81,2745.47
206,7,1,327.81,2770.33
222,7,1,327.81,2803.30
238,7,1,327.81,2825.02
254,7,1,327.81,2859.60
270,7,1,327.81,2883.49
286,7,1,327.81,2907.73
302,7,1,327.81,2931.25
110,5,2,359.82,1137.88
126,5,2,359.82,1152.49
142,5,2,359.82,1173.44
158,5,2,359.82,1194.64
174,5,2,359.82,1216.50
190,5,2,359.82,1239.09
206,5,2,359.82,1257.65
222,5,2,359.82,1278.71
238,5,2,359.82,1296.93
254,5,2,359.82,1320.64
270,5,2,359.82,1341.59
286,5,2,359.82,1362.84
302,5,2,359.82,1383.55
110,6,2,431.79,1232.99
126,6,2,431.79,1338.76
142,6,2,431.79,1361.00
158,6,2,431.79,1383.83
174,6,2,431.79,1405.52
190,6,2,431.79,1427.96
206,6,2,431.79,2844.05
222,6,2,431.79,2896.50
238,6,2,431.79,2883.24
254,6,2,431.79,2919.35
270,6,2,431.79,2941.90
286,6,2,431.79,2964.60
302,6,2,431.79,2987.51
110,7,2,503.76,3006.39
126,7,2,503.76,3118.11
142,7,2,503.76,3141.96
158,7,2,503.76,3166.90
174,7,2,503.76,3189.80
190,7,2,503.76,3222.61
206,7,2,503.76,3246.47
222,7,2,503.76,3270.44
238,7,2,503.76,3288.13
254,7,2,503.76,3328.74
270,7,2,503.76,3350.60
286,7,2,503.76,3373.68
302,7,2,503.76,3396.89
110,5,3,485.50,1337.21
126,5,3,485.50,1351.81
142,5,3,485.50,1372.77
158,5,3,485.50,1393.96
174,5,3,485.50,1415.83
190,5,3,485.50,1438.02
206,5,3,485.50,1459.08
222,5,3,485.50,1478.04
238,5,3,485.50,1493.38
254,5,3,485.50,1519.97
270,5,3,485.50,1540.92
286,5,3,485.50,1562.17
302,5,3,485.50,1582.87
110,6,3,582.60,1622.18
126,6,3,582.60,1677.09
142,6,3,582.60,1690.20
158,6,3,582.60,1622.82
174,6,3,582.60,1644.72
190,6,3,582.60,1667.16
206,6,3,582.60,3244.49
222,6,3,582.60,3297.20
238,6,3,582.60,3283.94
254,6,3,582.60,3319.79
270,6,3,582.60,3342.30
286,6,3,582.60,3365.00
302,6,3,582.60,3387.71
110,7,3,679.71,3395.49
126,7,3,679.71,3585.24
142,7,3,679.71,3609.00
158,7,3,679.71,3633.03
174,7,3,679.71,3656.93
190,7,3,679.71,3689.74
206,7,3,679.71,3713.90
222,7,3,679.71,3737.57
238,7,3,679.71,3755.20
254,7,3,679.71,3793.87
270,7,3,679.71,3817.73
286,7,3,679.71,3841.99
302,7,3,679.71,3865.52
