Machines,Total (hrs/yr)
1,37.24
2,74.48
3,111.72
4,148.96
5,186.2
6,223.44
7,260.68
8,297.92
9,335.16
10,372.4
11,409.64
12,446.88
13,484.12
14,521.36
15,558.6
16,595.84
17,633.08
18,670.32
19,707.56
20,744.8
21,782.04
22,819.28
23,856.52
24,893.76
25,931
26,968.24
27,1005.48
28,1042.72
29,1079.96
30,1117.2
31,1154.44
32,1191.68
33,1228.92
34,1266.16
35,1303.4
36,1340.64
37,1377.88
38,1415.12
39,1452.36
40,1489.6
41,1526.84
42,1564.08
43,1601.32
44,1638.56
45,1675.8
46,1713.04
47,1750.28
48,1787.52
49,1824.76
50,1862
51,1899.24
52,1936.48
53,1973.72
54,2010.96
55,2048.2
56,2085.44
57,2122.68
58,2159.92
59,2197.16
60,2234.4
61,2271.64
62,2308.88
63,2346.12
64,2383.36
65,2420.6
66,2457.84
67,2495.08
68,2532.32
69,2569.56
70,2606.8
71,2644.04
72,2681.28
73,2718.52
74,2755.76
75,2793
76,2830.24
77,2867.48
78,2904.72
79,2941.96
80,2979.2
81,3016.44
82,3053.68
83,3090.92
84,3128.16
85,3165.4
86,3202.64
87,3239.88
88,3277.12
89,3314.36
90,3351.6
91,3388.84
92,3426.08
93,3463.32
94,3500.56
95,3537.8
96,3575.04
97,3612.28
98,3649.52
99,3686.76
100,3724
101,3761.24
102,3798.48
103,3835.72
104,3872.96
105,3910.2
106,3947.44
107,3984.68
108,4021.92
109,4059.16
110,4096.4
111,4133.64
112,4170.88
113,4208.12
114,4245.36
115,4282.6
116,4319.84
117,4357.08
118,4394.32
119,4431.56
120,4468.8
121,4506.04
122,4543.28
123,4580.52
124,4617.76
125,4655
126,4692.24
127,4729.48
128,4766.72
129,4803.96
130,4841.2
131,4878.44
132,4915.68
133,4952.92
134,4990.16
135,5027.4
136,5064.64
137,5101.88
138,5139.12
139,5176.36
140,5213.6
141,5250.84
142,5288.08
143,5325.32
144,5362.56
145,5399.8
146,5437.04
147,5474.28
148,5511.52
149,5548.76
150,5586
151,5623.24
152,5660.48
153,5697.72
154,5734.96
155,5772.2
156,5809.44
157,5846.68
158,5883.92
159,5921.16
160,5958.4
161,5995.64
162,6032.88
163,6070.12
164,6107.36
165,6144.6
166,6181.84
167,6219.08
168,6256.32
169,6293.56
170,6330.8
171,6368.04
172,6405.28
173,6442.52
174,6479.76
175,6517
176,6554.24
177,6591.48
178,6628.72
179,6665.96
180,6703.2
181,6740.44
182,6777.68
183,6814.92
184,6852.16
185,6889.4
186,6926.64
187,6963.88
188,7001.12
189,7038.36
190,7075.6
191,7112.84
192,7150.08
193,7187.32
194,7224.56
195,7261.8
196,7299.04
197,7336.28
198,7373.52
199,7410.76
200,7448
201,7485.24
202,7522.48
203,7559.72
204,7596.96
205,7634.2
206,7671.44
207,7708.68
208,7745.92
209,7783.16
210,7820.4
211,7857.64
212,7894.88
213,7932.12
214,7969.36
215,8006.6
216,8043.84
217,8081.08
218,8118.32
219,8155.56
220,8192.8
221,8230.04
222,8267.28
223,8304.52
224,8341.76
225,8379
