Machines,Total (hrs/yr)
1,39.44
2,78.88
3,118.32
4,157.76
5,197.2
6,236.64
7,276.08
8,315.52
9,354.96
10,394.4
11,433.84
12,473.28
13,512.72
14,552.16
15,591.6
16,631.04
17,670.48
18,709.92
19,749.36
20,788.8
21,828.24
22,867.68
23,907.12
24,946.56
25,986
26,1025.44
27,1064.88
28,1104.32
29,1143.76
30,1183.2
31,1222.64
32,1262.08
33,1301.52
34,1340.96
35,1380.4
36,1419.84
37,1459.28
38,1498.72
39,1538.16
40,1577.6
41,1617.04
42,1656.48
43,1695.92
44,1735.36
45,1774.8
46,1814.24
47,1853.68
48,1893.12
49,1932.56
50,1972
51,2011.44
52,2050.88
53,2090.32
54,2129.76
55,2169.2
56,2208.64
57,2248.08
58,2287.52
59,2326.96
60,2366.4
61,2405.84
62,2445.28
63,2484.72
64,2524.16
65,2563.6
66,2603.04
67,2642.48
68,2681.92
69,2721.36
70,2760.8
71,2800.24
72,2839.68
73,2879.12
74,2918.56
75,2958
76,2997.44
77,3036.88
78,3076.32
79,3115.76
80,3155.2
81,3194.64
82,3234.08
83,3273.52
84,3312.96
85,3352.4
86,3391.84
87,3431.28
88,3470.72
89,3510.16
90,3549.6
91,3589.04
92,3628.48
93,3667.92
94,3707.36
95,3746.8
96,3786.24
97,3825.68
98,3865.12
99,3904.56
100,3944
101,3983.44
102,4022.88
103,4062.32
104,4101.76
105,4141.2
106,4180.64
107,4220.08
108,4259.52
109,4298.96
110,4338.4
111,4377.84
112,4417.28
113,4456.72
114,4496.16
115,4535.6
116,4575.04
117,4614.48
118,4653.92
119,4693.36
120,4732.8
121,4772.24
122,4811.68
123,4851.12
124,4890.56
125,4930
126,4969.44
127,5008.88
128,5048.32
129,5087.76
130,5127.2
131,5166.64
132,5206.08
133,5245.52
134,5284.96
135,5324.4
136,5363.84
137,5403.28
138,5442.72
139,5482.16
140,5521.6
141,5561.04
142,5600.48
143,5639.92
144,5679.36
145,5718.8
146,5758.24
147,5797.68
148,5837.12
149,5876.56
150,5916
151,5955.44
152,5994.88
153,6034.32
154,6073.76
155,6113.2
156,6152.64
157,6192.08
158,6231.52
159,6270.96
160,6310.4
161,6349.84
162,6389.28
163,6428.72
164,6468.16
165,6507.6
166,6547.04
167,6586.48
168,6625.92
169,6665.36
170,6704.8
171,6744.24
172,6783.68
173,6823.12
174,6862.56
175,6902
176,6941.44
177,6980.88
178,7020.32
179,7059.76
180,7099.2
181,7138.64
182,7178.08
183,7217.52
184,7256.96
185,7296.4
186,7335.84
187,7375.28
188,7414.72
189,7454.16
190,7493.6
191,7533.04
192,7572.48
193,7611.92
194,7651.36
195,7690.8
196,7730.24
197,7769.68
198,7809.12
199,7848.56
200,7888
201,7927.44
202,7966.88
203,8006.32
204,8045.76
205,8085.2
206,8124.64
207,8164.08
208,8203.52
209,8242.96
210,8282.4
211,8321.84
212,8361.28
213,8400.72
214,8440.16
215,8479.6
216,8519.04
217,8558.48
218,8597.92
219,8637.36
220,8676.8
221,8716.24
222,8755.68
223,8795.12
224,8834.56
225,8874
226,8913.44
227,8952.88
228,8992.32
229,9031.76
230,9071.2
231,9110.64
232,9150.08
233,9189.52
234,9228.96
235,9268.4
236,9307.84
237,9347.28
238,9386.72
239,9426.16
240,9465.6
241,9505.04
242,9544.48
243,9583.92
244,9623.36
245,9662.8
246,9702.24
247,9741.68
248,9781.12
249,9820.56
250,9860
251,9899.44
252,9938.88
253,9978.32
254,10017.76
255,10057.2
256,10096.64
257,10136.08
258,10175.52
259,10214.96
260,10254.4
261,10293.84
262,10333.28
263,10372.72
264,10412.16
265,10451.6
266,10491.04
267,10530.48
268,10569.92
269,10609.36
270,10648.8
271,10688.24
272,10727.68
273,10767.12
274,10806.56
275,10846
276,10885.44
277,10924.88
278,10964.32
279,11003.76
280,11043.2
281,11082.64
282,11122.08
283,11161.52
284,11200.96
285,11240.4
286,11279.84
287,11319.28
288,11358.72
289,11398.16
290,11437.6
291,11477.04
292,11516.48
293,11555.92
294,11595.36
295,11634.8
296,11674.24
297,11713.68
298,11753.12
299,11792.56
300,11832
301,11871.44
302,11910.88
303,11950.32
304,11989.76
305,12029.2
306,12068.64
307,12108.08
308,12147.52
309,12186.96
310,12226.4
311,12265.84
312,12305.28
313,12344.72
314,12384.16
315,12423.6
316,12463.04
317,12502.48
318,12541.92
319,12581.36
320,12620.8
321,12660.24
322,12699.68
323,12739.12
324,12778.56
325,12818
326,12857.44
327,12896.88
328,12936.32
329,12975.76
330,13015.2
331,13054.64
332,13094.08
333,13133.52
334,13172.96
335,13212.4
336,13251.84
337,13291.28
338,13330.72
339,13370.16
340,13409.6
341,13449.04
342,13488.48
343,13527.92
344,13567.36
345,13606.8
346,13646.24
347,13685.68
348,13725.12
349,13764.56
350,13804
351,13843.44
352,13882.88
353,13922.32
354,13961.76
355,14001.2
356,14040.64
357,14080.08
358,14119.52
359,14158.96
360,14198.4
361,14237.84
362,14277.28
363,14316.72
364,14356.16
365,14395.6
366,14435.04
367,14474.48
368,14513.92
369,14553.36
370,14592.8
371,14632.24
372,14671.68
373,14711.12
374,14750.56
375,14790
376,14829.44
377,14868.88
378,14908.32
379,14947.76
380,14987.2
381,15026.64
382,15066.08
383,15105.52
384,15144.96
385,15184.4
386,15223.84
387,15263.28
388,15302.72
389,15342.16
390,15381.6
391,15421.04
392,15460.48
393,15499.92
394,15539.36
395,15578.8
396,15618.24
397,15657.68
398,15697.12
399,15736.56
400,15776
401,15815.44
402,15854.88
403,15894.32
404,15933.76
405,15973.2
406,16012.64
407,16052.08
408,16091.52
409,16130.96
410,16170.4
411,16209.84
412,16249.28
413,16288.72
414,16328.16
415,16367.6
416,16407.04
417,16446.48
418,16485.92
419,16525.36
420,16564.8
421,16604.24
422,16643.68
423,16683.12
424,16722.56
425,16762
426,16801.44
427,16840.88
428,16880.32
429,16919.76
430,16959.2
431,16998.64
432,17038.08
433,17077.52
434,17116.96
435,17156.4
436,17195.84
437,17235.28
438,17274.72
439,17314.16
440,17353.6
