Site,MType,MNo,Op No.,Sort Program,Tour,Run#,Start,End,Fed,MODS,DOIS
"02301-9997","AFCS200","2","004000","004FA023.STF","3","7","03/26/25 17:34","03/26/25 19:26","17522","S 03/26/25","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","8","03/26/25 20:10","03/26/25 23:00","25519","S 03/26/25","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","6","03/27/25 17:33","03/27/25 17:42","1948","S 03/27/25","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","7","03/27/25 19:44","03/27/25 20:23","4221","S 03/27/25","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","8","03/27/25 21:01","03/28/25 00:25","35078","S 03/28/25","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","3","03/28/25 17:51","03/28/25 20:03","13976","S 03/28/25","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","4","03/28/25 20:32","03/28/25 21:55","16335","S 03/28/25","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","1","5","03/28/25 21:56","03/29/25 00:26","17480","S 03/29/25","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","7","03/31/25 17:33","03/31/25 20:27","39936","S 03/31/25","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","8","03/31/25 21:02","03/31/25 23:29","23744","S 03/31/25","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","6","04/01/25 17:33","04/01/25 20:27","38741","S 04/01/25","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","7","04/01/25 20:52","04/01/25 23:27","28773","S 04/01/25","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","6","04/02/25 17:34","04/02/25 19:00","17415","S 04/02/25","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","7","04/02/25 19:45","04/02/25 20:25","7651","S 04/02/25","NS",
"02301-9997","AFCS200","2","004000","004FA023.STF","3","8","04/02/25 21:02","04/02/25 23:19","22831","S 04/02/25","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","13","03/26/25 17:32","03/26/25 17:50","320","S 03/26/25","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","14","03/26/25 17:58","03/26/25 18:57","10288","S 03/26/25","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","15","03/26/25 19:04","03/26/25 23:07","31790","S 03/26/25","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","7","03/27/25 15:00","03/27/25 15:09","76","S 03/27/25","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","8","03/27/25 15:44","03/27/25 15:45","66","S 03/27/25","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","10","03/27/25 16:03","03/27/25 16:07","125","S 03/27/25","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","11","03/27/25 17:14","03/27/25 17:17","863","S 03/27/25","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","12","03/27/25 17:34","03/27/25 19:00","12141","S 03/27/25","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","13","03/27/25 20:21","03/28/25 00:32","31497","S 03/28/25","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","4","03/28/25 18:04","03/28/25 19:20","9106","S 03/28/25","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","5","03/28/25 20:06","03/28/25 21:55","19461","S 03/28/25","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","1","6","03/28/25 22:01","03/29/25 00:17","18662","S 03/29/25","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","6","03/31/25 17:41","03/31/25 19:15","15605","S 03/31/25","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","7","03/31/25 19:36","03/31/25 19:39","462","S 03/31/25","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","8","03/31/25 20:26","03/31/25 21:56","19923","S 03/31/25","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","9","03/31/25 22:04","03/31/25 23:43","12187","S 03/31/25","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","6","04/01/25 17:34","04/01/25 18:56","7291","S 04/01/25","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","7","04/01/25 20:27","04/01/25 20:55","1612","S 04/01/25","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","8","04/01/25 21:08","04/01/25 23:26","29971","S 04/01/25","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","7","04/02/25 17:34","04/02/25 19:01","8723","S 04/02/25","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","8","04/02/25 20:25","04/02/25 21:03","8738","S 04/02/25","NS",
"02301-9997","AFCS200","3","004000","004FA023.STF","3","9","04/02/25 21:07","04/02/25 23:18","31012","S 04/02/25","NS",
"02301-9997","AFSM100","1","463000","463F0M30","3","4","03/26/25 14:24","03/26/25 20:22","19451","S 03/26/25","NS",
"02301-9997","AFSM100","1","461000","461F0OGP","3","1","03/26/25 20:22","03/26/25 21:54","7179","S 03/26/25","NS",
"02301-9997","AFSM100","1","461000","461F0OGP","3","2","03/26/25 22:15","03/26/25 23:21","10536","S 03/26/25","NS",
"02301-9997","AFSM100","1","462000","462F0OVR","1","1","03/26/25 23:27","03/26/25 23:50","3099","S 03/26/25","NS",
"02301-9997","AFSM100","1","466000","466F7025","1","2","03/26/25 23:59","03/27/25 00:34","4078","S 03/27/25","S",
"02301-9997","AFSM100","1","466000","466F7343","1","3","03/27/25 00:40","03/27/25 01:14","3446","S 03/27/25","S",
"02301-9997","AFSM100","1","466000","466F7BRK","1","4","03/27/25 02:06","03/27/25 02:32","2696","S 03/27/25","S",
"02301-9997","AFSM100","1","466000","466F7368","1","5","03/27/25 02:42","03/27/25 03:24","4458","S 03/27/25","S",
"02301-9997","AFSM100","1","466000","466F7072","1","6","03/27/25 03:36","03/27/25 04:10","4595","S 03/27/25","S",
"02301-9997","AFSM100","1","466000","466F7359","1","7","03/27/25 04:17","03/27/25 04:46","3661","S 03/27/25","S",
"02301-9997","AFSM100","1","466000","466F7361","1","8","03/27/25 04:52","03/27/25 05:21","4397","S 03/27/25","S",
"02301-9997","AFSM100","1","466000","466F7043","1","9","03/27/25 05:26","03/27/25 05:56","4611","S 03/27/25","S",
"02301-9997","AFSM100","1","463000","463F0M30","3","1","03/27/25 15:52","03/27/25 17:02","6100","S 03/27/25","NS",
"02301-9997","AFSM100","1","463000","463F0M30","3","3","03/27/25 17:42","03/27/25 19:31","11846","S 03/27/25","NS",
"02301-9997","AFSM100","1","463000","463F0M30","3","4","03/27/25 20:10","03/27/25 21:19","10855","S 03/27/25","NS",
"02301-9997","AFSM100","1","461000","461F0OGP","3","5","03/27/25 21:34","03/27/25 22:01","2542","S 03/27/25","NS",
"02301-9997","AFSM100","1","461000","461F0OGP","1","6","03/27/25 22:10","03/28/25 00:36","19556","S 03/28/25","NS",
"02301-9997","AFSM100","1","462000","462F0OVR","1","1","03/28/25 00:47","03/28/25 00:59","1411","S 03/28/25","NS",
"02301-9997","AFSM100","1","466000","466F7025","1","2","03/28/25 01:47","03/28/25 02:11","3160","S 03/28/25","S",
