Machines,Total (hrs/yr)
1,418.4
2,836.8
3,1255.2
4,1673.6
5,2092
6,2510.4
7,2928.8
8,3347.2
9,3765.6
10,4184
11,4602.4
12,5020.8
13,5439.2
14,5857.6
15,6276
16,6694.4
17,7112.8
18,7531.2
19,7949.6
20,8368
21,8786.4
22,9204.8
23,9623.2
24,10041.6
25,10460
26,10878.4
27,11296.8
28,11715.2
29,12133.6
30,12552
31,12970.4
32,13388.8
33,13807.2
34,14225.6
35,14644
36,15062.4
37,15480.8
38,15899.2
39,16317.6
40,16736
41,17154.4
42,17572.8
43,17991.2
44,18409.6
45,18828
46,19246.4
47,19664.8
48,20083.2
49,20501.6
50,20920
51,21338.4
52,21756.8
53,22175.2
54,22593.6
55,23012
56,23430.4
57,23848.8
58,24267.2
59,24685.6
60,25104
61,25522.4
62,25940.8
63,26359.2
64,26777.6
65,27196
66,27614.4
67,28032.8
68,28451.2
69,28869.6
70,29288
71,29706.4
72,30124.8
73,30543.2
74,30961.6
75,31380
76,31798.4
77,32216.8
78,32635.2
79,33053.6
80,33472
81,33890.4
82,34308.8
83,34727.2
84,35145.6
85,35564
86,35982.4
87,36400.8
88,36819.2
89,37237.6
90,37656
91,38074.4
92,38492.8
93,38911.2
94,39329.6
95,39748
96,40166.4
97,40584.8
98,41003.2
99,41421.6
100,41840
101,42258.4
102,42676.8
103,43095.2
104,43513.6
105,43932
106,44350.4
107,44768.8
108,45187.2
109,45605.6
110,46024
111,46442.4
112,46860.8
113,47279.2
114,47697.6
115,48116
116,48534.4
117,48952.8
118,49371.2
119,49789.6
120,50208
121,50626.4
122,51044.8
123,51463.2
124,51881.6
125,52300
126,52718.4
127,53136.8
128,53555.2
129,53973.6
130,54392
131,54810.4
132,55228.8
133,55647.2
134,56065.6
135,56484
136,56902.4
137,57320.8
138,57739.2
139,58157.6
140,58576
141,58994.4
142,59412.8
143,59831.2
144,60249.6
145,60668
146,61086.4
147,61504.8
148,61923.2
149,62341.6
150,62760
151,63178.4
152,63596.8
153,64015.2
154,64433.6
155,64852
156,65270.4
157,65688.8
158,66107.2
159,66525.6
160,66944
161,67362.4
162,67780.8
163,68199.2
164,68617.6
165,69036
166,69454.4
167,69872.8
168,70291.2
169,70709.6
170,71128
171,71546.4
172,71964.8
173,72383.2
174,72801.6
175,73220
176,73638.4
177,74056.8
178,74475.2
179,74893.6
180,75312
181,75730.4
182,76148.8
183,76567.2
184,76985.6
185,77404
186,77822.4
187,78240.8
188,78659.2
189,79077.6
190,79496
191,79914.4
192,80332.8
193,80751.2
194,81169.6
195,81588
196,82006.4
197,82424.8
198,82843.2
199,83261.6
200,83680
201,84098.4
202,84516.8
203,84935.2
204,85353.6
205,85772
206,86190.4
207,86608.8
208,87027.2
209,87445.6
210,87864
211,88282.4
212,88700.8
213,89119.2
214,89537.6
215,89956
216,90374.4
217,90792.8
218,91211.2
219,91629.6
220,92048
221,92466.4
222,92884.8
223,93303.2
224,93721.6
225,94140
226,94558.4
227,94976.8
228,95395.2
229,95813.6
230,96232
231,96650.4
232,97068.8
233,97487.2
234,97905.6
235,98324
236,98742.4
237,99160.8
238,99579.2
239,99997.6
240,100416
241,100834.4
242,101252.8
243,101671.2
244,102089.6
245,102508
246,102926.4
247,103344.8
248,103763.2
249,104181.6
250,104600
251,105018.4
252,105436.8
253,105855.2
254,106273.6
255,106692
256,107110.4
257,107528.8
258,107947.2
259,108365.6
260,108784
261,109202.4
262,109620.8
