Machines,Total (hrs/yr)
1,92.5
2,185
3,277.5
4,370
5,462.5
6,555
7,647.5
8,740
9,832.5
10,925
11,1017.5
12,1110
13,1202.5
14,1295
15,1387.5
16,1480
17,1572.5
18,1665
19,1757.5
20,1850
21,1942.5
22,2035
23,2127.5
24,2220
25,2312.5
26,2405
27,2497.5
28,2590
29,2682.5
30,2775
31,2867.5
32,2960
33,3052.5
34,3145
35,3237.5
36,3330
37,3422.5
38,3515
39,3607.5
40,3700
41,3792.5
42,3885
43,3977.5
44,4070
45,4162.5
46,4255
47,4347.5
48,4440
49,4532.5
50,4625
51,4717.5
52,4810
53,4902.5
54,4995
55,5087.5
56,5180
57,5272.5
58,5365
59,5457.5
60,5550
61,5642.5
62,5735
63,5827.5
64,5920
65,6012.5
66,6105
67,6197.5
68,6290
69,6382.5
70,6475
71,6567.5
72,6660
73,6752.5
74,6845
75,6937.5
76,7030
77,7122.5
78,7215
79,7307.5
80,7400
81,7492.5
82,7585
83,7677.5
84,7770
85,7862.5
86,7955
87,8047.5
88,8140
89,8232.5
90,8325
91,8417.5
92,8510
93,8602.5
94,8695
95,8787.5
96,8880
97,8972.5
98,9065
99,9157.5
100,9250
101,9342.5
102,9435
103,9527.5
104,9620
105,9712.5
106,9805
107,9897.5
108,9990
109,10082.5
110,10175
111,10267.5
112,10360
113,10452.5
114,10545
115,10637.5
116,10730
117,10822.5
118,10915
119,11007.5
120,11100
121,11192.5
122,11285
123,11377.5
124,11470
125,11562.5
126,11655
127,11747.5
128,11840
129,11932.5
130,12025
131,12117.5
132,12210
133,12302.5
134,12395
135,12487.5
136,12580
137,12672.5
138,12765
139,12857.5
140,12950
141,13042.5
142,13135
143,13227.5
144,13320
145,13412.5
146,13505
147,13597.5
148,13690
149,13782.5
150,13875
151,13967.5
152,14060
153,14152.5
154,14245
155,14337.5
156,14430
157,14522.5
158,14615
159,14707.5
160,14800
161,14892.5
162,14985
163,15077.5
164,15170
165,15262.5
166,15355
167,15447.5
168,15540
169,15632.5
170,15725
171,15817.5
172,15910
173,16002.5
174,16095
175,16187.5
176,16280
177,16372.5
178,16465
179,16557.5
180,16650
181,16742.5
182,16835
183,16927.5
184,17020
185,17112.5
186,17205
187,17297.5
188,17390
189,17482.5
190,17575
191,17667.5
192,17760
193,17852.5
194,17945
195,18037.5
196,18130
197,18222.5
198,18315
199,18407.5
200,18500
201,18592.5
202,18685
203,18777.5
204,18870
205,18962.5
206,19055
207,19147.5
208,19240
209,19332.5
210,19425
211,19517.5
212,19610
213,19702.5
214,19795
215,19887.5
216,19980
217,20072.5
218,20165
219,20257.5
220,20350
221,20442.5
222,20535
223,20627.5
224,20720
225,20812.5
226,20905
227,20997.5
228,21090
229,21182.5
230,21275
231,21367.5
232,21460
233,21552.5
234,21645
235,21737.5
236,21830
237,21922.5
238,22015
239,22107.5
240,22200
241,22292.5
242,22385
243,22477.5
244,22570
245,22662.5
246,22755
247,22847.5
248,22940
249,23032.5
250,23125
251,23217.5
252,23310
253,23402.5
254,23495
255,23587.5
256,23680
257,23772.5
258,23865
259,23957.5
260,24050
261,24142.5
262,24235
263,24327.5
264,24420
265,24512.5
266,24605
267,24697.5
268,24790
269,24882.5
270,24975
271,25067.5
272,25160
273,25252.5
274,25345
275,25437.5
276,25530
277,25622.5
278,25715
279,25807.5
280,25900
281,25992.5
282,26085
283,26177.5
284,26270
285,26362.5
286,26455
287,26547.5
288,26640
289,26732.5
290,26825
291,26917.5
292,27010
293,27102.5
294,27195
295,27287.5
296,27380
297,27472.5
298,27565
299,27657.5
300,27750
301,27842.5
302,27935
303,28027.5
304,28120
305,28212.5
306,28305
307,28397.5
308,28490
309,28582.5
310,28675
311,28767.5
312,28860
313,28952.5
314,29045
315,29137.5
316,29230
317,29322.5
318,29415
319,29507.5
320,29600
321,29692.5
322,29785
323,29877.5
324,29970
325,30062.5
326,30155
327,30247.5
328,30340
329,30432.5
330,30525
331,30617.5
332,30710
333,30802.5
334,30895
335,30987.5
336,31080
337,31172.5
338,31265
339,31357.5
340,31450
341,31542.5
342,31635
343,31727.5
344,31820
345,31912.5
346,32005
347,32097.5
348,32190
349,32282.5
350,32375
351,32467.5
352,32560
353,32652.5
354,32745
355,32837.5
356,32930
357,33022.5
358,33115
359,33207.5
360,33300
361,33392.5
362,33485
363,33577.5
364,33670
365,33762.5
366,33855
367,33947.5
368,34040
369,34132.5
370,34225
371,34317.5
372,34410
373,34502.5
374,34595
375,34687.5
376,34780
377,34872.5
378,34965
379,35057.5
380,35150
381,35242.5
382,35335
383,35427.5
384,35520
385,35612.5
386,35705
387,35797.5
388,35890
389,35982.5
390,36075
391,36167.5
392,36260
393,36352.5
394,36445
395,36537.5
396,36630
397,36722.5
398,36815
399,36907.5
400,37000
401,37092.5
402,37185
403,37277.5
404,37370
405,37462.5
406,37555
407,37647.5
408,37740
409,37832.5
410,37925
411,38017.5
412,38110
413,38202.5
414,38295
415,38387.5
416,38480
417,38572.5
418,38665
419,38757.5
420,38850
421,38942.5
422,39035
423,39127.5
424,39220
425,39312.5
426,39405
427,39497.5
428,39590
429,39682.5
430,39775
431,39867.5
432,39960
433,40052.5
434,40145
435,40237.5
436,40330
437,40422.5
438,40515
439,40607.5
440,40700
441,40792.5
