Machines,Total (hrs/yr)
1,228.6
2,457.2
3,685.8
4,914.4
5,1143
6,1371.6
7,1600.2
8,1828.8
9,2057.4
10,2286
11,2514.6
12,2743.2
13,2971.8
14,3200.4
15,3429
16,3657.6
17,3886.2
18,4114.8
19,4343.4
20,4572
21,4800.6
22,5029.2
23,5257.8
24,5486.4
25,5715
26,5943.6
27,6172.2
28,6400.8
29,6629.4
30,6858
31,7086.6
32,7315.2
33,7543.8
34,7772.4
35,8001
36,8229.6
37,8458.2
38,8686.8
39,8915.4
40,9144
41,9372.6
42,9601.2
43,9829.8
44,10058.4
45,10287
46,10515.6
47,10744.2
48,10972.8
49,11201.4
50,11430
51,11658.6
52,11887.2
53,12115.8
54,12344.4
55,12573
56,12801.6
57,13030.2
58,13258.8
59,13487.4
60,13716
61,13944.6
62,14173.2
63,14401.8
64,14630.4
65,14859
66,15087.6
67,15316.2
68,15544.8
69,15773.4
70,16002
71,16230.6
72,16459.2
73,16687.8
74,16916.4
75,17145
76,17373.6
77,17602.2
78,17830.8
79,18059.4
80,18288
81,18516.6
82,18745.2
83,18973.8
84,19202.4
85,19431
86,19659.6
87,19888.2
88,20116.8
89,20345.4
90,20574
91,20802.6
92,21031.2
93,21259.8
94,21488.4
95,21717
96,21945.6
97,22174.2
98,22402.8
99,22631.4
100,22860
101,23088.6
102,23317.2
103,23545.8
104,23774.4
105,24003
106,24231.6
107,24460.2
108,24688.8
109,24917.4
110,25146
111,25374.6
112,25603.2
113,25831.8
114,26060.4
115,26289
116,26517.6
117,26746.2
118,26974.8
119,27203.4
120,27432
121,27660.6
122,27889.2
123,28117.8
124,28346.4
125,28575
126,28803.6
127,29032.2
128,29260.8
129,29489.4
130,29718
131,29946.6
132,30175.2
133,30403.8
134,30632.4
135,30861
136,31089.6
137,31318.2
138,31546.8
139,31775.4
140,32004
141,32232.6
142,32461.2
143,32689.8
144,32918.4
145,33147
146,33375.6
147,33604.2
148,33832.8
149,34061.4
150,34290
151,34518.6
152,34747.2
153,34975.8
154,35204.4
155,35433
156,35661.6
157,35890.2
158,36118.8
159,36347.4
160,36576
161,36804.6
162,37033.2
163,37261.8
164,37490.4
165,37719
166,37947.6
167,38176.2
168,38404.8
169,38633.4
170,38862
171,39090.6
172,39319.2
173,39547.8
174,39776.4
175,40005
176,40233.6
177,40462.2
178,40690.8
179,40919.4
180,41148
181,41376.6
182,41605.2
183,41833.8
184,42062.4
185,42291
186,42519.6
187,42748.2
188,42976.8
189,43205.4
190,43434
191,43662.6
192,43891.2
193,44119.8
194,44348.4
195,44577
196,44805.6
197,45034.2
198,45262.8
199,45491.4
200,45720
201,45948.6
202,46177.2
203,46405.8
204,46634.4
205,46863
206,47091.6
207,47320.2
208,47548.8
209,47777.4
210,48006
211,48234.6
212,48463.2
213,48691.8
214,48920.4
215,49149
216,49377.6
217,49606.2
218,49834.8
219,50063.4
220,50292
221,50520.6
222,50749.2
223,50977.8
224,51206.4
225,51435
226,51663.6
227,51892.2
228,52120.8
229,52349.4
230,52578
231,52806.6
232,53035.2
233,53263.8
234,53492.4
235,53721
236,53949.6
237,54178.2
238,54406.8
239,54635.4
240,54864
241,55092.6
242,55321.2
243,55549.8
244,55778.4
245,56007
246,56235.6
247,56464.2
248,56692.8
249,56921.4
250,57150
251,57378.6
252,57607.2
253,57835.8
254,58064.4
255,58293
256,58521.6
257,58750.2
258,58978.8
259,59207.4
260,59436
261,59664.6
262,59893.2
263,60121.8
264,60350.4
265,60579
266,60807.6
267,61036.2
268,61264.8
269,61493.4
270,61722
271,61950.6
272,62179.2
273,62407.8
274,62636.4
275,62865
276,63093.6
277,63322.2
278,63550.8
279,63779.4
280,64008
281,64236.6
282,64465.2
283,64693.8
284,64922.4
285,65151
286,65379.6
287,65608.2
288,65836.8
289,66065.4
290,66294
291,66522.6
292,66751.2
293,66979.8
294,67208.4
295,67437
296,67665.6
297,67894.2
298,68122.8
299,68351.4
300,68580
301,68808.6
302,69037.2
303,69265.8
304,69494.4
305,69723
306,69951.6
307,70180.2
308,70408.8
309,70637.4
310,70866
311,71094.6
312,71323.2
313,71551.8
314,71780.4
315,72009
316,72237.6
317,72466.2
318,72694.8
319,72923.4
320,73152
321,73380.6
322,73609.2
323,73837.8
324,74066.4
325,74295
326,74523.6
327,74752.2
328,74980.8
329,75209.4
330,75438
331,75666.6
332,75895.2
333,76123.8
334,76352.4
335,76581
336,76809.6
