Machines,Total (hrs/yr)
1,9.9
2,19.8
3,29.7
4,39.6
5,49.5
6,59.4
7,69.3
8,79.2
9,89.1
10,99
11,108.9
12,118.8
13,128.7
14,138.6
15,148.5
16,158.4
17,168.3
18,178.2
19,188.1
20,198
21,207.9
22,217.8
23,227.7
24,237.6
25,247.5
26,257.4
27,267.3
28,277.2
29,287.1
30,297
31,306.9
32,316.8
33,326.7
34,336.6
35,346.5
36,356.4
37,366.3
38,376.2
39,386.1
40,396
41,405.9
42,415.8
43,425.7
44,435.6
45,445.5
46,455.4
47,465.3
48,475.2
49,485.1
50,495
51,504.9
52,514.8
53,524.7
54,534.6
55,544.5
56,554.4
57,564.3
58,574.2
59,584.1
60,594
61,603.9
62,613.8
63,623.7
64,633.6
65,643.5
66,653.4
67,663.3
68,673.2
69,683.1
70,693
71,702.9
72,712.8
73,722.7
74,732.6
75,742.5
76,752.4
77,762.3
78,772.2
79,782.1
80,792
81,801.9
82,811.8
83,821.7
84,831.6
85,841.5
86,851.4
87,861.3
88,871.2
89,881.1
90,891
91,900.9
92,910.8
93,920.7
94,930.6
95,940.5
96,950.4
97,960.3
98,970.2
99,980.1
100,990
101,999.9
102,1009.8
103,1019.7
104,1029.6
105,1039.5
106,1049.4
107,1059.3
108,1069.2
109,1079.1
110,1089
111,1098.9
112,1108.8
113,1118.7
114,1128.6
115,1138.5
116,1148.4
117,1158.3
118,1168.2
119,1178.1
120,1188
121,1197.9
122,1207.8
123,1217.7
124,1227.6
125,1237.5
126,1247.4
127,1257.3
128,1267.2
129,1277.1
130,1287
131,1296.9
132,1306.8
133,1316.7
134,1326.6
135,1336.5
136,1346.4
137,1356.3
138,1366.2
139,1376.1
140,1386
141,1395.9
142,1405.8
143,1415.7
144,1425.6
145,1435.5
146,1445.4
147,1455.3
148,1465.2
149,1475.1
150,1485
151,1494.9
152,1504.8
153,1514.7
154,1524.6
155,1534.5
156,1544.4
157,1554.3
158,1564.2
159,1574.1
160,1584
161,1593.9
162,1603.8
163,1613.7
164,1623.6
165,1633.5
166,1643.4
167,1653.3
168,1663.2
169,1673.1
170,1683
171,1692.9
172,1702.8
173,1712.7
174,1722.6
175,1732.5
176,1742.4
177,1752.3
178,1762.2
179,1772.1
180,1782
181,1791.9
182,1801.8
183,1811.7
184,1821.6
185,1831.5
186,1841.4
187,1851.3
188,1861.2
189,1871.1
190,1881
191,1890.9
192,1900.8
193,1910.7
194,1920.6
195,1930.5
196,1940.4
197,1950.3
198,1960.2
199,1970.1
200,1980
201,1989.9
202,1999.8
203,2009.7
204,2019.6
205,2029.5
206,2039.4
207,2049.3
208,2059.2
209,2069.1
210,2079
211,2088.9
212,2098.8
213,2108.7
214,2118.6
215,2128.5
216,2138.4
217,2148.3
218,2158.2
219,2168.1
