Machines,Total (hrs/yr)
1,36.05
2,72.1
3,108.15
4,144.2
5,180.25
6,216.3
7,252.35
8,288.4
9,324.45
10,360.5
11,396.55
12,432.6
13,468.65
14,504.7
15,540.75
16,576.8
17,612.85
18,648.9
19,684.95
20,721
21,757.05
22,793.1
23,829.15
24,865.2
25,901.25
26,937.3
27,973.35
28,1009.4
29,1045.45
30,1081.5
31,1117.55
32,1153.6
33,1189.65
34,1225.7
35,1261.75
36,1297.8
37,1333.85
38,1369.9
39,1405.95
40,1442
41,1478.05
42,1514.1
43,1550.15
44,1586.2
45,1622.25
46,1658.3
47,1694.35
48,1730.4
49,1766.45
50,1802.5
51,1838.55
52,1874.6
53,1910.65
54,1946.7
55,1982.75
56,2018.8
57,2054.85
58,2090.9
59,2126.95
60,2163
61,2199.05
62,2235.1
63,2271.15
64,2307.2
65,2343.25
66,2379.3
67,2415.35
68,2451.4
69,2487.45
70,2523.5
71,2559.55
72,2595.6
73,2631.65
74,2667.7
75,2703.75
76,2739.8
77,2775.85
78,2811.9
79,2847.95
80,2884
81,2920.05
82,2956.1
83,2992.15
84,3028.2
85,3064.25
86,3100.3
87,3136.35
88,3172.4
89,3208.45
90,3244.5
91,3280.55
92,3316.6
93,3352.65
94,3388.7
95,3424.75
96,3460.8
97,3496.85
98,3532.9
99,3568.95
100,3605
101,3641.05
102,3677.1
103,3713.15
104,3749.2
105,3785.25
106,3821.3
107,3857.35
108,3893.4
109,3929.45
110,3965.5
111,4001.55
112,4037.6
113,4073.65
114,4109.7
115,4145.75
116,4181.8
117,4217.85
118,4253.9
119,4289.95
120,4326
121,4362.05
122,4398.1
123,4434.15
124,4470.2
125,4506.25
126,4542.3
127,4578.35
128,4614.4
129,4650.45
130,4686.5
131,4722.55
132,4758.6
133,4794.65
134,4830.7
135,4866.75
136,4902.8
137,4938.85
138,4974.9
139,5010.95
140,5047
141,5083.05
142,5119.1
143,5155.15
144,5191.2
145,5227.25
146,5263.3
147,5299.35
148,5335.4
149,5371.45
150,5407.5
151,5443.55
152,5479.6
153,5515.65
154,5551.7
155,5587.75
156,5623.8
157,5659.85
158,5695.9
159,5731.95
160,5768
161,5804.05
162,5840.1
163,5876.15
164,5912.2
165,5948.25
166,5984.3
167,6020.35
168,6056.4
169,6092.45
170,6128.5
171,6164.55
172,6200.6
173,6236.65
174,6272.7
175,6308.75
176,6344.8
