Machines,Total (hrs/yr)
1,3.2
2,6.4
3,9.6
4,12.8
5,16
6,19.2
7,22.4
8,25.6
9,28.8
10,32
11,35.2
12,38.4
13,41.6
14,44.8
15,48
16,51.2
17,54.4
18,57.6
19,60.8
20,64
21,67.2
22,70.4
23,73.6
24,76.8
25,80
26,83.2
27,86.4
28,89.6
29,92.8
30,96
31,99.2
32,102.4
33,105.6
34,108.8
35,112
36,115.2
37,118.4
38,121.6
39,124.8
40,128
41,131.2
42,134.4
43,137.6
44,140.8
45,144
46,147.2
47,150.4
48,153.6
49,156.8
50,160
51,163.2
52,166.4
53,169.6
54,172.8
55,176
56,179.2
57,182.4
58,185.6
59,188.8
60,192
61,195.2
62,198.4
63,201.6
64,204.8
65,208
66,211.2
67,214.4
68,217.6
69,220.8
70,224
71,227.2
72,230.4
73,233.6
74,236.8
75,240
76,243.2
77,246.4
78,249.6
79,252.8
80,256
81,259.2
82,262.4
83,265.6
84,268.8
85,272
86,275.2
87,278.4
88,281.6
89,284.8
90,288
91,291.2
92,294.4
93,297.6
94,300.8
95,304
96,307.2
97,310.4
98,313.6
99,316.8
100,320
101,323.2
102,326.4
103,329.6
104,332.8
105,336
106,339.2
107,342.4
108,345.6
109,348.8
110,352
111,355.2
112,358.4
113,361.6
114,364.8
115,368
116,371.2
117,374.4
118,377.6
119,380.8
120,384
121,387.2
122,390.4
123,393.6
124,396.8
125,400
126,403.2
127,406.4
128,409.6
129,412.8
130,416
131,419.2
132,422.4
133,425.6
134,428.8
135,432
136,435.2
137,438.4
138,441.6
139,444.8
140,448
141,451.2
142,454.4
143,457.6
144,460.8
145,464
146,467.2
147,470.4
148,473.6
149,476.8
150,480
151,483.2
152,486.4
153,489.6
154,492.8
155,496
156,499.2
157,502.4
158,505.6
159,508.8
160,512
161,515.2
162,518.4
163,521.6
164,524.8
165,528
166,531.2
167,534.4
168,537.6
169,540.8
170,544
171,547.2
172,550.4
173,553.6
174,556.8
175,560
176,563.2
177,566.4
178,569.6
179,572.8
180,576
181,579.2
182,582.4
183,585.6
184,588.8
185,592
186,595.2
187,598.4
188,601.6
189,604.8
190,608
191,611.2
192,614.4
193,617.6
194,620.8
195,624
196,627.2
197,630.4
198,633.6
199,636.8
200,640
201,643.2
202,646.4
203,649.6
204,652.8
205,656
206,659.2
207,662.4
208,665.6
209,668.8
210,672
211,675.2
212,678.4
213,681.6
214,684.8
215,688
216,691.2
217,694.4
218,697.6
219,700.8
220,704
221,707.2
222,710.4
223,713.6
224,716.8
225,720
226,723.2
227,726.4
228,729.6
229,732.8
230,736
231,739.2
232,742.4
233,745.6
234,748.8
235,752
236,755.2
237,758.4
238,761.6
239,764.8
240,768
241,771.2
242,774.4
243,777.6
244,780.8
245,784
246,787.2
247,790.4
248,793.6
249,796.8
250,800
251,803.2
252,806.4
253,809.6
254,812.8
255,816
256,819.2
257,822.4
258,825.6
259,828.8
260,832
261,835.2
262,838.4
263,841.6
264,844.8
265,848
266,851.2
267,854.4
268,857.6
269,860.8
270,864
271,867.2
272,870.4
273,873.6
274,876.8
275,880
276,883.2
277,886.4
278,889.6
279,892.8
280,896
281,899.2
282,902.4
283,905.6
