Stackers,Operation (days/wk),Tours/Day,Operational Maintenance (hrs/yr),Total (hrs/yr)
110,5,1,199.33,938.54
126,5,1,199.33,959.76
142,5,1,199.33,981.18
158,5,1,199.33,1002.68
174,5,1,199.33,1024.10
190,5,1,199.33,1051.97
206,5,1,199.33,1073.36
222,5,1,199.33,1094.87
238,5,1,199.33,1110.60
254,5,1,199.33,1143.79
270,5,1,199.33,1165.19
286,5,1,199.33,1186.68
302,5,1,199.33,1208.09
110,6,1,239.20,1083.76
126,6,1,239.20,1107.45
142,6,1,239.20,1130.10
158,6,1,239.20,1152.86
174,6,1,239.20,1175.51
190,6,1,239.20,1205.87
206,6,1,239.20,1228.49
222,6,1,239.20,1251.24
238,6,1,239.20,1268.22
254,6,1,239.20,1303.88
270,6,1,239.20,1326.52
286,6,1,239.20,1349.24
302,6,1,239.20,1371.89
110,7,1,279.06,1228.97
126,7,1,279.06,1255.14
142,7,1,279.06,1279.03
158,7,1,279.06,1303.02
174,7,1,279.06,1326.92
190,7,1,279.06,1359.75
206,7,1,279.06,1383.61
222,7,1,279.06,1407.60
238,7,1,279.06,1425.82
254,7,1,279.06,1463.96
270,7,1,279.06,1487.83
286,7,1,279.06,1511.80
302,7,1,279.06,1535.68
110,5,2,398.66,1137.88
126,5,2,398.66,1159.10
142,5,2,398.66,1180.52
158,5,2,398.66,1202.02
174,5,2,398.66,1223.44
190,5,2,398.66,1251.31
206,5,2,398.66,1272.70
222,5,2,398.66,1294.21
238,5,2,398.66,1309.94
254,5,2,398.66,1343.13
270,5,2,398.66,1364.53
286,5,2,398.66,1386.02
302,5,2,398.66,1407.43
110,6,2,478.40,1322.96
126,6,2,478.40,1346.65
142,6,2,478.40,1369.30
158,6,2,478.40,1392.06
174,6,2,478.40,1414.71
190,6,2,478.40,1445.07
206,6,2,478.40,1467.69
222,6,2,478.40,1490.44
238,6,2,478.40,1507.42
254,6,2,478.40,1543.08
270,6,2,478.40,1565.72
286,6,2,478.40,1588.44
302,6,2,478.40,1611.09
110,7,2,558.13,1508.04
126,7,2,558.13,1534.21
142,7,2,558.13,1558.10
158,7,2,558.13,1582.09
174,7,2,558.13,1605.98
190,7,2,558.13,1638.82
206,7,2,558.13,1662.68
222,7,2,558.13,1686.67
238,7,2,558.13,1704.88
254,7,2,558.13,1743.03
270,7,2,558.13,1766.90
286,7,2,558.13,1790.87
302,7,2,558.13,1814.75
110,5,3,597.99,1337.21
126,5,3,597.99,1358.43
142,5,3,597.99,1379.85
158,5,3,597.99,1401.35
174,5,3,597.99,1422.77
190,5,3,597.99,1450.64
206,5,3,597.99,1472.03
222,5,3,597.99,1493.54
238,5,3,597.99,1509.27
254,5,3,597.99,1542.46
270,5,3,597.99,1563.86
286,5,3,597.99,1585.35
302,5,3,597.99,1606.76
110,6,3,717.60,1562.16
126,6,3,717.60,1585.85
142,6,3,717.60,1608.50
158,6,3,717.60,1631.26
174,6,3,717.60,1653.91
190,6,3,717.60,1684.27
206,6,3,717.60,1706.89
222,6,3,717.60,1729.64
238,6,3,717.60,1746.62
254,6,3,717.60,1782.28
270,6,3,717.60,1804.92
286,6,3,717.60,1827.64
302,6,3,717.60,1850.29
110,7,3,837.20,1787.11
126,7,3,837.20,1813.27
142,7,3,837.20,1837.17
158,7,3,837.20,1861.16
174,7,3,837.20,1885.05
190,7,3,837.20,1917.88
206,7,3,837.20,1941.74
222,7,3,837.20,1965.73
238,7,3,837.20,1983.95
254,7,3,837.20,2022.10
270,7,3,837.20,2045.97
286,7,3,837.20,2069.94
302,7,3,837.20,2093.82
