Machines,Total (hrs/yr)
1,254
2,508
3,762
4,1016
5,1270
6,1524
7,1778
8,2032
9,2286
10,2540
11,2794
12,3048
13,3302
14,3556
15,3810
16,4064
17,4318
18,4572
19,4826
20,5080
21,5334
22,5588
23,5842
24,6096
25,6350
26,6604
27,6858
28,7112
29,7366
30,7620
31,7874
32,8128
33,8382
34,8636
35,8890
36,9144
37,9398
38,9652
39,9906
40,10160
41,10414
42,10668
43,10922
44,11176
45,11430
46,11684
47,11938
48,12192
49,12446
50,12700
51,12954
52,13208
53,13462
54,13716
55,13970
56,14224
57,14478
58,14732
59,14986
60,15240
61,15494
62,15748
63,16002
64,16256
65,16510
66,16764
67,17018
68,17272
69,17526
70,17780
71,18034
72,18288
73,18542
74,18796
75,19050
76,19304
77,19558
78,19812
79,20066
80,20320
81,20574
82,20828
83,21082
84,21336
85,21590
86,21844
87,22098
88,22352
89,22606
90,22860
91,23114
92,23368
93,23622
94,23876
95,24130
96,24384
97,24638
98,24892
99,25146
100,25400
101,25654
102,25908
103,26162
104,26416
105,26670
106,26924
107,27178
108,27432
109,27686
110,27940
111,28194
112,28448
113,28702
114,28956
115,29210
116,29464
117,29718
118,29972
119,30226
120,30480
121,30734
122,30988
123,31242
124,31496
125,31750
126,32004
127,32258
128,32512
129,32766
130,33020
131,33274
132,33528
133,33782
134,34036
135,34290
136,34544
137,34798
138,35052
139,35306
140,35560
141,35814
142,36068
143,36322
144,36576
145,36830
146,37084
147,37338
148,37592
149,37846
150,38100
151,38354
152,38608
153,38862
154,39116
155,39370
156,39624
157,39878
158,40132
159,40386
160,40640
161,40894
162,41148
163,41402
164,41656
165,41910
166,42164
167,42418
168,42672
169,42926
170,43180
171,43434
172,43688
173,43942
174,44196
175,44450
176,44704
177,44958
178,45212
179,45466
180,45720
181,45974
182,46228
183,46482
184,46736
185,46990
186,47244
187,47498
188,47752
189,48006
190,48260
191,48514
192,48768
193,49022
194,49276
195,49530
196,49784
197,50038
198,50292
199,50546
200,50800
201,51054
202,51308
203,51562
204,51816
205,52070
206,52324
207,52578
208,52832
209,53086
210,53340
211,53594
212,53848
213,54102
214,54356
215,54610
216,54864
217,55118
218,55372
219,55626
220,55880
221,56134
222,56388
223,56642
224,56896
225,57150
226,57404
227,57658
228,57912
229,58166
230,58420
231,58674
232,58928
233,59182
234,59436
235,59690
236,59944
237,60198
238,60452
239,60706
240,60960
241,61214
242,61468
243,61722
244,61976
245,62230
246,62484
247,62738
248,62992
249,63246
250,63500
251,63754
252,64008
253,64262
254,64516
255,64770
256,65024
257,65278
258,65532
259,65786
260,66040
261,66294
262,66548
263,66802
264,67056
265,67310
266,67564
267,67818
268,68072
269,68326
270,68580
271,68834
272,69088
273,69342
274,69596
275,69850
276,70104
277,70358
278,70612
279,70866
280,71120
281,71374
282,71628
283,71882
284,72136
285,72390
286,72644
287,72898
288,73152
289,73406
290,73660
291,73914
292,74168
293,74422
294,74676
295,74930
296,75184
297,75438
298,75692
299,75946
300,76200
301,76454
302,76708
303,76962
304,77216
305,77470
306,77724
307,77978
308,78232
309,78486
310,78740
311,78994
312,79248
313,79502
314,79756
315,80010
316,80264
317,80518
318,80772
319,81026
320,81280
321,81534
322,81788
323,82042
324,82296
325,82550
326,82804
327,83058
328,83312
329,83566
330,83820
331,84074
332,84328
333,84582
334,84836
335,85090
336,85344
337,85598
338,85852
339,86106
340,86360
341,86614
342,86868
343,87122
344,87376
345,87630
346,87884
347,88138
348,88392
349,88646
350,88900
351,89154
352,89408
353,89662
354,89916
355,90170
356,90424
357,90678
358,90932
359,91186
360,91440
361,91694
362,91948
363,92202
364,92456
365,92710
366,92964
367,93218
368,93472
369,93726
370,93980
371,94234
372,94488
373,94742
374,94996
375,95250
376,95504
377,95758
378,96012
379,96266
380,96520
381,96774
382,97028
383,97282
384,97536
385,97790
386,98044
387,98298
388,98552
389,98806
390,99060
391,99314
392,99568
393,99822
394,100076
395,100330
396,100584
397,100838
398,101092
399,101346
400,101600
401,101854
402,102108
403,102362
404,102616
405,102870
406,103124
407,103378
408,103632
409,103886
410,104140
411,104394
412,104648
413,104902
414,105156
415,105410
416,105664
417,105918
418,106172
419,106426
420,106680
421,106934
422,107188
423,107442
424,107696
425,107950
426,108204
427,108458
428,108712
429,108966
430,109220
431,109474
432,109728
433,109982
434,110236
435,110490
436,110744
437,110998
438,111252
439,111506
440,111760
441,112014
442,112268
443,112522
444,112776
445,113030
446,113284
447,113538
448,113792
449,114046
450,114300
451,114554
452,114808
453,115062
454,115316
