Machines,Total (hrs/yr)
1,28.6
2,57.2
3,85.8
4,114.4
5,143
6,171.6
7,200.2
8,228.8
9,257.4
10,286
11,314.6
12,343.2
13,371.8
14,400.4
15,429
16,457.6
17,486.2
18,514.8
19,543.4
20,572
21,600.6
22,629.2
23,657.8
24,686.4
25,715
26,743.6
27,772.2
28,800.8
29,829.4
30,858
31,886.6
32,915.2
33,943.8
34,972.4
35,1001
36,1029.6
37,1058.2
38,1086.8
39,1115.4
40,1144
41,1172.6
42,1201.2
43,1229.8
44,1258.4
45,1287
46,1315.6
47,1344.2
48,1372.8
49,1401.4
50,1430
51,1458.6
52,1487.2
53,1515.8
54,1544.4
55,1573
56,1601.6
57,1630.2
58,1658.8
59,1687.4
60,1716
61,1744.6
62,1773.2
63,1801.8
64,1830.4
65,1859
66,1887.6
67,1916.2
68,1944.8
69,1973.4
70,2002
71,2030.6
72,2059.2
73,2087.8
74,2116.4
75,2145
76,2173.6
77,2202.2
78,2230.8
79,2259.4
80,2288
81,2316.6
82,2345.2
83,2373.8
84,2402.4
85,2431
86,2459.6
87,2488.2
88,2516.8
89,2545.4
90,2574
91,2602.6
92,2631.2
93,2659.8
94,2688.4
95,2717
96,2745.6
97,2774.2
98,2802.8
99,2831.4
100,2860
101,2888.6
102,2917.2
103,2945.8
104,2974.4
105,3003
106,3031.6
107,3060.2
108,3088.8
109,3117.4
110,3146
111,3174.6
112,3203.2
113,3231.8
114,3260.4
115,3289
116,3317.6
117,3346.2
118,3374.8
119,3403.4
120,3432
121,3460.6
122,3489.2
123,3517.8
124,3546.4
125,3575
126,3603.6
127,3632.2
128,3660.8
129,3689.4
130,3718
131,3746.6
132,3775.2
133,3803.8
134,3832.4
135,3861
136,3889.6
137,3918.2
138,3946.8
139,3975.4
140,4004
141,4032.6
142,4061.2
143,4089.8
144,4118.4
145,4147
146,4175.6
147,4204.2
148,4232.8
149,4261.4
150,4290
151,4318.6
152,4347.2
153,4375.8
154,4404.4
155,4433
156,4461.6
157,4490.2
158,4518.8
159,4547.4
160,4576
161,4604.6
162,4633.2
163,4661.8
164,4690.4
165,4719
166,4747.6
167,4776.2
168,4804.8
169,4833.4
170,4862
171,4890.6
172,4919.2
173,4947.8
174,4976.4
175,5005
176,5033.6
177,5062.2
178,5090.8
179,5119.4
180,5148
181,5176.6
182,5205.2
183,5233.8
184,5262.4
185,5291
186,5319.6
187,5348.2
188,5376.8
189,5405.4
190,5434
191,5462.6
192,5491.2
193,5519.8
194,5548.4
195,5577
196,5605.6
197,5634.2
198,5662.8
199,5691.4
200,5720
201,5748.6
202,5777.2
203,5805.8
204,5834.4
205,5863
206,5891.6
207,5920.2
208,5948.8
209,5977.4
210,6006
211,6034.6
212,6063.2
213,6091.8
214,6120.4
215,6149
216,6177.6
217,6206.2
218,6234.8
219,6263.4
220,6292
221,6320.6
222,6349.2
223,6377.8
224,6406.4
225,6435
226,6463.6
227,6492.2
228,6520.8
229,6549.4
230,6578
231,6606.6
232,6635.2
233,6663.8
234,6692.4
235,6721
236,6749.6
237,6778.2
238,6806.8
239,6835.4
240,6864
241,6892.6
242,6921.2
243,6949.8
244,6978.4
245,7007
246,7035.6
247,7064.2
248,7092.8
249,7121.4
250,7150
251,7178.6
252,7207.2
253,7235.8
254,7264.4
255,7293
256,7321.6
257,7350.2
258,7378.8
259,7407.4
260,7436
261,7464.6
262,7493.2
263,7521.8
264,7550.4
265,7579
266,7607.6
267,7636.2
268,7664.8
269,7693.4
270,7722
271,7750.6
272,7779.2
273,7807.8
274,7836.4
275,7865
276,7893.6
277,7922.2
278,7950.8
279,7979.4
280,8008
281,8036.6
282,8065.2
283,8093.8
284,8122.4
285,8151
286,8179.6
287,8208.2
288,8236.8
289,8265.4
290,8294
291,8322.6
292,8351.2
293,8379.8
294,8408.4
295,8437
296,8465.6
297,8494.2
298,8522.8
299,8551.4
300,8580
301,8608.6
302,8637.2
303,8665.8
304,8694.4
305,8723
306,8751.6
307,8780.2
308,8808.8
309,8837.4
310,8866
311,8894.6
312,8923.2
313,8951.8
314,8980.4
315,9009
316,9037.6
317,9066.2
318,9094.8
319,9123.4
320,9152
321,9180.6
322,9209.2
323,9237.8
324,9266.4
325,9295
326,9323.6
327,9352.2
328,9380.8
329,9409.4
330,9438
331,9466.6
332,9495.2
333,9523.8
334,9552.4
335,9581
336,9609.6
337,9638.2
338,9666.8
339,9695.4
340,9724
341,9752.6
342,9781.2
343,9809.8
344,9838.4
345,9867
346,9895.6
347,9924.2
348,9952.8
349,9981.4
350,10010
351,10038.6
352,10067.2
353,10095.8
354,10124.4
355,10153
356,10181.6
357,10210.2
358,10238.8
359,10267.4
360,10296
361,10324.6
362,10353.2
363,10381.8
364,10410.4
365,10439
366,10467.6
367,10496.2
368,10524.8
369,10553.4
370,10582
371,10610.6
372,10639.2
373,10667.8
374,10696.4
375,10725
376,10753.6
377,10782.2
378,10810.8
379,10839.4
380,10868
381,10896.6
382,10925.2
383,10953.8
384,10982.4
385,11011
386,11039.6
387,11068.2
388,11096.8
389,11125.4
390,11154
391,11182.6
392,11211.2
393,11239.8
394,11268.4
395,11297
396,11325.6
397,11354.2
398,11382.8
399,11411.4
400,11440
401,11468.6
402,11497.2
403,11525.8
404,11554.4
405,11583
406,11611.6
407,11640.2
408,11668.8
409,11697.4
410,11726
411,11754.6
412,11783.2
413,11811.8
414,11840.4
415,11869
416,11897.6
417,11926.2
418,11954.8
419,11983.4
420,12012
421,12040.6
422,12069.2
423,12097.8
424,12126.4
425,12155
426,12183.6
427,12212.2
428,12240.8
429,12269.4
430,12298
431,12326.6
432,12355.2
433,12383.8
434,12412.4
435,12441
436,12469.6
437,12498.2
438,12526.8
439,12555.4
440,12584
441,12612.6
442,12641.2
443,12669.8
444,12698.4
445,12727
446,12755.6
447,12784.2
448,12812.8
449,12841.4
450,12870
451,12898.6
452,12927.2
453,12955.8
454,12984.4
455,13013
456,13041.6
457,13070.2
458,13098.8
459,13127.4
460,13156
461,13184.6
462,13213.2
463,13241.8
464,13270.4
465,13299
466,13327.6
467,13356.2
468,13384.8
469,13413.4
470,13442
471,13470.6
472,13499.2
473,13527.8
474,13556.4
475,13585
476,13613.6
477,13642.2
478,13670.8
479,13699.4
480,13728
481,13756.6
482,13785.2
483,13813.8
484,13842.4
485,13871
486,13899.6
487,13928.2
488,13956.8
489,13985.4
490,14014
491,14042.6
492,14071.2
493,14099.8
494,14128.4
495,14157
496,14185.6
497,14214.2
498,14242.8
499,14271.4
500,14300
501,14328.6
502,14357.2
503,14385.8
504,14414.4
505,14443
506,14471.6
507,14500.2
508,14528.8
509,14557.4
510,14586
511,14614.6
512,14643.2
513,14671.8
514,14700.4
515,14729
516,14757.6
517,14786.2
518,14814.8
519,14843.4
520,14872
521,14900.6
522,14929.2
523,14957.8
524,14986.4
525,15015
526,15043.6
527,15072.2
528,15100.8
529,15129.4
530,15158
531,15186.6
532,15215.2
533,15243.8
534,15272.4
535,15301
536,15329.6
537,15358.2
538,15386.8
539,15415.4
540,15444
541,15472.6
542,15501.2
543,15529.8
544,15558.4
545,15587
546,15615.6
547,15644.2
548,15672.8
549,15701.4
550,15730
551,15758.6
552,15787.2
553,15815.8
554,15844.4
555,15873
556,15901.6
557,15930.2
558,15958.8
559,15987.4
560,16016
561,16044.6
562,16073.2
563,16101.8
564,16130.4
565,16159
566,16187.6
567,16216.2
568,16244.8
569,16273.4
570,16302
571,16330.6
572,16359.2
573,16387.8
574,16416.4
575,16445
576,16473.6
577,16502.2
578,16530.8
579,16559.4
580,16588
581,16616.6
582,16645.2
583,16673.8
584,16702.4
585,16731
586,16759.6
587,16788.2
588,16816.8
589,16845.4
590,16874
591,16902.6
592,16931.2
593,16959.8
594,16988.4
595,17017
596,17045.6
597,17074.2
598,17102.8
599,17131.4
600,17160
601,17188.6
602,17217.2
603,17245.8
604,17274.4
605,17303
606,17331.6
607,17360.2
608,17388.8
609,17417.4
610,17446
611,17474.6
612,17503.2
613,17531.8
614,17560.4
615,17589
616,17617.6
617,17646.2
618,17674.8
619,17703.4
620,17732
621,17760.6
622,17789.2
623,17817.8
624,17846.4
625,17875
626,17903.6
627,17932.2
628,17960.8
629,17989.4
630,18018
631,18046.6
632,18075.2
633,18103.8
634,18132.4
635,18161
636,18189.6
637,18218.2
638,18246.8
639,18275.4
640,18304
641,18332.6
642,18361.2
643,18389.8
644,18418.4
645,18447
646,18475.6
647,18504.2
648,18532.8
649,18561.4
650,18590
651,18618.6
652,18647.2
653,18675.8
654,18704.4
655,18733
656,18761.6
657,18790.2
658,18818.8
659,18847.4
660,18876
661,18904.6
662,18933.2
663,18961.8
664,18990.4
665,19019
666,19047.6
667,19076.2
668,19104.8
669,19133.4
670,19162
671,19190.6
672,19219.2
673,19247.8
674,19276.4
675,19305
676,19333.6
677,19362.2
678,19390.8
679,19419.4
680,19448
681,19476.6
682,19505.2
683,19533.8
684,19562.4
685,19591
686,19619.6
687,19648.2
688,19676.8
689,19705.4
690,19734
691,19762.6
692,19791.2
693,19819.8
694,19848.4
695,19877
696,19905.6
697,19934.2
698,19962.8
699,19991.4
700,20020
701,20048.6
702,20077.2
703,20105.8
704,20134.4
705,20163
706,20191.6
707,20220.2
708,20248.8
709,20277.4
710,20306
711,20334.6
712,20363.2
713,20391.8
714,20420.4
715,20449
716,20477.6
717,20506.2
718,20534.8
719,20563.4
720,20592
721,20620.6
722,20649.2
723,20677.8
724,20706.4
725,20735
726,20763.6
727,20792.2
728,20820.8
729,20849.4
730,20878
731,20906.6
732,20935.2
733,20963.8
734,20992.4
735,21021
736,21049.6
737,21078.2
738,21106.8
739,21135.4
740,21164
741,21192.6
742,21221.2
743,21249.8
744,21278.4
745,21307
746,21335.6
747,21364.2
748,21392.8
749,21421.4
750,21450
751,21478.6
752,21507.2
753,21535.8
754,21564.4
755,21593
756,21621.6
757,21650.2
758,21678.8
759,21707.4
760,21736
761,21764.6
762,21793.2
763,21821.8
764,21850.4
765,21879
766,21907.6
767,21936.2
768,21964.8
769,21993.4
770,22022
771,22050.6
772,22079.2
773,22107.8
774,22136.4
775,22165
776,22193.6
777,22222.2
778,22250.8
779,22279.4
780,22308
781,22336.6
782,22365.2
783,22393.8
784,22422.4
785,22451
786,22479.6
787,22508.2
788,22536.8
789,22565.4
790,22594
791,22622.6
792,22651.2
793,22679.8
794,22708.4
795,22737
796,22765.6
797,22794.2
798,22822.8
799,22851.4
800,22880
801,22908.6
802,22937.2
803,22965.8
804,22994.4
805,23023
806,23051.6
807,23080.2
808,23108.8
809,23137.4
810,23166
811,23194.6
812,23223.2
813,23251.8
814,23280.4
815,23309
816,23337.6
817,23366.2
818,23394.8
819,23423.4
820,23452
821,23480.6
822,23509.2
823,23537.8
824,23566.4
825,23595
826,23623.6
827,23652.2
828,23680.8
829,23709.4
830,23738
831,23766.6
832,23795.2
833,23823.8
834,23852.4
835,23881
836,23909.6
837,23938.2
838,23966.8
839,23995.4
840,24024
841,24052.6
842,24081.2
843,24109.8
844,24138.4
845,24167
846,24195.6
847,24224.2
848,24252.8
849,24281.4
850,24310
851,24338.6
852,24367.2
853,24395.8
854,24424.4
855,24453
856,24481.6
857,24510.2
858,24538.8
859,24567.4
860,24596
861,24624.6
862,24653.2
863,24681.8
864,24710.4
865,24739
866,24767.6
867,24796.2
868,24824.8
869,24853.4
870,24882
871,24910.6
872,24939.2
873,24967.8
874,24996.4
875,25025
876,25053.6
877,25082.2
878,25110.8
879,25139.4
880,25168
881,25196.6
882,25225.2
883,25253.8
884,25282.4
885,25311
886,25339.6
887,25368.2
888,25396.8
889,25425.4
890,25454
