Machines,Total (hrs/yr)
1,64.06
2,128.12
3,192.18
4,256.24
5,320.3
6,384.36
7,448.42
8,512.48
9,576.54
10,640.6
11,704.66
12,768.72
13,832.78
14,896.84
15,960.9
16,1024.96
17,1089.02
18,1153.08
19,1217.14
20,1281.2
21,1345.26
22,1409.32
23,1473.38
24,1537.44
25,1601.5
26,1665.56
27,1729.62
28,1793.68
29,1857.74
30,1921.8
31,1985.86
32,2049.92
33,2113.98
34,2178.04
35,2242.1
36,2306.16
37,2370.22
38,2434.28
39,2498.34
40,2562.4
41,2626.46
42,2690.52
43,2754.58
44,2818.64
45,2882.7
46,2946.76
47,3010.82
48,3074.88
49,3138.94
50,3203
51,3267.06
52,3331.12
53,3395.18
54,3459.24
55,3523.3
56,3587.36
57,3651.42
58,3715.48
59,3779.54
60,3843.6
61,3907.66
62,3971.72
63,4035.78
64,4099.84
65,4163.9
66,4227.96
67,4292.02
68,4356.08
69,4420.14
70,4484.2
71,4548.26
72,4612.32
73,4676.38
74,4740.44
75,4804.5
76,4868.56
77,4932.62
78,4996.68
79,5060.74
80,5124.8
81,5188.86
82,5252.92
83,5316.98
84,5381.04
85,5445.1
86,5509.16
87,5573.22
88,5637.28
89,5701.34
90,5765.4
91,5829.46
92,5893.52
93,5957.58
94,6021.64
95,6085.7
96,6149.76
97,6213.82
98,6277.88
99,6341.94
100,6406
101,6470.06
102,6534.12
103,6598.18
104,6662.24
105,6726.3
106,6790.36
107,6854.42
108,6918.48
109,6982.54
110,7046.6
111,7110.66
112,7174.72
113,7238.78
114,7302.84
115,7366.9
116,7430.96
117,7495.02
118,7559.08
119,7623.14
120,7687.2
121,7751.26
122,7815.32
123,7879.38
124,7943.44
125,8007.5
126,8071.56
127,8135.62
128,8199.68
129,8263.74
130,8327.8
131,8391.86
132,8455.92
133,8519.98
134,8584.04
135,8648.1
136,8712.16
137,8776.22
138,8840.28
139,8904.34
140,8968.4
141,9032.46
142,9096.52
143,9160.58
144,9224.64
145,9288.7
146,9352.76
147,9416.82
148,9480.88
149,9544.94
150,9609
151,9673.06
152,9737.12
153,9801.18
154,9865.24
155,9929.3
156,9993.36
157,10057.42
158,10121.48
159,10185.54
160,10249.6
161,10313.66
162,10377.72
163,10441.78
164,10505.84
165,10569.9
166,10633.96
167,10698.02
168,10762.08
169,10826.14
170,10890.2
171,10954.26
172,11018.32
173,11082.38
174,11146.44
175,11210.5
176,11274.56
177,11338.62
178,11402.68
179,11466.74
180,11530.8
181,11594.86
182,11658.92
183,11722.98
184,11787.04
185,11851.1
186,11915.16
187,11979.22
188,12043.28
189,12107.34
190,12171.4
191,12235.46
192,12299.52
193,12363.58
194,12427.64
195,12491.7
196,12555.76
197,12619.82
198,12683.88
199,12747.94
200,12812
201,12876.06
202,12940.12
203,13004.18
204,13068.24
205,13132.3
206,13196.36
207,13260.42
208,13324.48
209,13388.54
210,13452.6
211,13516.66
212,13580.72
213,13644.78
214,13708.84
215,13772.9
216,13836.96
217,13901.02
218,13965.08
219,14029.14
220,14093.2
221,14157.26
222,14221.32
223,14285.38
224,14349.44
225,14413.5
226,14477.56
227,14541.62
228,14605.68
229,14669.74
230,14733.8
231,14797.86
232,14861.92
233,14925.98
234,14990.04
235,15054.1
