Machines,Total (hrs/yr)
1,1.1
2,2.2
3,3.3
4,4.4
5,5.5
6,6.6
7,7.7
8,8.8
9,9.9
10,11
11,12.1
12,13.2
13,14.3
14,15.4
15,16.5
16,17.6
17,18.7
18,19.8
19,20.9
20,22
21,23.1
22,24.2
23,25.3
24,26.4
25,27.5
26,28.6
27,29.7
28,30.8
29,31.9
30,33
31,34.1
32,35.2
33,36.3
34,37.4
35,38.5
36,39.6
37,40.7
38,41.8
39,42.9
40,44
41,45.1
42,46.2
43,47.3
44,48.4
45,49.5
46,50.6
47,51.7
48,52.8
49,53.9
50,55
51,56.1
52,57.2
53,58.3
54,59.4
55,60.5
56,61.6
57,62.7
58,63.8
59,64.9
60,66
61,67.1
62,68.2
63,69.3
64,70.4
65,71.5
66,72.6
67,73.7
68,74.8
69,75.9
70,77
71,78.1
72,79.2
73,80.3
74,81.4
75,82.5
76,83.6
77,84.7
78,85.8
79,86.9
80,88
81,89.1
82,90.2
83,91.3
84,92.4
85,93.5
86,94.6
87,95.7
88,96.8
89,97.9
90,99
91,100.1
92,101.2
93,102.3
94,103.4
95,104.5
96,105.6
97,106.7
98,107.8
99,108.9
100,110
101,111.1
102,112.2
103,113.3
104,114.4
105,115.5
106,116.6
107,117.7
108,118.8
109,119.9
110,121
111,122.1
112,123.2
113,124.3
114,125.4
115,126.5
116,127.6
117,128.7
118,129.8
119,130.9
120,132
121,133.1
122,134.2
123,135.3
124,136.4
125,137.5
126,138.6
127,139.7
128,140.8
129,141.9
130,143
131,144.1
132,145.2
133,146.3
134,147.4
135,148.5
136,149.6
137,150.7
138,151.8
139,152.9
140,154
141,155.1
142,156.2
143,157.3
144,158.4
145,159.5
146,160.6
147,161.7
148,162.8
149,163.9
150,165
151,166.1
152,167.2
153,168.3
154,169.4
155,170.5
156,171.6
157,172.7
158,173.8
159,174.9
160,176
161,177.1
162,178.2
163,179.3
164,180.4
165,181.5
166,182.6
167,183.7
168,184.8
169,185.9
170,187
171,188.1
172,189.2
173,190.3
174,191.4
175,192.5
176,193.6
177,194.7
178,195.8
179,196.9
180,198
181,199.1
182,200.2
183,201.3
184,202.4
185,203.5
186,204.6
187,205.7
188,206.8
189,207.9
190,209
191,210.1
192,211.2
193,212.3
194,213.4
195,214.5
196,215.6
197,216.7
198,217.8
199,218.9
200,220
201,221.1
202,222.2
203,223.3
204,224.4
205,225.5
206,226.6
207,227.7
208,228.8
209,229.9
210,231
211,232.1
212,233.2
213,234.3
214,235.4
215,236.5
216,237.6
217,238.7
218,239.8
219,240.9
220,242
221,243.1
222,244.2
223,245.3
224,246.4
225,247.5
226,248.6
227,249.7
228,250.8
229,251.9
230,253
231,254.1
232,255.2
233,256.3
234,257.4
235,258.5
236,259.6
237,260.7
238,261.8
239,262.9
240,264
241,265.1
242,266.2
243,267.3
244,268.4
245,269.5
246,270.6
247,271.7
248,272.8
249,273.9
250,275
251,276.1
252,277.2
253,278.3
254,279.4
255,280.5
256,281.6
257,282.7
258,283.8
259,284.9
260,286
261,287.1
262,288.2
263,289.3
264,290.4
265,291.5
266,292.6
267,293.7
268,294.8
269,295.9
270,297
271,298.1
272,299.2
273,300.3
274,301.4
275,302.5
276,303.6
277,304.7
278,305.8
279,306.9
280,308
281,309.1
282,310.2
283,311.3
284,312.4
285,313.5
286,314.6
287,315.7
288,316.8
289,317.9
290,319
291,320.1
292,321.2
293,322.3
294,323.4
295,324.5
296,325.6
297,326.7
298,327.8
299,328.9
300,330
301,331.1
302,332.2
303,333.3
304,334.4
305,335.5
306,336.6
307,337.7
308,338.8
309,339.9
310,341
311,342.1
312,343.2
313,344.3
314,345.4
315,346.5
316,347.6
317,348.7
318,349.8
319,350.9
320,352
321,353.1
322,354.2
323,355.3
324,356.4
325,357.5
326,358.6
327,359.7
328,360.8
329,361.9
330,363
331,364.1
332,365.2
333,366.3
334,367.4
335,368.5
336,369.6
337,370.7
338,371.8
339,372.9
340,374
341,375.1
342,376.2
343,377.3
344,378.4
345,379.5
346,380.6
347,381.7
348,382.8
349,383.9
350,385
351,386.1
352,387.2
353,388.3
354,389.4
355,390.5
356,391.6
357,392.7
358,393.8
359,394.9
360,396
361,397.1
362,398.2
363,399.3
364,400.4
365,401.5
366,402.6
367,403.7
368,404.8
369,405.9
370,407
371,408.1
372,409.2
373,410.3
374,411.4
375,412.5
376,413.6
377,414.7
378,415.8
379,416.9
380,418
381,419.1
382,420.2
383,421.3
384,422.4
385,423.5
386,424.6
387,425.7
388,426.8
389,427.9
390,429
391,430.1
392,431.2
393,432.3
394,433.4
395,434.5
396,435.6
397,436.7
398,437.8
399,438.9
400,440
401,441.1
402,442.2
403,443.3
404,444.4
405,445.5
406,446.6
407,447.7
408,448.8
409,449.9
410,451
411,452.1
412,453.2
413,454.3
414,455.4
415,456.5
416,457.6
417,458.7
418,459.8
419,460.9
420,462
421,463.1
422,464.2
423,465.3
424,466.4
425,467.5
426,468.6
427,469.7
428,470.8
429,471.9
430,473
431,474.1
432,475.2
433,476.3
