Machines,Total (hrs/yr)
1,46.8
2,93.6
3,140.4
4,187.2
5,234
6,280.8
7,327.6
8,374.4
9,421.2
10,468
11,514.8
12,561.6
13,608.4
14,655.2
15,702
16,748.8
17,795.6
18,842.4
19,889.2
20,936
21,982.8
22,1029.6
23,1076.4
24,1123.2
25,1170
26,1216.8
27,1263.6
28,1310.4
29,1357.2
30,1404
31,1450.8
32,1497.6
33,1544.4
34,1591.2
35,1638
36,1684.8
37,1731.6
38,1778.4
39,1825.2
40,1872
41,1918.8
42,1965.6
43,2012.4
44,2059.2
45,2106
46,2152.8
47,2199.6
48,2246.4
49,2293.2
50,2340
51,2386.8
52,2433.6
53,2480.4
54,2527.2
55,2574
56,2620.8
57,2667.6
58,2714.4
59,2761.2
60,2808
61,2854.8
62,2901.6
63,2948.4
64,2995.2
65,3042
66,3088.8
67,3135.6
68,3182.4
69,3229.2
70,3276
71,3322.8
72,3369.6
73,3416.4
74,3463.2
75,3510
76,3556.8
77,3603.6
78,3650.4
79,3697.2
80,3744
81,3790.8
82,3837.6
83,3884.4
84,3931.2
85,3978
86,4024.8
87,4071.6
88,4118.4
89,4165.2
90,4212
91,4258.8
92,4305.6
93,4352.4
94,4399.2
95,4446
96,4492.8
97,4539.6
98,4586.4
99,4633.2
100,4680
101,4726.8
102,4773.6
103,4820.4
104,4867.2
105,4914
106,4960.8
107,5007.6
108,5054.4
109,5101.2
110,5148
111,5194.8
112,5241.6
113,5288.4
114,5335.2
115,5382
116,5428.8
117,5475.6
118,5522.4
119,5569.2
120,5616
121,5662.8
122,5709.6
123,5756.4
124,5803.2
125,5850
126,5896.8
127,5943.6
128,5990.4
129,6037.2
130,6084
131,6130.8
132,6177.6
133,6224.4
134,6271.2
135,6318
136,6364.8
137,6411.6
138,6458.4
139,6505.2
140,6552
141,6598.8
142,6645.6
143,6692.4
144,6739.2
145,6786
146,6832.8
147,6879.6
148,6926.4
149,6973.2
150,7020
151,7066.8
152,7113.6
153,7160.4
154,7207.2
155,7254
156,7300.8
157,7347.6
158,7394.4
159,7441.2
160,7488
161,7534.8
162,7581.6
163,7628.4
164,7675.2
165,7722
166,7768.8
167,7815.6
168,7862.4
169,7909.2
170,7956
171,8002.8
172,8049.6
173,8096.4
174,8143.2
175,8190
176,8236.8
177,8283.6
178,8330.4
179,8377.2
180,8424
181,8470.8
182,8517.6
183,8564.4
184,8611.2
185,8658
