Machines,Total (hrs/yr)
1,28.5
2,57
3,85.5
4,114
5,142.5
6,171
7,199.5
8,228
9,256.5
10,285
11,313.5
12,342
13,370.5
14,399
15,427.5
16,456
17,484.5
18,513
19,541.5
20,570
21,598.5
22,627
23,655.5
24,684
25,712.5
26,741
27,769.5
28,798
29,826.5
30,855
31,883.5
32,912
33,940.5
34,969
35,997.5
36,1026
37,1054.5
38,1083
39,1111.5
40,1140
41,1168.5
42,1197
43,1225.5
44,1254
45,1282.5
46,1311
47,1339.5
48,1368
49,1396.5
50,1425
51,1453.5
52,1482
53,1510.5
54,1539
55,1567.5
56,1596
57,1624.5
58,1653
59,1681.5
60,1710
61,1738.5
62,1767
63,1795.5
64,1824
65,1852.5
66,1881
67,1909.5
68,1938
69,1966.5
70,1995
71,2023.5
72,2052
73,2080.5
74,2109
75,2137.5
76,2166
77,2194.5
78,2223
79,2251.5
80,2280
81,2308.5
82,2337
83,2365.5
84,2394
85,2422.5
86,2451
87,2479.5
88,2508
89,2536.5
90,2565
91,2593.5
92,2622
93,2650.5
94,2679
95,2707.5
96,2736
97,2764.5
98,2793
99,2821.5
100,2850
101,2878.5
102,2907
103,2935.5
104,2964
105,2992.5
106,3021
107,3049.5
108,3078
109,3106.5
110,3135
111,3163.5
112,3192
113,3220.5
114,3249
115,3277.5
116,3306
117,3334.5
118,3363
119,3391.5
120,3420
121,3448.5
122,3477
123,3505.5
124,3534
125,3562.5
126,3591
127,3619.5
128,3648
129,3676.5
130,3705
131,3733.5
132,3762
133,3790.5
134,3819
135,3847.5
136,3876
137,3904.5
138,3933
139,3961.5
140,3990
141,4018.5
142,4047
143,4075.5
144,4104
145,4132.5
146,4161
147,4189.5
148,4218
149,4246.5
150,4275
151,4303.5
152,4332
153,4360.5
154,4389
155,4417.5
156,4446
157,4474.5
158,4503
159,4531.5
160,4560
161,4588.5
162,4617
163,4645.5
164,4674
165,4702.5
166,4731
167,4759.5
168,4788
169,4816.5
170,4845
171,4873.5
172,4902
173,4930.5
174,4959
175,4987.5
176,5016
177,5044.5
178,5073
179,5101.5
180,5130
181,5158.5
182,5187
183,5215.5
184,5244
185,5272.5
186,5301
187,5329.5
188,5358
189,5386.5
190,5415
191,5443.5
192,5472
193,5500.5
194,5529
195,5557.5
196,5586
197,5614.5
198,5643
199,5671.5
200,5700
201,5728.5
202,5757
203,5785.5
204,5814
205,5842.5
206,5871
207,5899.5
208,5928
209,5956.5
210,5985
211,6013.5
212,6042
213,6070.5
214,6099
215,6127.5
216,6156
217,6184.5
218,6213
219,6241.5
220,6270
221,6298.5
222,6327
223,6355.5
224,6384
225,6412.5
226,6441
227,6469.5
228,6498
229,6526.5
230,6555
231,6583.5
232,6612
233,6640.5
234,6669
235,6697.5
236,6726
237,6754.5
238,6783
239,6811.5
240,6840
241,6868.5
242,6897
243,6925.5
244,6954
245,6982.5
246,7011
247,7039.5
248,7068
249,7096.5
250,7125
251,7153.5
252,7182
253,7210.5
254,7239
255,7267.5
256,7296
257,7324.5
258,7353
259,7381.5
260,7410
261,7438.5
262,7467
263,7495.5
264,7524
265,7552.5
266,7581
267,7609.5
268,7638
269,7666.5
270,7695
271,7723.5
272,7752
273,7780.5
274,7809
275,7837.5
276,7866
277,7894.5
278,7923
279,7951.5
280,7980
281,8008.5
282,8037
283,8065.5
284,8094
285,8122.5
286,8151
287,8179.5
288,8208
289,8236.5
290,8265
291,8293.5
292,8322
293,8350.5
294,8379
295,8407.5
296,8436
297,8464.5
298,8493
299,8521.5
300,8550
301,8578.5
302,8607
303,8635.5
304,8664
305,8692.5
306,8721
307,8749.5
308,8778
309,8806.5
310,8835
311,8863.5
312,8892
313,8920.5
314,8949
315,8977.5
316,9006
317,9034.5
318,9063
319,9091.5
320,9120
321,9148.5
322,9177
323,9205.5
324,9234
325,9262.5
326,9291
327,9319.5
328,9348
329,9376.5
330,9405
331,9433.5
332,9462
333,9490.5
334,9519
335,9547.5
336,9576
337,9604.5
338,9633
339,9661.5
340,9690
341,9718.5
342,9747
343,9775.5
344,9804
345,9832.5
346,9861
347,9889.5
348,9918
349,9946.5
350,9975
351,10003.5
352,10032
353,10060.5
354,10089
355,10117.5
356,10146
357,10174.5
358,10203
359,10231.5
360,10260
361,10288.5
362,10317
363,10345.5
364,10374
365,10402.5
366,10431
367,10459.5
368,10488
369,10516.5
370,10545
371,10573.5
372,10602
373,10630.5
374,10659
375,10687.5
376,10716
377,10744.5
378,10773
379,10801.5
380,10830
381,10858.5
382,10887
383,10915.5
384,10944
385,10972.5
386,11001
387,11029.5
388,11058
389,11086.5
390,11115
391,11143.5
392,11172
393,11200.5
394,11229
395,11257.5
396,11286
397,11314.5
398,11343
399,11371.5
400,11400
401,11428.5
402,11457
403,11485.5
404,11514
405,11542.5
406,11571
407,11599.5
408,11628
409,11656.5
410,11685
411,11713.5
412,11742
413,11770.5
414,11799
415,11827.5
416,11856
417,11884.5
418,11913
419,11941.5
420,11970
421,11998.5
422,12027
423,12055.5
424,12084
425,12112.5
426,12141
427,12169.5
428,12198
429,12226.5
430,12255
431,12283.5
432,12312
433,12340.5
434,12369
435,12397.5
436,12426
437,12454.5
438,12483
439,12511.5
440,12540
441,12568.5
442,12597
443,12625.5
444,12654
445,12682.5
446,12711
447,12739.5
448,12768
449,12796.5
450,12825
451,12853.5
452,12882
453,12910.5
454,12939
455,12967.5
456,12996
457,13024.5
458,13053
459,13081.5
460,13110
461,13138.5
462,13167
463,13195.5
464,13224
465,13252.5
466,13281
467,13309.5
468,13338
469,13366.5
470,13395
471,13423.5
472,13452
473,13480.5
474,13509
475,13537.5
476,13566
477,13594.5
478,13623
479,13651.5
480,13680
481,13708.5
482,13737
483,13765.5
484,13794
485,13822.5
486,13851
487,13879.5
488,13908
489,13936.5
490,13965
491,13993.5
492,14022
493,14050.5
494,14079
495,14107.5
496,14136
497,14164.5
498,14193
499,14221.5
500,14250
501,14278.5
502,14307
503,14335.5
504,14364
505,14392.5
506,14421
507,14449.5
508,14478
509,14506.5
510,14535
511,14563.5
512,14592
513,14620.5
514,14649
515,14677.5
516,14706
517,14734.5
518,14763
519,14791.5
520,14820
521,14848.5
522,14877
523,14905.5
524,14934
525,14962.5
526,14991
527,15019.5
528,15048
529,15076.5
530,15105
531,15133.5
532,15162
533,15190.5
534,15219
535,15247.5
536,15276
537,15304.5
538,15333
539,15361.5
540,15390
541,15418.5
542,15447
543,15475.5
544,15504
545,15532.5
546,15561
547,15589.5
548,15618
549,15646.5
550,15675
551,15703.5
552,15732
553,15760.5
554,15789
555,15817.5
556,15846
557,15874.5
558,15903
559,15931.5
560,15960
561,15988.5
562,16017
563,16045.5
564,16074
565,16102.5
566,16131
567,16159.5
568,16188
569,16216.5
570,16245
571,16273.5
572,16302
573,16330.5
574,16359
575,16387.5
576,16416
577,16444.5
578,16473
579,16501.5
580,16530
581,16558.5
582,16587
583,16615.5
584,16644
585,16672.5
586,16701
587,16729.5
588,16758
589,16786.5
590,16815
591,16843.5
592,16872
593,16900.5
594,16929
595,16957.5
596,16986
597,17014.5
598,17043
599,17071.5
600,17100
601,17128.5
602,17157
603,17185.5
604,17214
605,17242.5
606,17271
607,17299.5
608,17328
609,17356.5
610,17385
611,17413.5
612,17442
613,17470.5
614,17499
615,17527.5
616,17556
617,17584.5
618,17613
619,17641.5
620,17670
621,17698.5
622,17727
623,17755.5
624,17784
625,17812.5
626,17841
627,17869.5
628,17898
629,17926.5
630,17955
631,17983.5
632,18012
633,18040.5
634,18069
635,18097.5
636,18126
637,18154.5
638,18183
639,18211.5
640,18240
641,18268.5
642,18297
643,18325.5
644,18354
645,18382.5
646,18411
647,18439.5
648,18468
649,18496.5
650,18525
651,18553.5
652,18582
653,18610.5
654,18639
655,18667.5
656,18696
657,18724.5
658,18753
659,18781.5
660,18810
661,18838.5
662,18867
663,18895.5
664,18924
665,18952.5
666,18981
667,19009.5
668,19038
669,19066.5
670,19095
671,19123.5
672,19152
673,19180.5
674,19209
675,19237.5
676,19266
677,19294.5
678,19323
679,19351.5
680,19380
681,19408.5
682,19437
683,19465.5
684,19494
685,19522.5
686,19551
687,19579.5
688,19608
689,19636.5
690,19665
