Machines,Total (hrs/yr)
1,32.42
2,64.84
3,97.26
4,129.68
5,162.1
6,194.52
7,226.94
8,259.36
9,291.78
10,324.2
11,356.62
12,389.04
13,421.46
14,453.88
15,486.3
16,518.72
17,551.14
18,583.56
19,615.98
20,648.4
21,680.82
22,713.24
23,745.66
24,778.08
25,810.5
26,842.92
27,875.34
28,907.76
29,940.18
30,972.6
31,1005.02
32,1037.44
33,1069.86
34,1102.28
35,1134.7
36,1167.12
37,1199.54
38,1231.96
39,1264.38
40,1296.8
41,1329.22
42,1361.64
43,1394.06
44,1426.48
45,1458.9
46,1491.32
47,1523.74
48,1556.16
49,1588.58
50,1621
51,1653.42
52,1685.84
53,1718.26
54,1750.68
55,1783.1
56,1815.52
57,1847.94
58,1880.36
59,1912.78
60,1945.2
61,1977.62
62,2010.04
63,2042.46
64,2074.88
65,2107.3
66,2139.72
67,2172.14
68,2204.56
69,2236.98
70,2269.4
71,2301.82
72,2334.24
73,2366.66
74,2399.08
75,2431.5
76,2463.92
77,2496.34
78,2528.76
79,2561.18
80,2593.6
81,2626.02
82,2658.44
83,2690.86
84,2723.28
85,2755.7
86,2788.12
87,2820.54
88,2852.96
89,2885.38
90,2917.8
91,2950.22
92,2982.64
93,3015.06
94,3047.48
95,3079.9
96,3112.32
97,3144.74
98,3177.16
99,3209.58
100,3242
101,3274.42
102,3306.84
103,3339.26
104,3371.68
105,3404.1
106,3436.52
107,3468.94
108,3501.36
109,3533.78
110,3566.2
111,3598.62
112,3631.04
113,3663.46
114,3695.88
115,3728.3
116,3760.72
117,3793.14
118,3825.56
119,3857.98
120,3890.4
121,3922.82
122,3955.24
123,3987.66
124,4020.08
125,4052.5
126,4084.92
127,4117.34
128,4149.76
129,4182.18
130,4214.6
131,4247.02
132,4279.44
133,4311.86
134,4344.28
135,4376.7
136,4409.12
137,4441.54
138,4473.96
139,4506.38
140,4538.8
141,4571.22
142,4603.64
143,4636.06
144,4668.48
145,4700.9
146,4733.32
147,4765.74
148,4798.16
149,4830.58
150,4863
151,4895.42
152,4927.84
153,4960.26
154,4992.68
155,5025.1
156,5057.52
157,5089.94
158,5122.36
159,5154.78
160,5187.2
161,5219.62
