Machines,Total (hrs/yr)
1,3.53
2,7.06
3,10.59
4,14.12
5,17.65
6,21.18
7,24.71
8,28.24
9,31.77
10,35.3
11,38.83
12,42.36
13,45.89
14,49.42
15,52.95
16,56.48
17,60.01
18,63.54
19,67.07
20,70.6
21,74.13
22,77.66
23,81.19
24,84.72
25,88.25
26,91.78
27,95.31
28,98.84
29,102.37
30,105.9
31,109.43
32,112.96
33,116.49
34,120.02
35,123.55
36,127.08
37,130.61
38,134.14
39,137.67
40,141.2
41,144.73
42,148.26
43,151.79
44,155.32
45,158.85
46,162.38
47,165.91
48,169.44
49,172.97
50,176.5
51,180.03
52,183.56
53,187.09
54,190.62
55,194.15
56,197.68
57,201.21
58,204.74
59,208.27
60,211.8
61,215.33
62,218.86
63,222.39
64,225.92
65,229.45
66,232.98
67,236.51
68,240.04
69,243.57
70,247.1
71,250.63
72,254.16
73,257.69
74,261.22
75,264.75
76,268.28
77,271.81
78,275.34
79,278.87
80,282.4
81,285.93
82,289.46
83,292.99
84,296.52
85,300.05
86,303.58
87,307.11
88,310.64
89,314.17
90,317.7
91,321.23
92,324.76
93,328.29
94,331.82
95,335.35
96,338.88
97,342.41
98,345.94
99,349.47
100,353
101,356.53
102,360.06
103,363.59
104,367.12
105,370.65
106,374.18
107,377.71
108,381.24
109,384.77
110,388.3
111,391.83
112,395.36
113,398.89
114,402.42
115,405.95
116,409.48
117,413.01
118,416.54
119,420.07
120,423.6
121,427.13
122,430.66
123,434.19
124,437.72
125,441.25
126,444.78
127,448.31
128,451.84
129,455.37
130,458.9
131,462.43
132,465.96
133,469.49
134,473.02
135,476.55
136,480.08
137,483.61
138,487.14
139,490.67
140,494.2
141,497.73
142,501.26
143,504.79
144,508.32
145,511.85
146,515.38
147,518.91
148,522.44
149,525.97
150,529.5
151,533.03
152,536.56
153,540.09
154,543.62
155,547.15
156,550.68
157,554.21
158,557.74
159,561.27
160,564.8
161,568.33
162,571.86
163,575.39
164,578.92
165,582.45
166,585.98
167,589.51
168,593.04
169,596.57
170,600.1
171,603.63
172,607.16
173,610.69
174,614.22
175,617.75
176,621.28
177,624.81
178,628.34
179,631.87
180,635.4
181,638.93
182,642.46
183,645.99
184,649.52
185,653.05
186,656.58
187,660.11
188,663.64
189,667.17
190,670.7
191,674.23
192,677.76
193,681.29
194,684.82
195,688.35
196,691.88
197,695.41
198,698.94
199,702.47
200,706
201,709.53
202,713.06
203,716.59
204,720.12
205,723.65
206,727.18
207,730.71
208,734.24
209,737.77
210,741.3
211,744.83
212,748.36
213,751.89
214,755.42
215,758.95
216,762.48
217,766.01
218,769.54
219,773.07
220,776.6
221,780.13
222,783.66
223,787.19
224,790.72
225,794.25
226,797.78
227,801.31
228,804.84
229,808.37
230,811.9
231,815.43
232,818.96
233,822.49
234,826.02
235,829.55
236,833.08
237,836.61
238,840.14
239,843.67
240,847.2
241,850.73
242,854.26
243,857.79
244,861.32
245,864.85
246,868.38
247,871.91
248,875.44
249,878.97
250,882.5
251,886.03
252,889.56
253,893.09
254,896.62
255,900.15
256,903.68
257,907.21
258,910.74
259,914.27
260,917.8
261,921.33
262,924.86
263,928.39
264,931.92
265,935.45
266,938.98
267,942.51
268,946.04
269,949.57
270,953.1
271,956.63
272,960.16
273,963.69
274,967.22
275,970.75
276,974.28
277,977.81
278,981.34
279,984.87
280,988.4
281,991.93
282,995.46
283,998.99
284,1002.52
285,1006.05
286,1009.58
287,1013.11
288,1016.64
289,1020.17
