Machines,Total (hrs/yr)
1,16.06
2,32.12
3,48.18
4,64.24
5,80.3
6,96.36
7,112.42
8,128.48
9,144.54
10,160.6
11,176.66
12,192.72
13,208.78
14,224.84
15,240.9
16,256.96
17,273.02
18,289.08
19,305.14
20,321.2
21,337.26
22,353.32
23,369.38
24,385.44
25,401.5
26,417.56
27,433.62
28,449.68
29,465.74
30,481.8
31,497.86
32,513.92
33,529.98
34,546.04
35,562.1
36,578.16
37,594.22
38,610.28
39,626.34
40,642.4
41,658.46
42,674.52
43,690.58
44,706.64
45,722.7
46,738.76
47,754.82
48,770.88
49,786.94
50,803
51,819.06
52,835.12
53,851.18
54,867.24
55,883.3
56,899.36
57,915.42
58,931.48
59,947.54
60,963.6
61,979.66
62,995.72
63,1011.78
64,1027.84
65,1043.9
66,1059.96
67,1076.02
68,1092.08
69,1108.14
70,1124.2
71,1140.26
72,1156.32
73,1172.38
74,1188.44
75,1204.5
76,1220.56
77,1236.62
78,1252.68
79,1268.74
80,1284.8
81,1300.86
82,1316.92
83,1332.98
84,1349.04
85,1365.1
86,1381.16
87,1397.22
88,1413.28
89,1429.34
90,1445.4
91,1461.46
92,1477.52
93,1493.58
94,1509.64
95,1525.7
96,1541.76
97,1557.82
98,1573.88
99,1589.94
100,1606
101,1622.06
102,1638.12
103,1654.18
104,1670.24
105,1686.3
106,1702.36
107,1718.42
108,1734.48
109,1750.54
110,1766.6
111,1782.66
112,1798.72
113,1814.78
114,1830.84
115,1846.9
116,1862.96
117,1879.02
118,1895.08
119,1911.14
120,1927.2
121,1943.26
122,1959.32
123,1975.38
124,1991.44
125,2007.5
126,2023.56
127,2039.62
128,2055.68
129,2071.74
130,2087.8
131,2103.86
132,2119.92
133,2135.98
134,2152.04
135,2168.1
136,2184.16
137,2200.22
138,2216.28
139,2232.34
140,2248.4
141,2264.46
142,2280.52
143,2296.58
144,2312.64
145,2328.7
146,2344.76
147,2360.82
148,2376.88
149,2392.94
150,2409
151,2425.06
152,2441.12
153,2457.18
154,2473.24
155,2489.3
156,2505.36
157,2521.42
158,2537.48
159,2553.54
160,2569.6
161,2585.66
162,2601.72
163,2617.78
164,2633.84
165,2649.9
166,2665.96
167,2682.02
168,2698.08
169,2714.14
170,2730.2
171,2746.26
172,2762.32
173,2778.38
174,2794.44
175,2810.5
176,2826.56
177,2842.62
178,2858.68
179,2874.74
180,2890.8
181,2906.86
182,2922.92
183,2938.98
184,2955.04
185,2971.1
186,2987.16
187,3003.22
188,3019.28
189,3035.34
190,3051.4
191,3067.46
192,3083.52
193,3099.58
194,3115.64
195,3131.7
196,3147.76
197,3163.82
198,3179.88
199,3195.94
200,3212
201,3228.06
202,3244.12
203,3260.18
204,3276.24
205,3292.3
206,3308.36
207,3324.42
208,3340.48
209,3356.54
210,3372.6
211,3388.66
212,3404.72
213,3420.78
214,3436.84
215,3452.9
216,3468.96
217,3485.02
218,3501.08
219,3517.14
220,3533.2
221,3549.26
222,3565.32
223,3581.38
224,3597.44
225,3613.5
226,3629.56
227,3645.62
228,3661.68
229,3677.74
230,3693.8
231,3709.86
232,3725.92
233,3741.98
234,3758.04
235,3774.1
236,3790.16
237,3806.22
238,3822.28
239,3838.34
240,3854.4
241,3870.46
242,3886.52
243,3902.58
244,3918.64
245,3934.7
246,3950.76
247,3966.82
248,3982.88
249,3998.94
250,4015
251,4031.06
252,4047.12
253,4063.18
254,4079.24
255,4095.3
256,4111.36
257,4127.42
258,4143.48
259,4159.54
260,4175.6
261,4191.66
262,4207.72
263,4223.78
264,4239.84
265,4255.9
266,4271.96
267,4288.02
268,4304.08
269,4320.14
270,4336.2
271,4352.26
272,4368.32
273,4384.38
274,4400.44
275,4416.5
276,4432.56
277,4448.62
278,4464.68
279,4480.74
280,4496.8
281,4512.86
282,4528.92
283,4544.98
284,4561.04
285,4577.1
286,4593.16
287,4609.22
288,4625.28
289,4641.34
290,4657.4
291,4673.46
292,4689.52
293,4705.58
294,4721.64
295,4737.7
296,4753.76
297,4769.82
298,4785.88
299,4801.94
300,4818
301,4834.06
302,4850.12
303,4866.18
304,4882.24
305,4898.3
306,4914.36
307,4930.42
308,4946.48
309,4962.54
310,4978.6
311,4994.66
312,5010.72
313,5026.78
314,5042.84
315,5058.9
316,5074.96
317,5091.02
318,5107.08
319,5123.14
320,5139.2
321,5155.26
322,5171.32
323,5187.38
324,5203.44
325,5219.5
326,5235.56
327,5251.62
328,5267.68
329,5283.74
330,5299.8
331,5315.86
332,5331.92
333,5347.98
334,5364.04
335,5380.1
336,5396.16
337,5412.22
338,5428.28
339,5444.34
340,5460.4
341,5476.46
342,5492.52
343,5508.58
344,5524.64
345,5540.7
346,5556.76
347,5572.82
348,5588.88
349,5604.94
350,5621
351,5637.06
352,5653.12
353,5669.18
354,5685.24
355,5701.3
356,5717.36
357,5733.42
358,5749.48
359,5765.54
360,5781.6
361,5797.66
362,5813.72
363,5829.78
364,5845.84
365,5861.9
366,5877.96
367,5894.02
368,5910.08
369,5926.14
370,5942.2
371,5958.26
372,5974.32
373,5990.38
374,6006.44
375,6022.5
376,6038.56
377,6054.62
378,6070.68
379,6086.74
380,6102.8
381,6118.86
382,6134.92
383,6150.98
384,6167.04
385,6183.1
386,6199.16
387,6215.22
388,6231.28
389,6247.34
390,6263.4
391,6279.46
392,6295.52
393,6311.58
394,6327.64
395,6343.7
396,6359.76
397,6375.82
398,6391.88
399,6407.94
400,6424
401,6440.06
402,6456.12
403,6472.18
404,6488.24
405,6504.3
406,6520.36
407,6536.42
408,6552.48
409,6568.54
410,6584.6
411,6600.66
412,6616.72
413,6632.78
414,6648.84
415,6664.9
416,6680.96
417,6697.02
418,6713.08
419,6729.14
420,6745.2
421,6761.26
422,6777.32
423,6793.38
424,6809.44
425,6825.5
426,6841.56
427,6857.62
428,6873.68
429,6889.74
430,6905.8
431,6921.86
432,6937.92
433,6953.98
434,6970.04
435,6986.1
436,7002.16
437,7018.22
438,7034.28
439,7050.34
440,7066.4
441,7082.46
442,7098.52
443,7114.58
444,7130.64
445,7146.7
446,7162.76
447,7178.82
448,7194.88
449,7210.94
450,7227
451,7243.06
452,7259.12
453,7275.18
454,7291.24
455,7307.3
456,7323.36
457,7339.42
458,7355.48
459,7371.54
460,7387.6
461,7403.66
462,7419.72
463,7435.78
464,7451.84
465,7467.9
466,7483.96
467,7500.02
468,7516.08
469,7532.14
470,7548.2
471,7564.26
472,7580.32
473,7596.38
474,7612.44
475,7628.5
476,7644.56
477,7660.62
478,7676.68
479,7692.74
480,7708.8
481,7724.86
482,7740.92
483,7756.98
484,7773.04
485,7789.1
486,7805.16
487,7821.22
488,7837.28
489,7853.34
490,7869.4
491,7885.46
492,7901.52
493,7917.58
