Machines,Total (hrs/yr)
1,19.02
2,38.04
3,57.06
4,76.08
5,95.1
6,114.12
7,133.14
8,152.16
9,171.18
10,190.2
11,209.22
12,228.24
13,247.26
14,266.28
15,285.3
16,304.32
17,323.34
18,342.36
19,361.38
20,380.4
21,399.42
22,418.44
23,437.46
24,456.48
25,475.5
26,494.52
27,513.54
28,532.56
29,551.58
30,570.6
31,589.62
32,608.64
33,627.66
34,646.68
35,665.7
36,684.72
37,703.74
38,722.76
39,741.78
40,760.8
41,779.82
42,798.84
43,817.86
44,836.88
45,855.9
46,874.92
47,893.94
48,912.96
49,931.98
50,951
51,970.02
52,989.04
53,1008.06
54,1027.08
55,1046.1
56,1065.12
57,1084.14
58,1103.16
59,1122.18
60,1141.2
61,1160.22
62,1179.24
63,1198.26
64,1217.28
65,1236.3
66,1255.32
67,1274.34
68,1293.36
69,1312.38
70,1331.4
71,1350.42
72,1369.44
73,1388.46
74,1407.48
75,1426.5
76,1445.52
77,1464.54
78,1483.56
79,1502.58
80,1521.6
81,1540.62
82,1559.64
83,1578.66
84,1597.68
85,1616.7
86,1635.72
87,1654.74
88,1673.76
89,1692.78
90,1711.8
91,1730.82
92,1749.84
93,1768.86
94,1787.88
95,1806.9
96,1825.92
97,1844.94
98,1863.96
99,1882.98
100,1902
101,1921.02
102,1940.04
103,1959.06
104,1978.08
105,1997.1
106,2016.12
107,2035.14
108,2054.16
109,2073.18
110,2092.2
111,2111.22
112,2130.24
113,2149.26
114,2168.28
115,2187.3
116,2206.32
117,2225.34
118,2244.36
119,2263.38
120,2282.4
121,2301.42
122,2320.44
123,2339.46
124,2358.48
125,2377.5
126,2396.52
127,2415.54
128,2434.56
129,2453.58
130,2472.6
131,2491.62
132,2510.64
133,2529.66
134,2548.68
135,2567.7
136,2586.72
137,2605.74
138,2624.76
139,2643.78
140,2662.8
141,2681.82
142,2700.84
143,2719.86
144,2738.88
145,2757.9
146,2776.92
147,2795.94
148,2814.96
149,2833.98
150,2853
151,2872.02
152,2891.04
153,2910.06
154,2929.08
155,2948.1
156,2967.12
157,2986.14
158,3005.16
159,3024.18
160,3043.2
161,3062.22
162,3081.24
163,3100.26
164,3119.28
165,3138.3
166,3157.32
167,3176.34
168,3195.36
169,3214.38
170,3233.4
171,3252.42
172,3271.44
173,3290.46
174,3309.48
175,3328.5
176,3347.52
177,3366.54
178,3385.56
179,3404.58
180,3423.6
181,3442.62
182,3461.64
183,3480.66
184,3499.68
185,3518.7
186,3537.72
187,3556.74
188,3575.76
189,3594.78
190,3613.8
191,3632.82
192,3651.84
193,3670.86
194,3689.88
195,3708.9
196,3727.92
197,3746.94
198,3765.96
199,3784.98
200,3804
201,3823.02
202,3842.04
203,3861.06
204,3880.08
205,3899.1
206,3918.12
207,3937.14
208,3956.16
209,3975.18
210,3994.2
211,4013.22
212,4032.24
213,4051.26
214,4070.28
215,4089.3
216,4108.32
217,4127.34
218,4146.36
219,4165.38
220,4184.4
221,4203.42
222,4222.44
223,4241.46
224,4260.48
225,4279.5
226,4298.52
227,4317.54
228,4336.56
229,4355.58
230,4374.6
231,4393.62
232,4412.64
233,4431.66
234,4450.68
235,4469.7
236,4488.72
237,4507.74
238,4526.76
239,4545.78
240,4564.8
241,4583.82
242,4602.84
243,4621.86
244,4640.88
245,4659.9
246,4678.92
247,4697.94
248,4716.96
249,4735.98
250,4755
251,4774.02
252,4793.04
253,4812.06
254,4831.08
255,4850.1
256,4869.12
257,4888.14
258,4907.16
259,4926.18
260,4945.2
261,4964.22
262,4983.24
263,5002.26
264,5021.28
265,5040.3
266,5059.32
267,5078.34
268,5097.36
269,5116.38
270,5135.4
271,5154.42
272,5173.44
273,5192.46
274,5211.48
275,5230.5
276,5249.52
277,5268.54
278,5287.56
279,5306.58
280,5325.6
281,5344.62
282,5363.64
283,5382.66
284,5401.68
285,5420.7
286,5439.72
287,5458.74
288,5477.76
289,5496.78
290,5515.8
291,5534.82
