Machines,Total (hrs/yr)
1,46
2,92
3,138
4,184
5,230
6,276
7,322
8,368
9,414
10,460
11,506
12,552
13,598
14,644
15,690
16,736
17,782
18,828
19,874
20,920
21,966
22,1012
23,1058
24,1104
25,1150
26,1196
27,1242
28,1288
29,1334
30,1380
31,1426
32,1472
33,1518
34,1564
35,1610
36,1656
37,1702
38,1748
39,1794
40,1840
41,1886
42,1932
43,1978
44,2024
45,2070
46,2116
47,2162
48,2208
49,2254
50,2300
51,2346
52,2392
53,2438
54,2484
55,2530
56,2576
57,2622
58,2668
59,2714
60,2760
61,2806
62,2852
63,2898
64,2944
65,2990
66,3036
67,3082
68,3128
69,3174
70,3220
71,3266
72,3312
73,3358
74,3404
75,3450
76,3496
77,3542
78,3588
79,3634
80,3680
81,3726
82,3772
83,3818
84,3864
85,3910
86,3956
87,4002
88,4048
89,4094
90,4140
91,4186
92,4232
93,4278
94,4324
95,4370
96,4416
97,4462
98,4508
99,4554
100,4600
101,4646
102,4692
103,4738
104,4784
105,4830
106,4876
107,4922
108,4968
109,5014
110,5060
111,5106
112,5152
113,5198
114,5244
115,5290
116,5336
117,5382
118,5428
119,5474
120,5520
121,5566
122,5612
123,5658
124,5704
125,5750
126,5796
127,5842
128,5888
129,5934
130,5980
131,6026
132,6072
133,6118
134,6164
135,6210
136,6256
137,6302
138,6348
139,6394
140,6440
141,6486
142,6532
143,6578
144,6624
145,6670
146,6716
147,6762
148,6808
149,6854
150,6900
151,6946
152,6992
153,7038
154,7084
155,7130
156,7176
157,7222
158,7268
159,7314
160,7360
161,7406
162,7452
163,7498
164,7544
165,7590
166,7636
167,7682
168,7728
169,7774
170,7820
171,7866
172,7912
173,7958
174,8004
175,8050
176,8096
177,8142
178,8188
179,8234
180,8280
181,8326
182,8372
183,8418
184,8464
185,8510
186,8556
187,8602
188,8648
189,8694
190,8740
191,8786
192,8832
193,8878
194,8924
195,8970
196,9016
197,9062
198,9108
199,9154
200,9200
201,9246
202,9292
203,9338
204,9384
205,9430
206,9476
207,9522
208,9568
209,9614
210,9660
211,9706
212,9752
213,9798
214,9844
215,9890
