Operation (days/wk),Tours/Day,Transports,Inductions,Operational Maintenance (hrs/yr),Total (hrs/yr)
6,1,84,4,176.80,1472.71
6,2,84,4,353.60,1649.51
6,3,84,4,442.00,1737.91
6,1,84,5,182.00,1779.59
6,2,84,5,364.00,1961.59
6,3,84,5,455.00,2052.59
6,1,84,6,187.20,2147.77
6,2,84,6,374.40,2334.97
6,3,84,6,468.00,2428.57
7,1,84,4,206.27,1708.87
7,2,84,4,412.53,1915.13
7,3,84,4,515.67,2018.27
7,1,84,5,212.33,2066.36
7,2,84,5,424.67,2278.70
7,3,84,5,530.83,2384.86
7,1,84,6,218.40,2495.39
7,2,84,6,436.80,2713.79
7,3,84,6,546.00,2822.99
6,1,100,4,176.80,1517.66
6,2,100,4,353.60,1694.46
6,3,100,4,442.00,1782.86
6,1,100,5,182.00,1824.53
6,2,100,5,364.00,2006.53
6,3,100,5,455.00,2097.53
6,1,100,6,187.20,2192.72
6,2,100,6,374.40,2379.92
6,3,100,6,468.00,2473.52
7,1,100,4,206.27,1760.78
7,2,100,4,412.53,1967.04
7,3,100,4,515.67,2070.18
7,1,100,5,212.33,2118.27
7,2,100,5,424.67,2330.61
7,3,100,5,530.83,2436.77
7,1,100,6,218.40,2547.30
7,2,100,6,436.80,2765.70
7,3,100,6,546.00,2874.90
6,1,116,4,176.80,1562.60
6,2,116,4,353.60,1739.40
6,3,116,4,442.00,1827.80
6,1,116,5,182.00,1869.47
6,2,116,5,364.00,2051.47
6,3,116,5,455.00,2142.47
6,1,116,6,187.20,2237.67
6,2,116,6,374.40,2424.87
6,3,116,6,468.00,2518.47
7,1,116,4,206.27,1812.69
7,2,116,4,412.53,2018.95
7,3,116,4,515.67,2122.09
7,1,116,5,212.33,2170.18
7,2,116,5,424.67,2382.52
7,3,116,5,530.83,2488.68
7,1,116,6,218.40,2599.21
7,2,116,6,436.80,2817.61
7,3,116,6,546.00,2926.81
6,1,132,4,176.80,1607.55
6,2,132,4,353.60,1784.35
6,3,132,4,442.00,1872.75
6,1,132,5,182.00,1914.41
6,2,132,5,364.00,2096.41
6,3,132,5,455.00,2187.41
6,1,132,6,187.20,2282.61
6,2,132,6,374.40,2469.81
6,3,132,6,468.00,2563.41
7,1,132,4,206.27,1864.60
7,2,132,4,412.53,2070.86
7,3,132,4,515.67,2174.00
7,1,132,5,212.33,2222.09
7,2,132,5,424.67,2434.43
7,3,132,5,530.83,2540.59
7,1,132,6,218.40,2651.12
7,2,132,6,436.80,2869.52
7,3,132,6,546.00,2978.72
6,1,148,4,176.80,1652.47
6,2,148,4,353.60,1829.27
6,3,148,4,442.00,1917.67
6,1,148,5,182.00,1959.36
6,2,148,5,364.00,2141.36
6,3,148,5,455.00,2232.36
6,1,148,6,187.20,2327.55
6,2,148,6,374.40,2514.75
6,3,148,6,468.00,2608.35
7,1,148,4,206.27,1916.51
7,2,148,4,412.53,2122.77
7,3,148,4,515.67,2225.91
7,1,148,5,212.33,2273.99
7,2,148,5,424.67,2486.33
7,3,148,5,530.83,2592.49
7,1,148,6,218.40,2703.03
7,2,148,6,436.80,2921.43
7,3,148,6,546.00,3030.63
6,1,164,4,176.80,1697.42
6,2,164,4,353.60,1874.22
6,3,164,4,442.00,1962.62
6,1,164,5,182.00,2004.30
6,2,164,5,364.00,2186.30
6,3,164,5,455.00,2277.30
6,1,164,6,187.20,2372.49
6,2,164,6,374.40,2559.69
6,3,164,6,468.00,2653.29
7,1,164,4,206.27,1968.42
7,2,164,4,412.53,2174.68
7,3,164,4,515.67,2277.82
7,1,164,5,212.33,2325.91
7,2,164,5,424.67,2538.25
7,3,164,5,530.83,2644.41
7,1,164,6,218.40,2754.95
7,2,164,6,436.80,2973.35
7,3,164,6,546.00,3082.55
6,1,180,4,176.80,1789.90
6,2,180,4,353.60,1966.70
6,3,180,4,442.00,2055.10
6,1,180,5,182.00,2096.77
6,2,180,5,364.00,2278.77
6,3,180,5,455.00,2369.77
6,1,180,6,187.20,2464.96
6,2,180,6,374.40,2652.16
6,3,180,6,468.00,2745.76
7,1,180,4,206.27,2020.32
7,2,180,4,412.53,2226.58
7,3,180,4,515.67,2329.72
7,1,180,5,212.33,2377.82
7,2,180,5,424.67,2590.16
7,3,180,5,530.83,2696.32
7,1,180,6,218.40,2806.85
7,2,180,6,436.80,3025.25
7,3,180,6,546.00,3134.45
6,1,196,4,176.80,1842.76
6,2,196,4,353.60,2019.56
6,3,196,4,442.00,2107.96
6,1,196,5,182.00,2149.64
6,2,196,5,364.00,2331.64
6,3,196,5,455.00,2422.64
6,1,196,6,187.20,2517.83
6,2,196,6,374.40,2705.03
6,3,196,6,468.00,2798.63
7,1,196,4,206.27,2072.23
7,2,196,4,412.53,2278.49
7,3,196,4,515.67,2381.63
7,1,196,5,212.33,2429.73
7,2,196,5,424.67,2642.07
7,3,196,5,530.83,2748.23
7,1,196,6,218.40,2858.76
7,2,196,6,436.80,3077.16
7,3,196,6,546.00,3186.36
