Machines,Total (hrs/yr)
1,14.2
2,28.4
3,42.6
4,56.8
5,71
6,85.2
7,99.4
8,113.6
9,127.8
10,142
11,156.2
12,170.4
13,184.6
14,198.8
15,213
16,227.2
17,241.4
18,255.6
19,269.8
20,284
21,298.2
22,312.4
23,326.6
24,340.8
25,355
26,369.2
27,383.4
28,397.6
29,411.8
30,426
31,440.2
32,454.4
33,468.6
34,482.8
35,497
36,511.2
37,525.4
38,539.6
39,553.8
40,568
41,582.2
42,596.4
43,610.6
44,624.8
45,639
46,653.2
47,667.4
48,681.6
49,695.8
50,710
51,724.2
52,738.4
53,752.6
54,766.8
55,781
56,795.2
57,809.4
58,823.6
59,837.8
60,852
61,866.2
62,880.4
63,894.6
64,908.8
65,923
66,937.2
67,951.4
68,965.6
69,979.8
70,994
71,1008.2
72,1022.4
73,1036.6
74,1050.8
75,1065
76,1079.2
77,1093.4
78,1107.6
79,1121.8
80,1136
81,1150.2
82,1164.4
83,1178.6
84,1192.8
85,1207
86,1221.2
87,1235.4
88,1249.6
89,1263.8
90,1278
91,1292.2
92,1306.4
93,1320.6
94,1334.8
95,1349
96,1363.2
97,1377.4
98,1391.6
99,1405.8
100,1420
101,1434.2
102,1448.4
103,1462.6
104,1476.8
105,1491
106,1505.2
107,1519.4
108,1533.6
109,1547.8
110,1562
111,1576.2
112,1590.4
113,1604.6
114,1618.8
115,1633
116,1647.2
117,1661.4
118,1675.6
119,1689.8
120,1704
121,1718.2
122,1732.4
123,1746.6
124,1760.8
125,1775
126,1789.2
127,1803.4
128,1817.6
129,1831.8
130,1846
131,1860.2
132,1874.4
133,1888.6
134,1902.8
135,1917
136,1931.2
137,1945.4
138,1959.6
139,1973.8
140,1988
141,2002.2
142,2016.4
143,2030.6
144,2044.8
145,2059
146,2073.2
147,2087.4
148,2101.6
149,2115.8
150,2130
151,2144.2
152,2158.4
153,2172.6
154,2186.8
155,2201
156,2215.2
157,2229.4
158,2243.6
159,2257.8
160,2272
161,2286.2
162,2300.4
163,2314.6
164,2328.8
165,2343
166,2357.2
167,2371.4
168,2385.6
169,2399.8
170,2414
171,2428.2
172,2442.4
173,2456.6
174,2470.8
175,2485
176,2499.2
177,2513.4
178,2527.6
179,2541.8
180,2556
181,2570.2
182,2584.4
183,2598.6
184,2612.8
185,2627
186,2641.2
187,2655.4
188,2669.6
189,2683.8
190,2698
191,2712.2
192,2726.4
193,2740.6
194,2754.8
195,2769
196,2783.2
197,2797.4
198,2811.6
199,2825.8
200,2840
201,2854.2
202,2868.4
203,2882.6
204,2896.8
205,2911
206,2925.2
207,2939.4
208,2953.6
209,2967.8
210,2982
211,2996.2
212,3010.4
213,3024.6
214,3038.8
215,3053
216,3067.2
217,3081.4
218,3095.6
219,3109.8
220,3124
221,3138.2
222,3152.4
223,3166.6
224,3180.8
225,3195
226,3209.2
227,3223.4
228,3237.6
229,3251.8
230,3266
231,3280.2
232,3294.4
233,3308.6
234,3322.8
235,3337
236,3351.2
237,3365.4
238,3379.6
239,3393.8
240,3408
241,3422.2
242,3436.4
243,3450.6
244,3464.8
245,3479
246,3493.2
247,3507.4
248,3521.6
249,3535.8
250,3550
251,3564.2
252,3578.4
253,3592.6
254,3606.8
255,3621
256,3635.2
257,3649.4
258,3663.6
259,3677.8
260,3692
261,3706.2
262,3720.4
263,3734.6
264,3748.8
265,3763
266,3777.2
267,3791.4
268,3805.6
269,3819.8
270,3834
271,3848.2
272,3862.4
273,3876.6
274,3890.8
275,3905
276,3919.2
277,3933.4
278,3947.6
279,3961.8
280,3976
281,3990.2
282,4004.4
283,4018.6
284,4032.8
285,4047
286,4061.2
287,4075.4
288,4089.6
289,4103.8
290,4118
291,4132.2
292,4146.4
293,4160.6
294,4174.8
295,4189
296,4203.2
297,4217.4
298,4231.6
299,4245.8
300,4260
301,4274.2
302,4288.4
303,4302.6
304,4316.8
305,4331
306,4345.2
307,4359.4
308,4373.6
309,4387.8
310,4402
311,4416.2
312,4430.4
313,4444.6
314,4458.8
315,4473
316,4487.2
317,4501.4
318,4515.6
319,4529.8
320,4544
321,4558.2
322,4572.4
323,4586.6
324,4600.8
325,4615
326,4629.2
327,4643.4
328,4657.6
329,4671.8
330,4686
331,4700.2
332,4714.4
333,4728.6
334,4742.8
335,4757
336,4771.2
337,4785.4
338,4799.6
339,4813.8
340,4828
341,4842.2
342,4856.4
343,4870.6
344,4884.8
345,4899
346,4913.2
347,4927.4
348,4941.6
349,4955.8
350,4970
351,4984.2
352,4998.4
353,5012.6
354,5026.8
355,5041
356,5055.2
357,5069.4
358,5083.6
359,5097.8
360,5112
361,5126.2
362,5140.4
363,5154.6
364,5168.8
365,5183
366,5197.2
367,5211.4
368,5225.6
369,5239.8
370,5254
371,5268.2
372,5282.4
373,5296.6
374,5310.8
375,5325
376,5339.2
377,5353.4
378,5367.6
379,5381.8
380,5396
381,5410.2
382,5424.4
383,5438.6
384,5452.8
385,5467
386,5481.2
387,5495.4
388,5509.6
389,5523.8
390,5538
391,5552.2
392,5566.4
393,5580.6
394,5594.8
395,5609
396,5623.2
397,5637.4
398,5651.6
399,5665.8
400,5680
401,5694.2
402,5708.4
403,5722.6
404,5736.8
405,5751
406,5765.2
407,5779.4
408,5793.6
409,5807.8
410,5822
411,5836.2
412,5850.4
413,5864.6
414,5878.8
415,5893
416,5907.2
417,5921.4
418,5935.6
419,5949.8
420,5964
421,5978.2
422,5992.4
423,6006.6
424,6020.8
425,6035
426,6049.2
427,6063.4
428,6077.6
429,6091.8
430,6106
431,6120.2
432,6134.4
433,6148.6
434,6162.8
435,6177
436,6191.2
437,6205.4
438,6219.6
439,6233.8
440,6248
441,6262.2
442,6276.4
443,6290.6
444,6304.8
445,6319
446,6333.2
447,6347.4
448,6361.6
449,6375.8
450,6390
451,6404.2
452,6418.4
453,6432.6
454,6446.8
455,6461
456,6475.2
457,6489.4
458,6503.6
459,6517.8
460,6532
461,6546.2
462,6560.4
463,6574.6
464,6588.8
465,6603
466,6617.2
467,6631.4
468,6645.6
469,6659.8
470,6674
471,6688.2
472,6702.4
473,6716.6
474,6730.8
475,6745
476,6759.2
477,6773.4
478,6787.6
479,6801.8
480,6816
481,6830.2
482,6844.4
483,6858.6
484,6872.8
485,6887
486,6901.2
487,6915.4
488,6929.6
489,6943.8
490,6958
491,6972.2
492,6986.4
493,7000.6
494,7014.8
495,7029
496,7043.2
497,7057.4
498,7071.6
499,7085.8
500,7100
501,7114.2
502,7128.4
503,7142.6
504,7156.8
505,7171
506,7185.2
507,7199.4
508,7213.6
509,7227.8
510,7242
511,7256.2
512,7270.4
513,7284.6
514,7298.8
515,7313
516,7327.2
517,7341.4
518,7355.6
519,7369.8
520,7384
521,7398.2
522,7412.4
523,7426.6
524,7440.8
525,7455
526,7469.2
527,7483.4
528,7497.6
529,7511.8
530,7526
531,7540.2
532,7554.4
533,7568.6
534,7582.8
535,7597
536,7611.2
537,7625.4
538,7639.6
539,7653.8
540,7668
541,7682.2
542,7696.4
543,7710.6
544,7724.8
545,7739
546,7753.2
547,7767.4
548,7781.6
549,7795.8
550,7810
551,7824.2
552,7838.4
553,7852.6
554,7866.8
555,7881
556,7895.2
557,7909.4
558,7923.6
559,7937.8
560,7952
561,7966.2
562,7980.4
563,7994.6
564,8008.8
565,8023
566,8037.2
567,8051.4
568,8065.6
569,8079.8
570,8094
571,8108.2
572,8122.4
573,8136.6
574,8150.8
575,8165
576,8179.2
577,8193.4
578,8207.6
579,8221.8
580,8236
581,8250.2
582,8264.4
583,8278.6
584,8292.8
585,8307
586,8321.2
587,8335.4
588,8349.6
589,8363.8
590,8378
591,8392.2
592,8406.4
593,8420.6
594,8434.8
595,8449
596,8463.2
597,8477.4
598,8491.6
599,8505.8
600,8520
601,8534.2
602,8548.4
603,8562.6
604,8576.8
605,8591
606,8605.2
607,8619.4
608,8633.6
609,8647.8
610,8662
611,8676.2
612,8690.4
613,8704.6
614,8718.8
615,8733
616,8747.2
617,8761.4
618,8775.6
619,8789.8
620,8804
621,8818.2
622,8832.4
623,8846.6
624,8860.8
625,8875
626,8889.2
627,8903.4
628,8917.6
629,8931.8
630,8946
631,8960.2
632,8974.4
633,8988.6
634,9002.8
635,9017
636,9031.2
637,9045.4
638,9059.6
639,9073.8
640,9088
641,9102.2
642,9116.4
643,9130.6
644,9144.8
645,9159
646,9173.2
647,9187.4
648,9201.6
649,9215.8
650,9230
651,9244.2
652,9258.4
653,9272.6
654,9286.8
655,9301
656,9315.2
657,9329.4
658,9343.6
659,9357.8
660,9372
661,9386.2
662,9400.4
663,9414.6
664,9428.8
665,9443
666,9457.2
667,9471.4
668,9485.6
669,9499.8
670,9514
671,9528.2
672,9542.4
673,9556.6
674,9570.8
675,9585
676,9599.2
677,9613.4
678,9627.6
679,9641.8
680,9656
681,9670.2
682,9684.4
683,9698.6
684,9712.8
685,9727
686,9741.2
687,9755.4
688,9769.6
689,9783.8
690,9798
691,9812.2
692,9826.4
693,9840.6
694,9854.8
695,9869
696,9883.2
697,9897.4
698,9911.6
699,9925.8
700,9940
701,9954.2
702,9968.4
703,9982.6
704,9996.8
705,10011
706,10025.2
707,10039.4
708,10053.6
709,10067.8
710,10082
711,10096.2
712,10110.4
713,10124.6
714,10138.8
715,10153
716,10167.2
717,10181.4
718,10195.6
719,10209.8
720,10224
721,10238.2
722,10252.4
723,10266.6
724,10280.8
725,10295
726,10309.2
727,10323.4
728,10337.6
729,10351.8
730,10366
731,10380.2
732,10394.4
733,10408.6
734,10422.8
735,10437
736,10451.2
737,10465.4
738,10479.6
739,10493.8
740,10508
741,10522.2
742,10536.4
743,10550.6
744,10564.8
745,10579
746,10593.2
747,10607.4
748,10621.6
749,10635.8
750,10650
751,10664.2
752,10678.4
753,10692.6
754,10706.8
755,10721
756,10735.2
757,10749.4
758,10763.6
759,10777.8
760,10792
761,10806.2
762,10820.4
763,10834.6
764,10848.8
765,10863
766,10877.2
767,10891.4
768,10905.6
769,10919.8
770,10934
771,10948.2
772,10962.4
773,10976.6
774,10990.8
775,11005
776,11019.2
777,11033.4
778,11047.6
779,11061.8
780,11076
781,11090.2
782,11104.4
783,11118.6
784,11132.8
785,11147
786,11161.2
787,11175.4
788,11189.6
789,11203.8
790,11218
791,11232.2
792,11246.4
793,11260.6
794,11274.8
795,11289
796,11303.2
797,11317.4
798,11331.6
799,11345.8
800,11360
801,11374.2
802,11388.4
803,11402.6
804,11416.8
805,11431
806,11445.2
807,11459.4
808,11473.6
809,11487.8
810,11502
811,11516.2
812,11530.4
813,11544.6
814,11558.8
815,11573
816,11587.2
817,11601.4
818,11615.6
819,11629.8
820,11644
821,11658.2
822,11672.4
823,11686.6
824,11700.8
825,11715
826,11729.2
827,11743.4
828,11757.6
829,11771.8
830,11786
831,11800.2
832,11814.4
833,11828.6
834,11842.8
835,11857
836,11871.2
837,11885.4
838,11899.6
839,11913.8
840,11928
841,11942.2
842,11956.4
843,11970.6
844,11984.8
845,11999
846,12013.2
847,12027.4
848,12041.6
849,12055.8
850,12070
851,12084.2
852,12098.4
853,12112.6
854,12126.8
855,12141
856,12155.2
857,12169.4
858,12183.6
859,12197.8
860,12212
861,12226.2
862,12240.4
863,12254.6
864,12268.8
865,12283
866,12297.2
867,12311.4
868,12325.6
869,12339.8
870,12354
871,12368.2
872,12382.4
873,12396.6
874,12410.8
875,12425
876,12439.2
877,12453.4
878,12467.6
879,12481.8
880,12496
881,12510.2
882,12524.4
883,12538.6
884,12552.8
885,12567
886,12581.2
887,12595.4
888,12609.6
889,12623.8
890,12638
891,12652.2
892,12666.4
893,12680.6
894,12694.8
895,12709
896,12723.2
897,12737.4
898,12751.6
899,12765.8
900,12780
901,12794.2
902,12808.4
903,12822.6
904,12836.8
905,12851
906,12865.2
907,12879.4
908,12893.6
909,12907.8
910,12922
911,12936.2
912,12950.4
913,12964.6
914,12978.8
915,12993
916,13007.2
917,13021.4
918,13035.6
919,13049.8
920,13064
921,13078.2
922,13092.4
923,13106.6
924,13120.8
925,13135
926,13149.2
927,13163.4
928,13177.6
929,13191.8
930,13206
931,13220.2
932,13234.4
933,13248.6
934,13262.8
935,13277
936,13291.2
937,13305.4
938,13319.6
939,13333.8
940,13348
941,13362.2
942,13376.4
943,13390.6
944,13404.8
945,13419
946,13433.2
947,13447.4
948,13461.6
949,13475.8
950,13490
951,13504.2
952,13518.4
953,13532.6
954,13546.8
955,13561
956,13575.2
957,13589.4
958,13603.6
959,13617.8
960,13632
961,13646.2
962,13660.4
963,13674.6
964,13688.8
965,13703
966,13717.2
967,13731.4
968,13745.6
969,13759.8
970,13774
971,13788.2
972,13802.4
973,13816.6
974,13830.8
975,13845
976,13859.2
977,13873.4
978,13887.6
979,13901.8
980,13916
981,13930.2
982,13944.4
983,13958.6
984,13972.8
985,13987
986,14001.2
987,14015.4
988,14029.6
989,14043.8
990,14058
991,14072.2
992,14086.4
993,14100.6
994,14114.8
995,14129
996,14143.2
997,14157.4
998,14171.6
999,14185.8
1000,14200
