Machines,Total (hrs/yr)
1,2.97
2,5.94
3,8.91
4,11.88
5,14.85
6,17.82
7,20.79
8,23.76
9,26.73
10,29.7
11,32.67
12,35.64
13,38.61
14,41.58
15,44.55
16,47.52
17,50.49
18,53.46
19,56.43
20,59.4
21,62.37
22,65.34
23,68.31
24,71.28
25,74.25
26,77.22
27,80.19
28,83.16
29,86.13
30,89.1
31,92.07
32,95.04
33,98.01
34,100.98
35,103.95
36,106.92
37,109.89
38,112.86
39,115.83
40,118.8
41,121.77
42,124.74
43,127.71
44,130.68
45,133.65
46,136.62
47,139.59
48,142.56
49,145.53
50,148.5
51,151.47
52,154.44
53,157.41
54,160.38
55,163.35
56,166.32
57,169.29
58,172.26
59,175.23
60,178.2
61,181.17
62,184.14
63,187.11
64,190.08
65,193.05
66,196.02
67,198.99
68,201.96
69,204.93
70,207.9
71,210.87
72,213.84
73,216.81
74,219.78
75,222.75
76,225.72
77,228.69
78,231.66
79,234.63
80,237.6
81,240.57
82,243.54
83,246.51
84,249.48
85,252.45
86,255.42
87,258.39
88,261.36
89,264.33
90,267.3
91,270.27
92,273.24
93,276.21
94,279.18
95,282.15
96,285.12
97,288.09
98,291.06
99,294.03
100,297
101,299.97
102,302.94
103,305.91
104,308.88
105,311.85
106,314.82
107,317.79
108,320.76
109,323.73
110,326.7
111,329.67
112,332.64
113,335.61
114,338.58
115,341.55
116,344.52
117,347.49
118,350.46
119,353.43
120,356.4
121,359.37
122,362.34
123,365.31
124,368.28
125,371.25
126,374.22
127,377.19
128,380.16
129,383.13
130,386.1
131,389.07
132,392.04
133,395.01
134,397.98
135,400.95
136,403.92
137,406.89
138,409.86
139,412.83
140,415.8
141,418.77
142,421.74
143,424.71
144,427.68
145,430.65
146,433.62
147,436.59
148,439.56
149,442.53
150,445.5
151,448.47
152,451.44
153,454.41
154,457.38
155,460.35
156,463.32
157,466.29
158,469.26
159,472.23
160,475.2
161,478.17
162,481.14
163,484.11
164,487.08
165,490.05
166,493.02
167,495.99
168,498.96
169,501.93
170,504.9
171,507.87
172,510.84
173,513.81
174,516.78
175,519.75
176,522.72
177,525.69
178,528.66
179,531.63
180,534.6
181,537.57
182,540.54
183,543.51
184,546.48
185,549.45
186,552.42
187,555.39
188,558.36
189,561.33
190,564.3
191,567.27
192,570.24
193,573.21
194,576.18
195,579.15
196,582.12
197,585.09
198,588.06
199,591.03
200,594
201,596.97
202,599.94
203,602.91
204,605.88
205,608.85
206,611.82
207,614.79
208,617.76
209,620.73
210,623.7
211,626.67
212,629.64
213,632.61
214,635.58
215,638.55
216,641.52
217,644.49
218,647.46
219,650.43
220,653.4
221,656.37
222,659.34
223,662.31
224,665.28
225,668.25
226,671.22
227,674.19
228,677.16
229,680.13
230,683.1
231,686.07
232,689.04
233,692.01
234,694.98
235,697.95
236,700.92
237,703.89
238,706.86
239,709.83
240,712.8
241,715.77
242,718.74
243,721.71
244,724.68
245,727.65
246,730.62
247,733.59
248,736.56
249,739.53
250,742.5
251,745.47
252,748.44
253,751.41
254,754.38
255,757.35
256,760.32
257,763.29
258,766.26
259,769.23
260,772.2
261,775.17
262,778.14
263,781.11
264,784.08
265,787.05
266,790.02
