Machines,Total (hrs/yr)
1,7.91
2,15.82
3,23.73
4,31.64
5,39.55
6,47.46
7,55.37
8,63.28
9,71.19
10,79.1
11,87.01
12,94.92
13,102.83
14,110.74
15,118.65
16,126.56
17,134.47
18,142.38
19,150.29
20,158.2
21,166.11
22,174.02
23,181.93
24,189.84
25,197.75
26,205.66
27,213.57
28,221.48
29,229.39
30,237.3
31,245.21
32,253.12
33,261.03
34,268.94
35,276.85
36,284.76
37,292.67
38,300.58
39,308.49
40,316.4
41,324.31
42,332.22
43,340.13
44,348.04
45,355.95
46,363.86
47,371.77
48,379.68
49,387.59
50,395.5
51,403.41
52,411.32
53,419.23
54,427.14
55,435.05
56,442.96
57,450.87
58,458.78
59,466.69
60,474.6
61,482.51
62,490.42
63,498.33
64,506.24
65,514.15
66,522.06
67,529.97
68,537.88
69,545.79
70,553.7
71,561.61
72,569.52
73,577.43
74,585.34
75,593.25
76,601.16
77,609.07
78,616.98
79,624.89
80,632.8
81,640.71
82,648.62
83,656.53
84,664.44
85,672.35
86,680.26
87,688.17
88,696.08
89,703.99
90,711.9
91,719.81
92,727.72
93,735.63
94,743.54
95,751.45
96,759.36
97,767.27
98,775.18
99,783.09
100,791
101,798.91
102,806.82
103,814.73
104,822.64
105,830.55
106,838.46
107,846.37
108,854.28
109,862.19
110,870.1
111,878.01
112,885.92
113,893.83
114,901.74
115,909.65
116,917.56
117,925.47
118,933.38
119,941.29
120,949.2
121,957.11
122,965.02
123,972.93
124,980.84
125,988.75
126,996.66
127,1004.57
128,1012.48
129,1020.39
130,1028.3
131,1036.21
132,1044.12
133,1052.03
134,1059.94
135,1067.85
136,1075.76
137,1083.67
138,1091.58
139,1099.49
140,1107.4
141,1115.31
142,1123.22
143,1131.13
144,1139.04
145,1146.95
146,1154.86
147,1162.77
148,1170.68
149,1178.59
150,1186.5
151,1194.41
152,1202.32
153,1210.23
154,1218.14
155,1226.05
156,1233.96
157,1241.87
158,1249.78
159,1257.69
160,1265.6
161,1273.51
162,1281.42
163,1289.33
164,1297.24
165,1305.15
166,1313.06
167,1320.97
168,1328.88
169,1336.79
170,1344.7
171,1352.61
172,1360.52
173,1368.43
174,1376.34
175,1384.25
176,1392.16
177,1400.07
178,1407.98
179,1415.89
180,1423.8
181,1431.71
182,1439.62
183,1447.53
184,1455.44
185,1463.35
186,1471.26
187,1479.17
188,1487.08
189,1494.99
190,1502.9
191,1510.81
192,1518.72
193,1526.63
194,1534.54
195,1542.45
196,1550.36
197,1558.27
198,1566.18
199,1574.09
200,1582
201,1589.91
202,1597.82
203,1605.73
204,1613.64
205,1621.55
206,1629.46
207,1637.37
208,1645.28
209,1653.19
210,1661.1
211,1669.01
212,1676.92
213,1684.83
214,1692.74
215,1700.65
216,1708.56
217,1716.47
218,1724.38
219,1732.29
220,1740.2
221,1748.11
222,1756.02
223,1763.93
224,1771.84
225,1779.75
226,1787.66
